haplotype_rank	observations	fraction	substitutions_from_dominant	AFR	AMR	EAS	EUR	SAS	Unknown
1	432	0.9370932754880694	0	123	83	96	57	66	7
2	8	0.01735357917570499	1	0	3	0	3	2	0
3	4	0.008676789587852495	1	4	0	0	0	0	0
4	4	0.008676789587852495	1	0	0	0	0	4	0
5	3	0.006507592190889371	1	0	0	3	0	0	0
6	2	0.004338394793926247	1	2	0	0	0	0	0
7	2	0.004338394793926247	1	2	0	0	0	0	0
8	1	0.0021691973969631237	1	0	0	1	0	0	0
9	1	0.0021691973969631237	1	0	1	0	0	0	0
10	1	0.0021691973969631237	1	0	0	0	0	0	1
11	1	0.0021691973969631237	1	1	0	0	0	0	0
12	1	0.0021691973969631237	1	0	1	0	0	0	0
13	1	0.0021691973969631237	1	1	0	0	0	0	0
