Locus	ID_Full	orig_Locus	ID	Haplotype	Source_Identifier	stable_source_identity_v3	analysis_include	manuscript_public_panel	catalog_5prime_TSD	catalog_3prime_TSD	boundary_join	boundary_source_locus	boundary_5prime_sequence	boundary_3prime_sequence	pair_admission	mismatch_count	boundary_presence_call	boundary_observation_state	catalog_observation_state	superpopulation	length_robust_candidate_difference	length_ambiguous_difference	candidate_length_comparisons
HML-2_11p15.4	HG02492_h2_HML-2_11p15.4_technical_error	HML-2_11p15.4	HG02492	h2	Validator_Script	HML-2_11p15.4|HG02492|h2|none|historical_source/cluster/HML2_project_graph/extracted_sequences/hgsvc3-2024-02-23-mc-chm13/HML-2_11p15.4/HG02492_h2_HML-2_11p15.4_graph_hgsvc3-2024-02-23-mc-chm13.fa|fea334ea22b3c20be22f0543559827cee59464991ed9e29d88c291a3fe54ddb5	1	1	NA	NA	NO_EXACT_RETAINED_RECORD				NOT_ASSESSED_NO_EXACT_RETAINED_RECORD				NONCARRIER_SENTINEL_OBSERVATION	SAS			
HML-2_11p15.4	NA19331_h2_HML-2_11p15.4_technical_error	HML-2_11p15.4	NA19331	h2	Validator_Script	HML-2_11p15.4|NA19331|h2|none|historical_source/cluster/HML2_project_graph/extracted_sequences/hgsvc3-2024-02-23-mc-chm13/HML-2_11p15.4/NA19331_h2_HML-2_11p15.4_graph_hgsvc3-2024-02-23-mc-chm13.fa|79b097c714a7a511bb3de39a78a09920882dd7fc0ab59e273907152088c49506	1	1	NA	NA	NO_EXACT_RETAINED_RECORD				NOT_ASSESSED_NO_EXACT_RETAINED_RECORD				NONCARRIER_SENTINEL_OBSERVATION	AFR			
HML-2_11q12.3	NA19705_h2_HML-2_11q12.3_technical_error	HML-2_11q12.3	NA19705	h2	Validator_Script	HML-2_11q12.3|NA19705|h2|none|historical_source/cluster/HML2_project_graph/extracted_sequences/hgsvc3-2024-02-23-mc-chm13/HML-2_11q12.3/NA19705_h2_HML-2_11q12.3_graph_hgsvc3-2024-02-23-mc-chm13.fa|c8ef4ceb246861493db49dd816e19726f3ea8868b1b5c99d5a545985648dc93f	1	1	NA	NA	NO_EXACT_RETAINED_RECORD				NOT_ASSESSED_NO_EXACT_RETAINED_RECORD				NONCARRIER_SENTINEL_OBSERVATION	AFR			
HML-2_11q22.1	HG01596_h2_HML-2_11q22.1_technical_error	HML-2_11q22.1	HG01596	h2	Validator_Script	HML-2_11q22.1|HG01596|h2|none|historical_source/cluster/HML2_project_graph/extracted_sequences/hgsvc3-2024-02-23-mc-chm13/HML-2_11q22.1/HG01596_h2_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13.fa|088923da0c4f19dc9a192196bab69f9cdacd39b8c60436307b8ffa9b38a12c6f	1	1	NA	NA	NO_EXACT_RETAINED_RECORD				NOT_ASSESSED_NO_EXACT_RETAINED_RECORD				NONCARRIER_SENTINEL_OBSERVATION	EAS			
HML-2_11q22.1	HG02492_h2_HML-2_11q22.1_technical_error	HML-2_11q22.1	HG02492	h2	Validator_Script	HML-2_11q22.1|HG02492|h2|none|historical_source/cluster/HML2_project_graph/extracted_sequences/hgsvc3-2024-02-23-mc-chm13/HML-2_11q22.1/HG02492_h2_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13.fa|a02215a2d4019331a451848562c80227f6176b91e9ab052c627b65dc26ed7161	1	1	NA	NA	NO_EXACT_RETAINED_RECORD				NOT_ASSESSED_NO_EXACT_RETAINED_RECORD				NONCARRIER_SENTINEL_OBSERVATION	SAS			
HML-2_11q22.1	HG02554_h2_HML-2_11q22.1_technical_error	HML-2_11q22.1	HG02554	h2	Validator_Script	HML-2_11q22.1|HG02554|h2|none|historical_source/cluster/HML2_project_graph/extracted_sequences/hgsvc3-2024-02-23-mc-chm13/HML-2_11q22.1/HG02554_h2_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13.fa|ce2733df816a44915ae8aacb541b00eeef5b6eac537ee627155e3792e742bd62	1	1	NA	NA	NO_EXACT_RETAINED_RECORD				NOT_ASSESSED_NO_EXACT_RETAINED_RECORD				NONCARRIER_SENTINEL_OBSERVATION	AFR			
HML-2_11q22.1	HG02666_h2_HML-2_11q22.1_technical_error	HML-2_11q22.1	HG02666	h2	Validator_Script	HML-2_11q22.1|HG02666|h2|none|historical_source/cluster/HML2_project_graph/extracted_sequences/hgsvc3-2024-02-23-mc-chm13/HML-2_11q22.1/HG02666_h2_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13.fa|ab41f57650af0b37dc9030afcdb9acc7dcdc8ec5f90b4260513f38e95629ce84	1	1	NA	NA	NO_EXACT_RETAINED_RECORD				NOT_ASSESSED_NO_EXACT_RETAINED_RECORD				NONCARRIER_SENTINEL_OBSERVATION	AFR			
HML-2_11q22.1	NA19239_h2_HML-2_11q22.1_technical_error	HML-2_11q22.1	NA19239	h2	Validator_Script	HML-2_11q22.1|NA19239|h2|none|historical_source/cluster/HML2_project_graph/extracted_sequences/hgsvc3-2024-02-23-mc-chm13/HML-2_11q22.1/NA19239_h2_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13.fa|133f72dd425c565961eb91052c49af3668dac556817a68db4c3bf28b1c4f236f	1	1	NA	NA	NO_EXACT_RETAINED_RECORD				NOT_ASSESSED_NO_EXACT_RETAINED_RECORD				NONCARRIER_SENTINEL_OBSERVATION	AFR			
HML-2_11q22.1	NA19317_h2_HML-2_11q22.1_technical_error	HML-2_11q22.1	NA19317	h2	Validator_Script	HML-2_11q22.1|NA19317|h2|none|historical_source/cluster/HML2_project_graph/extracted_sequences/hgsvc3-2024-02-23-mc-chm13/HML-2_11q22.1/NA19317_h2_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13.fa|8179bb00f3894b531798fdc59f3f7478caa833dd0400033a35a8fd4c444fd018	1	1	NA	NA	NO_EXACT_RETAINED_RECORD				NOT_ASSESSED_NO_EXACT_RETAINED_RECORD				NONCARRIER_SENTINEL_OBSERVATION	AFR			
HML-2_11q22.1	NA20355_h2_HML-2_11q22.1_technical_error	HML-2_11q22.1	NA20355	h2	Validator_Script	HML-2_11q22.1|NA20355|h2|none|historical_source/cluster/HML2_project_graph/extracted_sequences/hgsvc3-2024-02-23-mc-chm13/HML-2_11q22.1/NA20355_h2_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13.fa|5b4fc12f4bf94f4a51bc1b1260a175b2c723de65566636d3fce1f4b14f161bad	1	1	NA	NA	NO_EXACT_RETAINED_RECORD				NOT_ASSESSED_NO_EXACT_RETAINED_RECORD				NONCARRIER_SENTINEL_OBSERVATION	AFR			
