outcome	exposure_id	adjustment	model_status	n	beta	se_pedigree_cluster	p_pedigree_cluster	ci95_low	ci95_high	standardized_beta	population_model_status	population_beta	population_p_cluster	q_bh_51_model_suite
Houldcroft2014_EBV_qPCR	general::type1_compatible_np9_units	general::type1_physical_units	fit	47	0.04202596472215324	0.011749836438311833	0.0008761148143941504	0.01833016123480693	0.06572176820949954	0.564164722244985	fit	0.03606346991309473	0.011577157680526267	0.04468185553410167
Im2012_intrinsic_growth	general::type2_physical_units		fit	34	0.13881393060123698	0.048905453259896405	0.008057122222201374	0.038935670445622975	0.238692190756851	0.4041548131688242	fit	0.14433718587586133	0.0033123983965719825	0.20545661666613502
Houldcroft2014_EBV_qPCR	general::type1_loci_present		fit	47	-0.03656743888088664	0.01750457940571398	0.04265983194615021	-0.07186878761915405	-0.0012660901426192403	-0.2947329326939431	fit	-0.03652804474168915	0.0316274734301151	0.6010746800339424
Im2012_intrinsic_growth	general::type1_minus_type2_units		fit	34	-0.11194882988954624	0.054385698794037485	0.04832601508114503	-0.22301924455330444	-0.0008784152257880484	-0.3327562785259419	fit	-0.1244251342276522	0.016130814629463603	0.6010746800339424
Houldcroft2014_EBV_qPCR	general::type1_compatible_env_units	general::type1_physical_units	fit	47	-0.03409983680304838	0.01757524830408181	0.058928890199406114	-0.06954370295738221	0.0013440293512854487	-0.2946288448017828	fit	-0.02341758290055668	0.1528046446252687	0.6010746800339424
Im2012_intrinsic_growth	general::type2_loci_present		fit	34	0.15714215426139072	0.08887702276782755	0.08721653440532896	-0.02436894133540149	0.3386532498581829	0.2595370015586153	fit	0.19068311909513486	0.0362832226319205	0.6919334434003365
Im2012_intrinsic_growth	general::type1_compatible_gag_units	general::type1_physical_units	fit	34	0.24025694084026233	0.147690122120709	0.1142470232598452	-0.0613665276346278	0.5418804093151525	0.3122840091853227	fit	0.2520465387710479	0.09996216018193074	0.6919334434003365
Houldcroft2014_EBV_qPCR	general::type2_physical_units		fit	47	-0.007522533612001995	0.0048414148687768825	0.12756498165566124	-0.017286177211089934	0.002241109987085943	-0.23384982789100156	fit	-0.00840986155752956	0.07525763438372779	0.6919334434003365
Houldcroft2014_EBV_qPCR	general::type2_compatible_pro_units	general::type2_physical_units	fit	47	-0.024872542721704992	0.01683239448766155	0.14678667267624879	-0.058818301379297465	0.009073215935887481	-0.3372095252281642	fit	-0.025433699779362648	0.09037827006818597	0.6919334434003365
Houldcroft2014_EBV_qPCR	general::type1_compatible_gag_units	general::type1_physical_units	fit	47	-0.017955195468695156	0.01325923651401727	0.18275782332314414	-0.04469499431423051	0.0087846033768402	-0.23657464437937153	fit	-0.01960907846949585	0.107024525187359	0.6919334434003365
