outcome	exposure_id	old_p_pedigree_cluster	refit_model_status	refit_p_pedigree_cluster	refit_beta	refit_n	was_refit	analysis_p_pedigree_cluster	analysis_model_status	included_in_bh_family	bh_family_size	bh_exclusion_reason	q_bh_finite_model_suite
Im2012_intrinsic_growth	HML-2_6q14.1::structural::solo_ltr_vs_any_provirus	0.0002005036379347	NA	NA	NA	NA	False	0.0002005036379347	fit	True	174		0.017443816500318902
Im2012_intrinsic_growth	HML-2_6q14.1::structural::solo_ltr_vs_provirus	0.0002005036379347	NA	NA	NA	NA	False	0.0002005036379347	fit	True	174		0.017443816500318902
Houldcroft2014_EBV_qPCR	general::type1_compatible_np9_units	0.0008830671803418	fit	0.0008761148143941504	0.04202596472215324	47.0	True	0.0008761148143941504	fit	True	174		0.050814659234860726
Im2012_intrinsic_growth	general::type2_physical_units	0.0059589753259057	fit	0.008057122222201374	0.13881393060123698	34.0	True	0.008057122222201374	fit	True	174		0.35048481666575976
Mandage2017_EBV_in_silico	HML-2_3q27.2::structural::solo_ltr_vs_any_provirus	0.0198539302830571	NA	NA	NA	NA	False	0.0198539302830571	fit	True	174		0.575763978208656
Mandage2017_EBV_in_silico	HML-2_3q27.2::structural::solo_ltr_vs_provirus	0.0198539302830571	NA	NA	NA	NA	False	0.0198539302830571	fit	True	174		0.575763978208656
Houldcroft2014_EBV_qPCR	HML-2_1p31.1b::compatible_env_units	0.0355563089503026	NA	NA	NA	NA	False	0.0355563089503026	fit	True	174		0.8408726624119234
Houldcroft2014_EBV_qPCR	general::type1_loci_present	0.0397406803369081	fit	0.04265983194615021	-0.03656743888088664	47.0	True	0.04265983194615021	fit	True	174		0.8408726624119234
Houldcroft2014_EBV_qPCR	HML-2_19p12b::structural::provirus_vs_absent	0.0480678061703097	NA	NA	NA	NA	False	0.0480678061703097	fit	True	174		0.8408726624119234
Im2012_intrinsic_growth	general::type1_minus_type2_units	0.0203121521201422	fit	0.04832601508114503	-0.11194882988954624	34.0	True	0.04832601508114503	fit	True	174		0.8408726624119234
Mandage2017_EBV_in_silico	HML-2_22q11.21::orf::orf_pro	0.0544148087493636	NA	NA	NA	NA	False	0.0544148087493636	fit	True	174		0.8544689078913886
Houldcroft2014_EBV_qPCR	general::type1_compatible_env_units	0.0398855072711752	fit	0.058928890199406114	-0.03409983680304838	47.0	True	0.058928890199406114	fit	True	174		0.8544689078913886
Mandage2017_EBV_in_silico	HML-2_22q11.21::orf::orf_gag_pro	0.0667308739635745	NA	NA	NA	NA	False	0.0667308739635745	fit	True	174		0.8931670822816893
Houldcroft2014_EBV_qPCR	HML-2_1p31.1b::internal_fragment_present	0.08606485911153	NA	NA	NA	NA	False	0.08606485911153	fit	True	174		0.8939043140225621
Im2012_intrinsic_growth	general::type2_loci_present	0.0361802599556341	fit	0.08721653440532896	0.15714215426139072	34.0	True	0.08721653440532896	fit	True	174		0.8939043140225621
Mandage2017_EBV_in_silico	HML-2_7p22.1::compatible_gag_units	0.0877974327830958	NA	NA	NA	NA	False	0.0877974327830958	fit	True	174		0.8939043140225621
Mandage2017_EBV_in_silico	HML-2_7p22.1::fully_compatible_units	0.0935875344245278	NA	NA	NA	NA	False	0.0935875344245278	fit	True	174		0.8939043140225621
Mandage2017_EBV_in_silico	HML-2_3p12.3::orf::orf_pro	0.0990820950261978	NA	NA	NA	NA	False	0.0990820950261978	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	HML-2_3p12.3::orf::orf_pro	0.10869304191816	NA	NA	NA	NA	False	0.10869304191816	fit	True	174		0.8939043140225621
Im2012_intrinsic_growth	general::type1_compatible_gag_units	0.114247023259845	fit	0.1142470232598452	0.24025694084026233	34.0	True	0.1142470232598452	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	HML-2_22q11.21::orf::orf_pro	0.125767503931094	NA	NA	NA	NA	False	0.125767503931094	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	HML-2_22q11.21::orf::orf_gag_pro	0.127342886707143	NA	NA	NA	NA	False	0.127342886707143	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	general::type2_physical_units	0.0981042728747252	fit	0.12756498165566124	-0.007522533612001995	47.0	True	0.12756498165566124	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	general::type2_compatible_pro_units	0.15409919165649	fit	0.14678667267624879	-0.024872542721704992	47.0	True	0.14678667267624879	fit	True	174		0.8939043140225621
Im2012_intrinsic_growth	HML-2_7p22.1::max_haplotype_cn	0.151745004061775	NA	NA	NA	NA	False	0.151745004061775	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	general::type1_compatible_gag_units	0.19260586713488	fit	0.18275782332314414	-0.017955195468695156	47.0	True	0.18275782332314414	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	HML-2_1p31.1b::total_internal_fragment_cn	0.185345269482728	NA	NA	NA	NA	False	0.185345269482728	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	HML-2_1p31.1b::compatible_np9_units	0.185345269482728	NA	NA	NA	NA	False	0.185345269482728	fit	True	174		0.8939043140225621
Im2012_intrinsic_growth	HML-2_3p12.3::orf::orf_pro	0.188802851979192	NA	NA	NA	NA	False	0.188802851979192	fit	True	174		0.8939043140225621
Mandage2017_EBV_in_silico	general::type2_compatible_env_units	0.172923838434897	fit	0.18890531010788875	0.10448223894014591	116.0	True	0.18890531010788875	fit	True	174		0.8939043140225621
Mandage2017_EBV_in_silico	HML-2_7p22.1::gag_compatible_fraction	0.193284565271441	NA	NA	NA	NA	False	0.193284565271441	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	general::type1_physical_units	0.206221690055008	fit	0.19801474874983524	-0.009462480167246903	47.0	True	0.19801474874983524	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	HML-2_11q22.1::structural::solo_ltr_vs_any_provirus	0.201095509182817	NA	NA	NA	NA	False	0.201095509182817	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	HML-2_11q22.1::structural::solo_ltr_vs_provirus	0.201095509182817	NA	NA	NA	NA	False	0.201095509182817	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	HML-2_5p13.3::orf::orf_env	0.203774421201432	NA	NA	NA	NA	False	0.203774421201432	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	HML-2_19p12c::structural::provirus_vs_absent	0.20581052753318	NA	NA	NA	NA	False	0.20581052753318	fit	True	174		0.8939043140225621
Im2012_intrinsic_growth	general::type1_type2_log_ratio	0.110671187075013	fit	0.22111417520518598	-2.225206547914917	34.0	True	0.22111417520518598	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	general::type1_compatible_pol_units	0.52310203326042	fit	0.221942863192855	0.03096147773636547	47.0	True	0.221942863192855	fit	True	174		0.8939043140225621
Im2012_intrinsic_growth	general::type1_fraction	0.107236430582184	fit	0.22196457230985112	-14.24158555446823	34.0	True	0.22196457230985112	fit	True	174		0.8939043140225621
Im2012_intrinsic_growth	HML-2_7p22.1::gag_compatible_fraction	0.223313525793043	NA	NA	NA	NA	False	0.223313525793043	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	general::type2_compatible_env_units	0.236502245144894	fit	0.22545998810940066	0.01733310391108043	47.0	True	0.22545998810940066	fit	True	174		0.8939043140225621
Im2012_intrinsic_growth	HML-2_1q22::orf::orf_pol	0.226793504810832	NA	NA	NA	NA	False	0.226793504810832	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	general::type1_minus_type2_units	0.168438446799083	fit	0.23064448113344546	0.005468176859550305	47.0	True	0.23064448113344546	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	HML-2_1p31.1b::max_haplotype_cn	0.232667918661511	NA	NA	NA	NA	False	0.232667918661511	fit	True	174		0.8939043140225621
Im2012_intrinsic_growth	HML-2_7p22.1::any_array	0.250172391503794	NA	NA	NA	NA	False	0.250172391503794	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	HML-2_10p12.1::orf::orf_gag_pro	0.250708798527092	NA	NA	NA	NA	False	0.250708798527092	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	HML-2_10p12.1::orf::orf_gag_pro_pol	0.250708798527092	NA	NA	NA	NA	False	0.250708798527092	fit	True	174		0.8939043140225621
Houldcroft2014_EBV_qPCR	HML-2_10p12.1::orf::orf_pro	0.250708798527092	NA	NA	NA	NA	False	0.250708798527092	fit	True	174		0.8939043140225621
Mandage2017_EBV_in_silico	HML-2_6q14.1::structural::solo_ltr_vs_provirus	0.259001683557075	NA	NA	NA	NA	False	0.259001683557075	fit	True	174		0.8939043140225621
Mandage2017_EBV_in_silico	HML-2_6q14.1::structural::solo_ltr_vs_any_provirus	0.259199254622239	NA	NA	NA	NA	False	0.259199254622239	fit	True	174		0.8939043140225621
Im2012_intrinsic_growth	HML-2_22q11.21::orf::orf_pro	0.262006436868682	NA	NA	NA	NA	False	0.262006436868682	fit	True	174		0.8939043140225621
Mandage2017_EBV_in_silico	HML-2_1p31.1b::internal_fragment_present	0.278047528114763	NA	NA	NA	NA	False	0.278047528114763	fit	True	174		0.900057168724704
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::compatible_gag_units	0.287817061600916	NA	NA	NA	NA	False	0.287817061600916	fit	True	174		0.900057168724704
Im2012_intrinsic_growth	HML-2_10p12.1::orf::orf_gag_pro	0.29155555708888	NA	NA	NA	NA	False	0.29155555708888	fit	True	174		0.900057168724704
Im2012_intrinsic_growth	HML-2_10p12.1::orf::orf_gag_pro_pol	0.29155555708888	NA	NA	NA	NA	False	0.29155555708888	fit	True	174		0.900057168724704
Im2012_intrinsic_growth	HML-2_10p12.1::orf::orf_pro	0.29155555708888	NA	NA	NA	NA	False	0.29155555708888	fit	True	174		0.900057168724704
Mandage2017_EBV_in_silico	general::type2_compatible_rec_units	0.181873248525096	fit	0.2998949976242698	0.06168992150202815	116.0	True	0.2998949976242698	fit	True	174		0.900057168724704
Houldcroft2014_EBV_qPCR	HML-2_5p13.3::orf::orf_secondary	0.300019056241568	NA	NA	NA	NA	False	0.300019056241568	fit	True	174		0.900057168724704
Mandage2017_EBV_in_silico	HML-2_1p36.21c::orf::orf_secondary	0.323044655270801	NA	NA	NA	NA	False	0.323044655270801	fit	True	174		0.9162373183884095
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::fully_compatible_units	0.328753346973618	NA	NA	NA	NA	False	0.328753346973618	fit	True	174		0.9162373183884095
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::max_haplotype_cn	0.334326596246314	NA	NA	NA	NA	False	0.334326596246314	fit	True	174		0.9162373183884095
Im2012_intrinsic_growth	HML-2_7p22.1::total_physical_cn	0.341034691761417	NA	NA	NA	NA	False	0.341034691761417	fit	True	174		0.9162373183884095
Mandage2017_EBV_in_silico	HML-2_11q22.1::structural::solo_ltr_vs_any_provirus	0.347439916836424	NA	NA	NA	NA	False	0.347439916836424	fit	True	174		0.9162373183884095
Mandage2017_EBV_in_silico	HML-2_11q22.1::structural::solo_ltr_vs_provirus	0.34905384174313	NA	NA	NA	NA	False	0.34905384174313	fit	True	174		0.9162373183884095
