alignment	record	reason
10p12.1_carrier_kcon.aln.fa	HG03816_pat	source_identity_ambiguous_0_exact_matches_of_2_candidates
10p12.1_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
10p12.1_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
10p12.1_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
10p12.1_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
10p12.1_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
10p12.1_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
10p12.1_carrier_kcon.aln.fa	HG02818_h2	no_included_public_present_original_source_slot
10p14_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
10p14_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
10p14_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
10p14_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
10p14_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
10p14_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
10p14_carrier_kcon.aln.fa	HG02818_h2	no_included_public_present_original_source_slot
10q24.2_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
10q24.2_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
10q24.2_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
10q24.2_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
10q24.2_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
10q24.2_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
10q24.2_carrier_kcon.aln.fa	HG02818_h2	no_included_public_present_original_source_slot
11p15.4_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
11p15.4_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
11p15.4_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
11p15.4_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
11p15.4_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
11p15.4_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
11p15.4_carrier_kcon.aln.fa	HG02818_h2	no_included_public_present_original_source_slot
11p15.4b_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
11p15.4b_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
11p15.4b_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
11p15.4b_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
11p15.4b_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
11p15.4b_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
11p15.4b_carrier_kcon.aln.fa	HG02818_h2	no_included_public_present_original_source_slot
11q12.1_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
11q12.1_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
11q12.1_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
11q12.1_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
11q12.1_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
11q12.1_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
11q12.1_carrier_kcon.aln.fa	HG02818_h2	no_included_public_present_original_source_slot
11q12.3_carrier_kcon.aln.fa	HG03654_mat	source_identity_ambiguous_0_exact_matches_of_2_candidates
11q12.3_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
11q12.3_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
11q12.3_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
11q12.3_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
11q12.3_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
11q12.3_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
11q12.3_carrier_kcon.aln.fa	HG02818_h2	no_included_public_present_original_source_slot
11q22.1_carrier_kcon.aln.fa	HG02647_mat	source_identity_ambiguous_0_exact_matches_of_2_candidates
11q22.1_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
11q22.1_carrier_kcon.aln.fa	NA19338_hap2	source_identity_ambiguous_0_exact_matches_of_2_candidates
11q22.1_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
11q22.1_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
11q22.1_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
11q22.1_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
11q22.1_carrier_kcon.aln.fa	HG02818_h2	no_included_public_present_original_source_slot
11q22.1_carrier_kcon.aln.fa	NA19331_h1	source_identity_ambiguous_0_exact_matches_of_2_candidates
11q23.3_carrier_kcon.aln.fa	HG03704_mat	source_identity_ambiguous_0_exact_matches_of_2_candidates
11q23.3_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
11q23.3_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
11q23.3_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
11q23.3_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
11q23.3_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
11q23.3_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
11q23.3_carrier_kcon.aln.fa	HG02818_h2	no_included_public_present_original_source_slot
12p11.21_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
12p11.21_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
12p11.21_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
12p11.21_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
12p11.21_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
12q13.2_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
12q13.2_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
12q13.2_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
12q13.2_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
12q13.2_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
12q13.2_carrier_kcon.aln.fa	HG00513_h2	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q14.1_carrier_kcon.aln.fa	HG04157_pat	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q14.1_carrier_kcon.aln.fa	HG06807_mat_v1.0.genbank	unrecognized_or_reference_alignment_record
12q14.1_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
12q14.1_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
12q14.1_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
12q14.1_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN	unrecognized_or_reference_alignment_record
12q24.33_carrier_kcon.aln.fa	HG01081_mat	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	HG01175_pat	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	HG01255_mat	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	HG02818_pat	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	HG03470_hap1	source_identity_ambiguous_0_exact_matches_of_4_candidates
12q24.33_carrier_kcon.aln.fa	HG06807_pat_v1.0.genbank	unrecognized_or_reference_alignment_record
12q24.33_carrier_kcon.aln.fa	NA20850_hap2	source_identity_ambiguous_0_exact_matches_of_2_candidates
12q24.33_carrier_kcon.aln.fa	chm13v2.0_maskedY_rCRS.fa.PanSN	unrecognized_or_reference_alignment_record
12q24.33_carrier_kcon.aln.fa	hg002v1.1.mat_MT.PanSN	unrecognized_or_reference_alignment_record
