outcome	exposure_id	old_p_pedigree_cluster	refit_model_status	refit_p_pedigree_cluster	refit_beta	refit_n	was_refit	analysis_p_pedigree_cluster	q_bh_finite_model_suite	adjustment	analysis_model_status	analysis_n	included_in_bh_family	bh_family_size	bh_exclusion_reason
Im2012_intrinsic_growth	HML-2_6q14.1::structural::solo_ltr_vs_any_provirus	0.0002005036379347	NA	NA	NA	NA	False	0.0002005036379347	0.0174438165003189	NA	fit	34	True	174	
Im2012_intrinsic_growth	HML-2_6q14.1::structural::solo_ltr_vs_provirus	0.0002005036379347	NA	NA	NA	NA	False	0.0002005036379347	0.0174438165003189	NA	fit	34	True	174	
Houldcroft2014_EBV_qPCR	general::type1_compatible_np9_units	0.0008830671803418	fit	0.0008761148143941	0.0420259647221532	47.0	True	0.0008761148143941	0.0508146592348607	general::type1_physical_units	fit	47	True	174	
Im2012_intrinsic_growth	general::type2_physical_units	0.0059589753259057	fit	0.0080571222222013	0.1388139306012369	34.0	True	0.0080571222222013	0.3504848166657597	NA	fit	34	True	174	
Mandage2017_EBV_in_silico	HML-2_3q27.2::structural::solo_ltr_vs_any_provirus	0.0198539302830571	NA	NA	NA	NA	False	0.0198539302830571	0.575763978208656	NA	fit	116	True	174	
Mandage2017_EBV_in_silico	HML-2_3q27.2::structural::solo_ltr_vs_provirus	0.0198539302830571	NA	NA	NA	NA	False	0.0198539302830571	0.575763978208656	NA	fit	116	True	174	
Houldcroft2014_EBV_qPCR	HML-2_1p31.1b::compatible_env_units	0.0355563089503026	NA	NA	NA	NA	False	0.0355563089503026	0.8408726624119234	HML-2_1p31.1b::total_internal_fragment_cn	fit	47	True	174	
Houldcroft2014_EBV_qPCR	general::type1_loci_present	0.0397406803369081	fit	0.0426598319461502	-0.0365674388808866	47.0	True	0.0426598319461502	0.8408726624119234	NA	fit	47	True	174	
Houldcroft2014_EBV_qPCR	HML-2_19p12b::structural::provirus_vs_absent	0.0480678061703097	NA	NA	NA	NA	False	0.0480678061703097	0.8408726624119234	NA	fit	47	True	174	
Im2012_intrinsic_growth	general::type1_minus_type2_units	0.0203121521201422	fit	0.048326015081145	-0.1119488298895462	34.0	True	0.048326015081145	0.8408726624119234	NA	fit	34	True	174	
Mandage2017_EBV_in_silico	HML-2_22q11.21::orf::orf_pro	0.0544148087493636	NA	NA	NA	NA	False	0.0544148087493636	0.8544689078913886	HML-2_22q11.21::orf::orf_pro::provirus_dosage_adjustment	fit	114	True	174	
Houldcroft2014_EBV_qPCR	general::type1_compatible_env_units	0.0398855072711752	fit	0.0589288901994061	-0.0340998368030483	47.0	True	0.0589288901994061	0.8544689078913886	general::type1_physical_units	fit	47	True	174	
Mandage2017_EBV_in_silico	HML-2_22q11.21::orf::orf_gag_pro	0.0667308739635745	NA	NA	NA	NA	False	0.0667308739635745	0.8931670822816893	HML-2_22q11.21::orf::orf_gag_pro::provirus_dosage_adjustment	fit	114	True	174	
Houldcroft2014_EBV_qPCR	HML-2_1p31.1b::internal_fragment_present	0.08606485911153	NA	NA	NA	NA	False	0.08606485911153	0.8939043140225621	NA	fit	47	True	174	
Im2012_intrinsic_growth	general::type2_loci_present	0.0361802599556341	fit	0.0872165344053289	0.1571421542613907	34.0	True	0.0872165344053289	0.8939043140225621	NA	fit	34	True	174	
Mandage2017_EBV_in_silico	HML-2_7p22.1::compatible_gag_units	0.0877974327830958	NA	NA	NA	NA	False	0.0877974327830958	0.8939043140225621	HML-2_7p22.1::total_physical_cn	fit	116	True	174	
Mandage2017_EBV_in_silico	HML-2_7p22.1::fully_compatible_units	0.0935875344245278	NA	NA	NA	NA	False	0.0935875344245278	0.8939043140225621	HML-2_7p22.1::total_physical_cn	fit	116	True	174	
Mandage2017_EBV_in_silico	HML-2_3p12.3::orf::orf_pro	0.0990820950261978	NA	NA	NA	NA	False	0.0990820950261978	0.8939043140225621	HML-2_3p12.3::orf::orf_pro::provirus_dosage_adjustment	fit	116	True	174	
Houldcroft2014_EBV_qPCR	HML-2_3p12.3::orf::orf_pro	0.10869304191816	NA	NA	NA	NA	False	0.10869304191816	0.8939043140225621	HML-2_3p12.3::orf::orf_pro::provirus_dosage_adjustment	fit	47	True	174	
Im2012_intrinsic_growth	general::type1_compatible_gag_units	0.114247023259845	fit	0.1142470232598452	0.2402569408402623	34.0	True	0.1142470232598452	0.8939043140225621	general::type1_physical_units	fit	34	True	174	
Houldcroft2014_EBV_qPCR	HML-2_22q11.21::orf::orf_pro	0.125767503931094	NA	NA	NA	NA	False	0.125767503931094	0.8939043140225621	HML-2_22q11.21::orf::orf_pro::provirus_dosage_adjustment	fit	47	True	174	
Houldcroft2014_EBV_qPCR	HML-2_22q11.21::orf::orf_gag_pro	0.127342886707143	NA	NA	NA	NA	False	0.127342886707143	0.8939043140225621	HML-2_22q11.21::orf::orf_gag_pro::provirus_dosage_adjustment	fit	47	True	174	
Houldcroft2014_EBV_qPCR	general::type2_physical_units	0.0981042728747252	fit	0.1275649816556612	-0.0075225336120019	47.0	True	0.1275649816556612	0.8939043140225621	NA	fit	47	True	174	
Houldcroft2014_EBV_qPCR	general::type2_compatible_pro_units	0.15409919165649	fit	0.1467866726762487	-0.0248725427217049	47.0	True	0.1467866726762487	0.8939043140225621	general::type2_physical_units	fit	47	True	174	
Im2012_intrinsic_growth	HML-2_7p22.1::max_haplotype_cn	0.151745004061775	NA	NA	NA	NA	False	0.151745004061775	0.8939043140225621	NA	fit	34	True	174	
