outcome	exposure_id	adjustment	model_status	n	beta	se_pedigree_cluster	p_pedigree_cluster	ci95_low	ci95_high	standardized_beta	population_model_status	population_beta	population_p_cluster	q_bh_51_model_suite
Houldcroft2014_EBV_qPCR	general::type1_compatible_np9_units	general::type1_physical_units	fit	47	0.04202596472215388	0.01174983643831019	0.0008761148143927238	0.01833016123481088	0.06572176820949688	0.5641647222449935	fit	0.03606346991309548	0.01157715768052554	0.04468185553402892
Im2012_intrinsic_growth	general::type2_physical_units		fit	34	0.11649319629557027	0.039355850617916514	0.0059589753259054416	0.03611782658429333	0.1968685660068472	0.43237451307701313	fit	0.11935901947524047	0.0018993574075456881	0.15195387081058875
Im2012_intrinsic_growth	general::type1_minus_type2_units		fit	34	-0.10493737603952998	0.04282212357283566	0.020312152120142146	-0.19239181953266019	-0.017482932546399765	-0.3804969483049779	fit	-0.11261180868879121	0.005813551381676281	0.3453065860424165
Houldcroft2014_EBV_qPCR	general::type1_loci_present		fit	47	-0.03498238445497344	0.01619536490110482	0.0363895124878693	-0.06764345051467963	-0.0023213183952672523	-0.29350884804196303	fit	-0.035316752112773284	0.025348791729748014	0.44886995792306916
Im2012_intrinsic_growth	general::type2_loci_present		fit	34	0.1649559783110053	0.07845702219055133	0.04400685861990874	0.004725362887827322	0.3251865937341833	0.32978378375633866	fit	0.1818673084647335	0.015840653881681824	0.44886995792306916
Houldcroft2014_EBV_qPCR	general::type1_compatible_env_units	general::type1_physical_units	fit	47	-0.034099836803047734	0.017575248304081824	0.05892889019941089	-0.06954370295738159	0.0013440293512861218	-0.2946288448017772	fit	-0.023417582900557284	0.1528046446252493	0.5008955666949926
Houldcroft2014_EBV_qPCR	general::type2_physical_units		fit	47	-0.006569111493063826	0.0038851130302172674	0.09810427287472268	-0.014404188634221361	0.0012659656480937106	-0.2551627622780278	fit	-0.007224640751216311	0.05330277023803318	0.582659818625216
Im2012_intrinsic_growth	general::type1_fraction		fit	34	-16.64986452148454	10.027149763298663	0.10723643058219706	-37.12803629827688	3.828307255307795	-0.29126994107367926	fit	-18.62312811730305	0.04450053222055568	0.582659818625216
Im2012_intrinsic_growth	general::type1_type2_log_ratio		fit	34	-2.5343236220370904	1.54180422783635	0.11067118707501826	-5.683107929556066	0.6144606854818853	-0.2912476904069401	fit	-2.8436795513834965	0.04459664829719058	0.582659818625216
Im2012_intrinsic_growth	general::type1_compatible_gag_units	general::type1_physical_units	fit	34	0.24025694084026294	0.14769012212070984	0.11424702325984627	-0.06136652763462891	0.5418804093151548	0.3122840091853235	fit	0.25204653877104766	0.09996216018193235	0.582659818625216
