candidate_index	alias_id	locus	direct_type	endpoint	candidate_kind	source	inference_role	biological_label	physical_adjustment	technical_excluded	n_complete	tested_unique	tested_min	tested_max	minor_state_n	eligibility_status	not_estimable_reason	technical_unresolved_as_negative	truth_family_id	representative	truth_aliases
1	10p12.1::accessory_route_sequence_competence::accepted	10p12.1	TypeI	accessory_route_sequence_competence	accepted_sequence_state	accepted_accessory_provirus_and_multicopy_parts	sequence_inferential_nonhomologous_products	accepted positive-carrier sequence state versus other observable state; technical unresolved excluded	inseparable_alias_of_provirus_present	0	39	1	1.0	1.0	39.0	not_estimable	too_few_complete_people_or_nonvariable_tested_state	False	NA	False	NA
2	10p14::accessory_route_sequence_competence::accepted	10p14	TypeII	accessory_route_sequence_competence	accepted_sequence_state	accepted_accessory_provirus_and_multicopy_parts	sequence_inferential_nonhomologous_products	accepted positive-carrier sequence state versus other observable state; technical unresolved excluded	provirus_present_constant_or_not_needed	0	39	1	0.0	0.0	39.0	not_estimable	too_few_complete_people_or_nonvariable_tested_state	False	NA	False	NA
3	10q24.2::accessory_route_sequence_competence::accepted	10q24.2	TypeII	accessory_route_sequence_competence	accepted_sequence_state	accepted_accessory_provirus_and_multicopy_parts	sequence_inferential_nonhomologous_products	accepted positive-carrier sequence state versus other observable state; technical unresolved excluded	inseparable_alias_of_provirus_present	39	0	0	NA	NA	NA	not_estimable	too_few_complete_people_or_nonvariable_tested_state	False	NA	False	NA
4	11p15.4::accessory_route_sequence_competence::accepted	11p15.4	TypeII	accessory_route_sequence_competence	accepted_sequence_state	accepted_accessory_provirus_and_multicopy_parts	sequence_inferential_nonhomologous_products	accepted positive-carrier sequence state versus other observable state; technical unresolved excluded	inseparable_alias_of_provirus_present	39	0	0	NA	NA	NA	not_estimable	too_few_complete_people_or_nonvariable_tested_state	False	NA	False	NA
5	11q12.3::accessory_route_sequence_competence::accepted	11q12.3	TypeII	accessory_route_sequence_competence	accepted_sequence_state	accepted_accessory_provirus_and_multicopy_parts	sequence_inferential_nonhomologous_products	accepted positive-carrier sequence state versus other observable state; technical unresolved excluded	inseparable_alias_of_provirus_present	26	13	1	0.0	0.0	13.0	not_estimable	too_few_complete_people_or_nonvariable_tested_state	False	NA	False	NA
6	11q22.1::accessory_route_sequence_competence::accepted	11q22.1	TypeII	accessory_route_sequence_competence	accepted_sequence_state	accepted_accessory_provirus_and_multicopy_parts	sequence_inferential_nonhomologous_products	accepted positive-carrier sequence state versus other observable state; technical unresolved excluded	inseparable_alias_of_provirus_present	0	39	2	0.0	1.0	18.0	eligible	NA	False	MAGE_TF_0001	True	11q22.1::accessory_route_sequence_competence::accepted;11q22.1::env_furin_site_sequence::accepted;11q22.1::env_fusion_peptide_proxy::accepted;11q22.1::env_signal_peptide_proxy::accepted;11q22.1::gag_capsid_interface_panel::accepted;11q22.1::gag_maturation_cleavage_panel::accepted;11q22.1::gag_nc_cchc_panel::accepted;11q22.1::rec_sequence_competence::accepted;11q22.1::rt_sequence_compatibility::accepted
7	11q23.3::accessory_route_sequence_competence::accepted	11q23.3	TypeI	accessory_route_sequence_competence	accepted_sequence_state	accepted_accessory_provirus_and_multicopy_parts	sequence_inferential_nonhomologous_products	accepted positive-carrier sequence state versus other observable state; technical unresolved excluded	inseparable_alias_of_provirus_present	0	39	1	1.0	1.0	39.0	not_estimable	too_few_complete_people_or_nonvariable_tested_state	False	NA	False	NA
8	12p11.21::accessory_route_sequence_competence::accepted	12p11.21	TypeII	accessory_route_sequence_competence	accepted_sequence_state	accepted_accessory_provirus_and_multicopy_parts	sequence_inferential_nonhomologous_products	accepted positive-carrier sequence state versus other observable state; technical unresolved excluded	inseparable_alias_of_provirus_present	39	0	0	NA	NA	NA	not_estimable	too_few_complete_people_or_nonvariable_tested_state	False	NA	False	NA
9	12q13.2::accessory_route_sequence_competence::accepted	12q13.2	TypeI	accessory_route_sequence_competence	accepted_sequence_state	accepted_accessory_provirus_and_multicopy_parts	sequence_inferential_nonhomologous_products	accepted positive-carrier sequence state versus other observable state; technical unresolved excluded	provirus_present	1	38	1	0.0	0.0	38.0	not_estimable	too_few_complete_people_or_nonvariable_tested_state	False	NA	False	NA
10	12q14.1::accessory_route_sequence_competence::accepted	12q14.1	TypeII	accessory_route_sequence_competence	accepted_sequence_state	accepted_accessory_provirus_and_multicopy_parts	sequence_inferential_nonhomologous_products	accepted positive-carrier sequence state versus other observable state; technical unresolved excluded	provirus_present	0	39	1	0.0	0.0	39.0	not_estimable	too_few_complete_people_or_nonvariable_tested_state	False	NA	False	NA
