model_id	focal_exposure_id	adjustment	family	ancestry_model	status	n	beta	se_hc3	ci95_low	ci95_high	standardized_beta	statistic_hc3	p_two_sided_hc3	residual_df	p_one_sided_positive	q_bh_secondary_family	included_in_bh_family	bh_family_size	bh_exclusion_reason
prespecified_MAGE_replication	HML-2_1p31.1b::internal_fragment_present	NA	prespecified_replication	population	fit	33	0.609216023155312	0.115984869617005	0.371234728225155	0.84719731808547	0.786481267382014	5.25254738111111	1.54608134461494e-05	27.0	7.73040672307471e-06	NA	False	30	primary_replication_not_in_secondary_BH_family
prespecified_MAGE_replication	HML-2_1p31.1b::internal_fragment_present	NA	prespecified_replication	superpopulation	fit	33	0.554967627889318	0.0885259004938865	0.373911832102731	0.736023423675904	0.716448068909552	6.26898596674137	7.63565768582535e-07	29.0	3.81782884291268e-07	NA	False	30	superpopulation_sensitivity_not_in_population_BH_family
MAGE_nonoverlap_replication	HML-2_1p31.1b::internal_fragment_present	NA	independent_donor_sensitivity	population	fit	28	0.519734082414696	0.140189497058125	0.228998860062841	0.810469304766552	0.849267845258363	3.70736819320499	0.0012279892553204	22.0	0.0006139946276602	0.0184198388298067	True	30	
MAGE_nonoverlap_replication	HML-2_1p31.1b::internal_fragment_present	NA	independent_donor_sensitivity	superpopulation	fit	28	0.463381989600168	0.100894992183942	0.255144960356261	0.671619018844076	0.757186101805934	4.59271545167849	0.0001169853610065	24.0	5.84926805032833e-05	NA	False	30	superpopulation_sensitivity_not_in_population_BH_family
general_type1_physical_burden	general::type1_physical_units	NA	shared_type1	population	fit	33	0.0010143556214963	0.061674986822772	-0.125532264444987	0.127560975687979	0.0043110850777428	0.0164467910534161	0.986998884838825	27.0	0.493499442419413	0.986998884838826	True	30	
general_type1_physical_burden	general::type1_physical_units	NA	shared_type1	superpopulation	fit	33	0.0108555042738052	0.0651417177958611	-0.122374267901733	0.144085276449344	0.046136681745935	0.166644427582088	0.868806338321353	29.0	0.434403169160676	NA	False	30	superpopulation_sensitivity_not_in_population_BH_family
local_state_adjusted_type1_burden	HML-2_1p31.1b::internal_fragment_present	general::type1_physical_units	local_vs_shared_type1	population	fit	33	0.609491241537442	0.117407993713419	0.368155654127513	0.850826828947371	0.786836566805793	5.19122439844387	2.03018434074142e-05	26.0	1.01509217037071e-05	0.0006090553022224	True	30	
local_state_adjusted_type1_burden	HML-2_1p31.1b::internal_fragment_present	general::type1_physical_units	local_vs_shared_type1	superpopulation	fit	33	0.554417521731603	0.0930794775727044	0.363752855117105	0.745082188346101	0.715737896866024	5.95638841331642	2.05802117209333e-06	28.0	1.02901058604666e-06	NA	False	30	superpopulation_sensitivity_not_in_population_BH_family
type1_burden_adjusted_local_state	general::type1_physical_units	HML-2_1p31.1b::internal_fragment_present	local_vs_shared_type1	population	fit	33	-0.0033289242032936	0.022035544438877	-0.0486236344939285	0.0419657860873412	-0.0141481696888378	-0.151070658250699	0.8810860000448	26.0	0.5594569999776	0.986998884838826	True	30	
type1_burden_adjusted_local_state	general::type1_physical_units	HML-2_1p31.1b::internal_fragment_present	local_vs_shared_type1	superpopulation	fit	33	0.007172447945694	0.0298309589445647	-0.053933501402953	0.0682783972943411	0.0304834248012115	0.240436385535668	0.811743700394844	28.0	0.405871850197422	NA	False	30	superpopulation_sensitivity_not_in_population_BH_family
onep31b_feature::HML-2_1p31.1b::total_internal_fragment_cn	HML-2_1p31.1b::total_internal_fragment_cn	NA	onep31b_secondary	population	fit	33	0.231229290342228	0.112503007696116	0.0003921859555217	0.462066394728934	0.593167845343984	2.05531652066411	0.0496387293697686	27.0	0.0248193646848843	0.496387293697686	True	30	
onep31b_feature::HML-2_1p31.1b::total_internal_fragment_cn	HML-2_1p31.1b::total_internal_fragment_cn	NA	onep31b_secondary	superpopulation	fit	33	0.228599982410938	0.0925808987288152	0.0392507840354792	0.417949180786397	0.586422934619046	2.46919165345916	0.0196734427612914	29.0	0.0098367213806457	NA	False	30	superpopulation_sensitivity_not_in_population_BH_family
onep31b_feature::HML-2_1p31.1b::any_array	HML-2_1p31.1b::any_array	NA	onep31b_secondary	population	underpowered_arm_lt5	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	30	underpowered_arm_lt5
onep31b_feature::HML-2_1p31.1b::any_array	HML-2_1p31.1b::any_array	NA	onep31b_secondary	superpopulation	underpowered_arm_lt5	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	30	superpopulation_sensitivity_not_in_population_BH_family
onep31b_feature::HML-2_1p31.1b::max_haplotype_cn	HML-2_1p31.1b::max_haplotype_cn	NA	onep31b_secondary	population	fit	33	0.347762254312762	0.242260872831982	-0.149315997513047	0.844840506138571	0.697215407314099	1.43548667288898	0.162632923141848	27.0	0.0813164615709241	0.986998884838826	True	30	
onep31b_feature::HML-2_1p31.1b::max_haplotype_cn	HML-2_1p31.1b::max_haplotype_cn	NA	onep31b_secondary	superpopulation	fit	33	0.345276431775044	0.198249996106965	-0.0601903368156137	0.750743200365702	0.69223167560759	1.74162137984987	0.0921743494384526	29.0	0.0460871747192263	NA	False	30	superpopulation_sensitivity_not_in_population_BH_family
onep31b_feature::HML-2_1p31.1b::compatible_env_units	HML-2_1p31.1b::compatible_env_units	HML-2_1p31.1b::total_internal_fragment_cn	onep31b_secondary	population	exposure_aliased	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	30	exposure_aliased
onep31b_feature::HML-2_1p31.1b::compatible_env_units	HML-2_1p31.1b::compatible_env_units	HML-2_1p31.1b::total_internal_fragment_cn	onep31b_secondary	superpopulation	exposure_aliased	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	30	superpopulation_sensitivity_not_in_population_BH_family
onep31b_feature::HML-2_1p31.1b::compatible_np9_units	HML-2_1p31.1b::compatible_np9_units	HML-2_1p31.1b::total_internal_fragment_cn	onep31b_secondary	population	exposure_aliased	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	30	exposure_aliased
onep31b_feature::HML-2_1p31.1b::compatible_np9_units	HML-2_1p31.1b::compatible_np9_units	HML-2_1p31.1b::total_internal_fragment_cn	onep31b_secondary	superpopulation	exposure_aliased	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	30	superpopulation_sensitivity_not_in_population_BH_family
general_feature::general::type1_loci_present	general::type1_loci_present	NA	general_secondary	population	fit	33	-0.0262759762199449	0.1096241948735	-0.251206244605974	0.198654292166084	-0.0548050588114255	-0.239691395227722	0.812379857021246	27.0	0.593810071489377	0.986998884838826	True	30	
general_feature::general::type1_loci_present	general::type1_loci_present	NA	general_secondary	superpopulation	fit	33	0.0169317253346017	0.111173195103179	-0.210442988701021	0.244306439370225	0.0353153083628303	0.152300429243646	0.880004663563478	29.0	0.440002331781739	NA	False	30	superpopulation_sensitivity_not_in_population_BH_family
general_feature::general::type1_compatible_gag_units	general::type1_compatible_gag_units	general::type1_physical_units	general_secondary	population	fit	33	0.0334278519073843	0.0673946619405747	-0.105103859718851	0.17195956353362	0.11345405107143	0.496001477637195	0.624060417741885	26.0	0.312030208870943	0.986998884838826	True	30	
general_feature::general::type1_compatible_gag_units	general::type1_compatible_gag_units	general::type1_physical_units	general_secondary	superpopulation	fit	33	0.0323730687393198	0.05701358155949	-0.0844139589064652	0.149160096385105	0.10987411946977	0.567813279815452	0.574687094838586	28.0	0.287343547419293	NA	False	30	superpopulation_sensitivity_not_in_population_BH_family
general_feature::general::type1_compatible_env_units	general::type1_compatible_env_units	general::type1_physical_units	general_secondary	population	fit	33	-0.0161092591228642	0.108725689095136	-0.239598113794649	0.20737959554892	-0.0388250791374071	-0.14816424027231	0.88335626939955	26.0	0.558321865300225	0.986998884838826	True	30	
general_feature::general::type1_compatible_env_units	general::type1_compatible_env_units	general::type1_physical_units	general_secondary	superpopulation	fit	33	-0.0299776355047252	0.115962967623178	-0.267517006567814	0.207561735558364	-0.0722493853967112	-0.258510420345033	0.797903863819129	28.0	0.601048068090436	NA	False	30	superpopulation_sensitivity_not_in_population_BH_family
