locus	callable_typeI	callable_typeII	internal_bearing_unresolved	biological_absence	solo_LTR	zero_event_one_sided_95_upper_TypeII_frequency	interpretation
10p12.1	557	0	2	0	25	0.005363897	all_callable_internal_alleles_TypeI
11q23.3	573	0	2	0	9	0.005214511	all_callable_internal_alleles_TypeI
12q13.2	258	0	1	195	130	0.011544214	all_callable_internal_alleles_TypeI
19p12c	263	0	2	319	0	0.011325990	all_callable_internal_alleles_TypeI
19p12e	580	0	2	0	2	0.005151740	all_callable_internal_alleles_TypeI
1p31.1a	522	0	2	0	60	0.005722514	all_callable_internal_alleles_TypeI
1p31.1b	115	0	0	0	469	0.025713476	all_callable_internal_alleles_TypeI
1q22	578	0	3	0	3	0.005169520	all_callable_internal_alleles_TypeI
1q23.3	582	0	2	0	0	0.005134082	all_callable_internal_alleles_TypeI
1q32.2	582	0	2	0	0	0.005134082	all_callable_internal_alleles_TypeI
21q21.1	581	0	2	0	1	0.005142895	all_callable_internal_alleles_TypeI
22q11.21	551	0	2	6	25	0.005422147	all_callable_internal_alleles_TypeI
3p25.3	582	0	2	0	0	0.005134082	all_callable_internal_alleles_TypeI
3q12.3	571	0	2	0	11	0.005232728	all_callable_internal_alleles_TypeI
3q13.2	526	0	2	0	56	0.005679121	all_callable_internal_alleles_TypeI
3q27.2	562	0	1	0	21	0.005316303	all_callable_internal_alleles_TypeI
4q32.3	582	0	2	0	0	0.005134082	all_callable_internal_alleles_TypeI
5p12	577	0	3	4	0	0.005178456	all_callable_internal_alleles_TypeI
5q33.3	554	0	2	1	27	0.005392865	all_callable_internal_alleles_TypeI
8q11.23_new	1	0	0	0	583	0.950000	one_callable_allele_only_no_frequency_precision
TOTAL	9697	0	36	525	1422	0.000309	descriptive_pooled_bound_only_rows_are_correlated_across_loci
