source	rate_label	rate_per_generation	Ne	scenario	locus	n_typed	age_bound_Ma	p_all_I	p_all_II	p_sample_mixed	p_all_I_given_TypeI_detected
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	10p12.1	427	2.91	0.04596332288780615	0.8120362228114016	0.14200045430079222	0.24453287529802964
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	11q23.3	523	24.18	0.4321690782150615	0.4808294116545023	0.08700151013043611	0.8324221131098852
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	12q13.2	237	2.0	0.02509855903288848	0.8427133990343276	0.13218804193278388	0.15957213697030817
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	19p12e	489	23.47	0.42224814619068823	0.4900341273416314	0.08771772646768045	0.8279929478213468
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	1p31.1b	67	2.0	0.02534011852806653	0.8689677905176846	0.10569209095424892	0.19338847011876514
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	1q22	348	2.0	0.025068203802361855	0.8348669656026441	0.14006483059499408	0.15180611132016622
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	1q23.3	350	14.14	0.2745612512738107	0.6203457418501346	0.10509300687605472	0.7231875986635975
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	21q21.1	181	6.27	0.12103994994491041	0.7638428183199165	0.11511723173517308	0.5125397800049983
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	22q11.21	217	3.34	0.055918390740694136	0.8168712543456553	0.12721035491365051	0.30535015429112394
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	3p25.3	381	21.96	0.4005729307852926	0.5115273926555899	0.08789967655911757	0.820051984005847
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	3q12.3	371	9.98	0.1970563089732173	0.6856458417104472	0.11729784931633547	0.6268608312529717
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	3q13.2	347	2.0	0.025068390574137456	0.8349254932969992	0.14000611612886338	0.1518610661017456
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	3q27.2	369	2.0	0.025064515459300614	0.8336760899703343	0.14125939457036507	0.15069700715206896
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	4q32.3	364	16.73	0.31898568696243845	0.5817991920669177	0.09921512097064389	0.7627572231124918
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	5p12	504	24.24	0.43300077164618367	0.4805592742029675	0.08643995415084882	0.8335903408069999
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	individual_older_upper_bounds	5q33.3	481	2.0	0.025050283871437852	0.8283087075860669	0.1466410085424953	0.14590305378471816
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	10p12.1	427	5.82	0.11126692335210542	0.756301210663353	0.1324318659845416	0.45657560981314765
Dumont_Eichler_2013	low_across_families	6.1e-07	10000	double_older_upper_bounds	11q23.3	523	48.36	0.6852333088152067	0.2665389944863575	0.048227696698435796	0.9342464066448058
