region	split	tip_count	bootstrap_replicates	bootstrap_count	bootstrap_percent
LTR	12q13.2__hap1__n216;12q13.2__hap2__n61;12q14.1__hap1__n260;12q14.1__hap2__n127;19q12__hap1__n314;19q12__hap2__n40;1p31.1b__hap1__n97;1p31.1b__hap2__n72;22q11.21__hap1__n99;22q11.21__hap2__n35;3q13.2__hap1__n261;3q13.2__hap2__n32;8q24.3a__hap1__n174;8q24.3a__hap2__n159;Xq21.33__hap1__n3	15	1000	19	1.9
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81;11q22.1__hap1__n160;11q22.1__hap2__n88;19p12b__hap1__n57;19p12b__hap2__n3;1q22__hap1__n256;1q22__hap2__n40;4q32.1__hap1__n132;4q32.1__hap2__n78;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;7p22.1__hap1__n93;7p22.1__hap2__n81;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9	20	1000	50	5.0
LTR	4q32.1__hap1__n132;4q32.1__hap2__n78	2	1000	987	98.7
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81;11q22.1__hap1__n160;11q22.1__hap2__n88;19p12b__hap1__n57;19p12b__hap2__n3;1q22__hap1__n256;1q22__hap2__n40;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;7p22.1__hap1__n93;7p22.1__hap2__n81;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9	18	1000	111	11.1
LTR	11q22.1__hap1__n160;11q22.1__hap2__n88;19p12b__hap1__n57;19p12b__hap2__n3;1q22__hap1__n256;1q22__hap2__n40;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9	14	1000	167	16.7
LTR	19p12b__hap1__n57;19p12b__hap2__n3;1q22__hap1__n256;1q22__hap2__n40;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4	10	1000	306	30.6
LTR	6q14.1__hap1__n152;6q14.1__hap2__n106	2	1000	983	98.3
LTR	19p12b__hap1__n57;19p12b__hap2__n3;1q22__hap1__n256;1q22__hap2__n40;5q33.3__hap1__n307;5q33.3__hap2__n53;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4	8	1000	381	38.1
LTR	1q22__hap1__n256;1q22__hap2__n40;5q33.3__hap1__n307;5q33.3__hap2__n53;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4	6	1000	474	47.4
LTR	5q33.3__hap1__n307;5q33.3__hap2__n53	2	1000	1000	100.0
LTR	1q22__hap1__n256;1q22__hap2__n40;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4	4	1000	814	81.4
LTR	8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4	2	1000	933	93.3
LTR	1q22__hap1__n256;1q22__hap2__n40	2	1000	982	98.2
LTR	19p12b__hap1__n57;19p12b__hap2__n3	2	1000	999	99.9
LTR	11q22.1__hap1__n160;11q22.1__hap2__n88;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9	4	1000	319	31.9
LTR	8q11.23_new__hap1__n465;8q11.23_new__hap2__n9	2	1000	977	97.7
LTR	11q22.1__hap1__n160;11q22.1__hap2__n88	2	1000	947	94.7
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81;7p22.1__hap1__n93;7p22.1__hap2__n81	4	1000	548	54.8
LTR	7p22.1__hap1__n93;7p22.1__hap2__n81	2	1000	987	98.7
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81	2	1000	971	97.1
