ID_Full	reason
HG00732_h2_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG00864_h2_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG01261_pat_hprc_r2_v1.0.1_HML-2_4p16.3a	raw_source_not_local
HG01596_h1_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG01890_h2_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG01981_mat_hprc_r2_v1.0.1_HML-2_4p16.3a	raw_source_not_local
HG02059_h1_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG02059_h2_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG02155_hap2_hprc_r2_v1.0.1_HML-2_4p16.3a	raw_source_not_local
HG02280_mat_hprc_r2_v1.0.1_HML-2_4p16.3a	raw_source_not_local
HG02492_h2_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG02769_h2_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG02953_h2_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG03009_h1_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG03017_mat_hprc_r2_v1.0.1_HML-2_4p16.3a	raw_source_not_local
HG03017_pat_hprc_r2_v1.0.1_HML-2_4p16.3a	raw_source_not_local
HG03452_h1_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG03540_pat_hprc_r2_v1.0.1_HML-2_4p16.3a	raw_source_not_local
HG03579_mat_hprc_r2_v1.0.1_HML-2_4p16.3a	raw_source_not_local
HG03654_mat_hprc_r2_v1.0.1_HML-2_4p16.3a	raw_source_not_local
HG03732_h1_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG04036_h1_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG04217_h2_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
NA18565_hap2_hprc_r2_v1.0.1_HML-2_4p16.3a	raw_source_not_local
NA19239_h1_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
NA19317_h2_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
NA20509_h2_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
NA20847_h1_HML-2_4p16.3a_graph_hgsvc3-2024-02-23-mc-chm13	raw_source_not_local
HG03139_hap2_hprc_r2_v1.0.1_HML-2_15p13a	fewer_than_500_mapped_bases_in_one_LTR
HG00099_hap2_hprc_r2_v1.0.1_HML-2_15p13a_alt1	fewer_than_500_jointly_called_LTR_sites
HG00323_hap2_hprc_r2_v1.0.1_HML-2_15p13a_alt1	fewer_than_500_jointly_called_LTR_sites
HG00558_pat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	fewer_than_500_jointly_called_LTR_sites
HG00642_mat_hprc_r2_v1.0.1_HML-2_15p13a	fewer_than_500_jointly_called_LTR_sites
HG00658_mat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	fewer_than_500_jointly_called_LTR_sites
HG00738_pat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	fewer_than_500_jointly_called_LTR_sites
