locus	long_read_catalog	legacy_short_read_catalog	analysis_role
HML-2_10p12.1	yes	no	long_read_only_not_represented
HML-2_10p14	yes	yes	matched
HML-2_10q24.2	yes	yes	matched
HML-2_11p15.4	yes	yes	matched
HML-2_11p15.4b	yes	no	long_read_only_not_represented
HML-2_11q12.1	yes	yes	matched
HML-2_11q12.3	yes	yes	matched
HML-2_11q22.1	yes	yes	matched
HML-2_11q23.3	yes	yes	matched
HML-2_12p11.21	yes	yes	matched
HML-2_12q13.2	yes	yes	matched
HML-2_12q14.1	yes	yes	matched
HML-2_12q24.33	yes	yes	matched
HML-2_13p13	yes	no	long_read_only_not_represented
HML-2_14q11.2	yes	no	long_read_only_not_represented
HML-2_14q32.33	yes	no	long_read_only_not_represented
HML-2_15p13a	yes	no	long_read_only_not_represented
HML-2_15p13b	yes	no	long_read_only_not_represented
HML-2_15q25.2	yes	yes	matched
HML-2_16p11.2	yes	yes	matched
HML-2_19p12a	yes	yes	matched
HML-2_19p12b	yes	yes	matched
HML-2_19p12c	yes	yes	matched
HML-2_19p12d	yes	yes	matched
HML-2_19p12e	yes	yes	matched
HML-2_19p13.3	yes	yes	matched
HML-2_19q12	yes	yes	matched
HML-2_19q13.12a	yes	yes	matched
HML-2_19q13.12b	yes	yes	matched
HML-2_19q13.41	yes	yes	matched
HML-2_19q13.42	yes	yes	matched
HML-2_1p31.1a	yes	no	long_read_only_not_represented
HML-2_1p31.1b	yes	yes	matched
HML-2_1p34.3	yes	yes	matched
HML-2_1p36.21a	yes	yes	matched
HML-2_1p36.21b	yes	yes	matched
HML-2_1p36.21c	yes	yes	matched
HML-2_1q21.3	yes	yes	matched
HML-2_1q22	yes	yes	matched
HML-2_1q23.3	yes	yes	matched
HML-2_1q24.1	yes	yes	matched
HML-2_1q32.2	yes	yes	matched
HML-2_1q43	yes	yes	matched
HML-2_20q11.22	yes	yes	matched
HML-2_21p13	yes	no	long_read_only_not_represented
HML-2_21q21.1	yes	yes	matched
HML-2_22p13	yes	no	long_read_only_not_represented
HML-2_22q11.21	yes	yes	matched
HML-2_22q11.23	yes	yes	matched
HML-2_2q21.1	yes	yes	matched
HML-2_3p12.3	yes	yes	matched
HML-2_3p25.3	yes	yes	matched
HML-2_3q12.3	yes	yes	matched
HML-2_3q13.2	yes	yes	matched
HML-2_3q21.2	yes	yes	matched
HML-2_3q24_hg38	yes	yes	matched
HML-2_3q27.2	yes	yes	matched
HML-2_4p16.1a	yes	yes	matched
HML-2_4p16.1b	yes	yes	matched
HML-2_4p16.3a	yes	no	long_read_only_not_represented
HML-2_4p16.3b	yes	yes	matched
HML-2_4p16.3c	yes	yes	matched
HML-2_4q13.2	yes	yes	matched
HML-2_4q32.1	yes	yes	matched
HML-2_4q32.3	yes	yes	matched
HML-2_4q35.2_hg38	yes	yes	matched
HML-2_5p12	yes	yes	matched
HML-2_5p13.3	yes	yes	matched
HML-2_5q11.2	yes	yes	matched
HML-2_5q33.2	yes	yes	matched
HML-2_5q33.3	yes	yes	matched
HML-2_6p21.1	yes	yes	matched
HML-2_6p22.1	yes	yes	matched
HML-2_6q11.1	yes	yes	matched
HML-2_6q14.1	yes	yes	matched
HML-2_6q25.1	yes	yes	matched
HML-2_7p22.1	yes	yes	matched
HML-2_7q11.21	yes	yes	matched
HML-2_7q22.2	yes	yes	matched
HML-2_7q34	yes	yes	matched
HML-2_8p23.1_duplicate_group_unresolved	yes	no	long_read_only_not_represented
HML-2_8p23.1a_hg38	yes	yes	matched
HML-2_8p23.1b	yes	yes	matched
HML-2_8p23.1c	yes	yes	matched
HML-2_8p23.1d	yes	no	long_read_only_not_represented
HML-2_8p23.1e	yes	yes	matched
HML-2_8q11.21	yes	yes	matched
HML-2_8q11.23_new	yes	yes	matched
HML-2_8q24.3a	yes	yes	matched
HML-2_8q24.3c	yes	yes	matched
HML-2_9q34.11	yes	yes	matched
HML-2_9q34.3	yes	yes	matched
HML-2_Xq11.1	yes	yes	matched
HML-2_Xq12	yes	yes	matched
HML-2_Xq21.33	yes	yes	matched
HML-2_Xq28a	yes	no	long_read_only_not_represented
HML-2_Xq28b	yes	yes	matched
HML-2_Yp11.2	yes	no	long_read_only_not_represented
HML-2_Yq11.23_duplicate_group_unresolved	yes	no	long_read_only_not_represented
HML-2_Yq11.23a	yes	no	long_read_only_not_represented
HML-2_Yq11.23b	yes	no	long_read_only_not_represented
HML-2_acro_type1	yes	no	long_read_only_not_represented
HML-2_acro_type2	yes	no	long_read_only_not_represented
