observation	focal_count	rival_classes	rival_count_each	conditioned_total_units	ascertainment_scenario	focal_ascertainment_odds_low	focal_ascertainment_odds_high	dirichlet_alpha_per_lesion	source_opportunity_cv	model	simulations	posterior_importance_effective_sample_size	model_evidence_method	log_marginal_likelihood	equal_model_prior_share	likelihood_ratio_effect_vs_source_only
orthology_aware_floor	16	6	1	22	narrow	0.67	1.5	0.1	3.162277660168379	source_opportunity_only	1000000	991439.799693535	deterministic_Gauss-Legendre_quadrature	-17.37186586074128	0.39818038041247567	1.5114245934571084
orthology_aware_floor	16	6	1	22	narrow	0.67	1.5	0.1	3.162277660168379	source_plus_focal_effect	1000000	952866.8793398463	deterministic_Gauss-Legendre_quadrature	-16.958813215298093	0.6018196195875228	1.5114245934571084
orthology_aware_floor	16	6	1	22	narrow	0.67	1.5	0.25	2.0	source_opportunity_only	1000000	953662.6381162958	deterministic_Gauss-Legendre_quadrature	-14.105891665101502	0.2693481964023777	2.7126664048869498
orthology_aware_floor	16	6	1	22	narrow	0.67	1.5	0.25	2.0	source_plus_focal_effect	1000000	755203.9866793947	deterministic_Gauss-Legendre_quadrature	-13.10795960069284	0.7306518035976219	2.7126664048869498
orthology_aware_floor	16	6	1	22	narrow	0.67	1.5	0.5	1.414213562373095	source_opportunity_only	1000000	858796.3983248541	deterministic_Gauss-Legendre_quadrature	-12.774356098089353	0.1332601902159338	6.504116558588179
orthology_aware_floor	16	6	1	22	narrow	0.67	1.5	0.5	1.414213562373095	source_plus_focal_effect	1000000	354412.38109472516	deterministic_Gauss-Legendre_quadrature	-10.90192080494228	0.8667398097840655	6.504116558588179
orthology_aware_floor	16	6	1	22	narrow	0.67	1.5	1.0	1.0	source_opportunity_only	1000000	671526.3722303044	deterministic_Gauss-Legendre_quadrature	-12.62327133624385	0.03584315313168956	26.899331186794583
orthology_aware_floor	16	6	1	22	narrow	0.67	1.5	1.0	1.0	source_plus_focal_effect	1000000	27315.468302211157	deterministic_Gauss-Legendre_quadrature	-9.331169912889584	0.9641568468683108	26.899331186794583
orthology_aware_floor	16	6	1	22	narrow	0.67	1.5	2.0	0.7071067811865475	source_opportunity_only	1000000	443343.7735140547	deterministic_Gauss-Legendre_quadrature	-13.583046834457924	0.005108495321016656	194.75235703670722
orthology_aware_floor	16	6	1	22	narrow	0.67	1.5	2.0	0.7071067811865475	source_plus_focal_effect	1000000	870.7077442247017	deterministic_Gauss-Legendre_quadrature	-8.311318046896059	0.9948915046789841	194.75235703670722
orthology_aware_floor	16	6	1	22	narrow	0.67	1.5	5.0	0.4472135954999579	source_opportunity_only	1000000	187921.69100909555	deterministic_Gauss-Legendre_quadrature	-15.951684403827636	0.00023069935428650937	4333.6458558270715
orthology_aware_floor	16	6	1	22	narrow	0.67	1.5	5.0	0.4472135954999579	source_plus_focal_effect	1000000	13.76013389012664	deterministic_Gauss-Legendre_quadrature	-7.577519938077158	0.9997693006457137	4333.6458558270715
orthology_aware_floor	16	6	1	22	narrow	0.67	1.5	20.0	0.22360679774997896	source_opportunity_only	1000000	7735.566603994363	deterministic_Gauss-Legendre_quadrature	-19.585487635550066	4.071830094758572e-06	245588.8150778057
