observation	focal_count	rival_classes	rival_count_each	conditioned_total_units	ascertainment_scenario	focal_ascertainment_odds_low	focal_ascertainment_odds_high	dirichlet_alpha_per_lesion	source_opportunity_cv	model	simulations	posterior_importance_effective_sample_size	model_evidence_method	log_marginal_likelihood	equal_model_prior_share	likelihood_ratio_effect_vs_source_only
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	0.1	3.162277660168379	source_opportunity_only	1000000	994080.4515850906	deterministic_Gauss-Legendre_quadrature	-17.04639710908847	0.43051181836710656	1.3228166041826952
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	0.1	3.162277660168379	source_plus_focal_effect	1000000	965991.6026702126	deterministic_Gauss-Legendre_quadrature	-16.766633854741556	0.5694881816328932	1.3228166041826952
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	0.25	2.0	source_opportunity_only	1000000	968351.4081323036	deterministic_Gauss-Legendre_quadrature	-13.538485612323393	0.3407417896885193	1.9347735741897845
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	0.25	2.0	source_plus_focal_effect	1000000	808262.5561156722	deterministic_Gauss-Legendre_quadrature	-12.878495308611138	0.6592582103114804	1.9347735741897845
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	0.5	1.414213562373095	source_opportunity_only	1000000	902966.1417576694	deterministic_Gauss-Legendre_quadrature	-11.847576057004405	0.23084021518377398	3.3320008136532526
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	0.5	1.414213562373095	source_plus_focal_effect	1000000	423306.45787548524	deterministic_Gauss-Legendre_quadrature	-10.644003088506185	0.7691597848162268	3.3320008136532526
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	1.0	1.0	source_opportunity_only	1000000	763457.711821798	deterministic_Gauss-Legendre_quadrature	-11.104061612989803	0.11492340251891253	7.701447904272005
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	1.0	1.0	source_plus_focal_effect	1000000	51665.67199891103	deterministic_Gauss-Legendre_quadrature	-9.062653262291533	0.8850765974810869	7.701447904272005
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	2.0	0.7071067811865475	source_opportunity_only	1000000	562331.852659558	deterministic_Gauss-Legendre_quadrature	-11.195814495547577	0.04155573119730579	23.064069412038982
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	2.0	0.7071067811865475	source_plus_focal_effect	1000000	1789.256414105352	deterministic_Gauss-Legendre_quadrature	-8.057538525675639	0.9584442688026946	23.064069412038982
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	5.0	0.4472135954999579	source_opportunity_only	1000000	280839.46598984743	deterministic_Gauss-Legendre_quadrature	-12.065084722649647	0.008975077960883126	110.41964497226519
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	5.0	0.4472135954999579	source_plus_focal_effect	1000000	136.9337873753937	deterministic_Gauss-Legendre_quadrature	-7.3607966610473765	0.9910249220391165	110.41964497226519
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	20.0	0.22360679774997896	source_opportunity_only	1000000	29375.932692321905	deterministic_Gauss-Legendre_quadrature	-13.451233063262258	0.0015591024551473629	640.3946669755466
orthology_aware_floor	10	6	1	16	narrow	0.67	1.5	20.0	0.22360679774997896	source_plus_focal_effect	1000000	8.665385004358903	deterministic_Gauss-Legendre_quadrature	-6.989148409820303	0.9984408975448523	640.3946669755466
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	0.1	3.162277660168379	source_opportunity_only	1000000	940028.6525053305	deterministic_Gauss-Legendre_quadrature	-17.060860179013197	0.4326784221235851	1.3111852795709122
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	0.1	3.162277660168379	source_plus_focal_effect	1000000	956428.8643811791	deterministic_Gauss-Legendre_quadrature	-16.789928657313517	0.5673215778764141	1.3111852795709122
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	0.25	2.0	source_opportunity_only	1000000	761785.1415106802	deterministic_Gauss-Legendre_quadrature	-13.493305454054708	0.3605225119257871	1.7737518932128375
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	0.25	2.0	source_plus_focal_effect	1000000	780923.2310858446	deterministic_Gauss-Legendre_quadrature	-12.920208437212725	0.6394774880742126	1.7737518932128375
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	0.5	1.414213562373095	source_opportunity_only	1000000	516131.96560906403	deterministic_Gauss-Legendre_quadrature	-11.603957466416185	0.28812239935603623	2.4707471624387236
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	0.5	1.414213562373095	source_plus_focal_effect	1000000	397979.4906338913	deterministic_Gauss-Legendre_quadrature	-10.699436866604199	0.7118776006439632	2.4707471624387236
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	1.0	1.0	source_opportunity_only	1000000	235400.01100914375	deterministic_Gauss-Legendre_quadrature	-10.411103474425072	0.2171899122214155	3.6042654088857664
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	1.0	1.0	source_plus_focal_effect	1000000	41818.10623264192	deterministic_Gauss-Legendre_quadrature	-9.128985494525399	0.7828100877785839	3.6042654088857664
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	2.0	0.7071067811865475	source_opportunity_only	1000000	48370.9157511067	deterministic_Gauss-Legendre_quadrature	-9.801298074352015	0.15836659117279608	5.314463123784014
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	2.0	0.7071067811865475	source_plus_focal_effect	1000000	588.9133770189339	deterministic_Gauss-Legendre_quadrature	-8.1308660791777	0.8416334088272037	5.314463123784014
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	5.0	0.4472135954999579	source_opportunity_only	1000000	1241.1332498685306	deterministic_Gauss-Legendre_quadrature	-9.587452518406925	0.10370225182768515	8.642992146994365
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	5.0	0.4472135954999579	source_plus_focal_effect	1000000	22.09878409627097	deterministic_Gauss-Legendre_quadrature	-7.430703682234041	0.8962977481723147	8.642992146994365
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	20.0	0.22360679774997896	source_opportunity_only	1000000	8.825493768872851	deterministic_Gauss-Legendre_quadrature	-9.724750838389863	0.06412276961685262	14.595084335489812
orthology_aware_floor	10	6	1	16	broad	0.25	4.0	20.0	0.22360679774997896	source_plus_focal_effect	1000000	4.2716761067897835	deterministic_Gauss-Legendre_quadrature	-7.04406605571817	0.9358772303831477	14.595084335489812
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	0.1	3.162277660168379	source_opportunity_only	1000000	991093.1343341123	deterministic_Gauss-Legendre_quadrature	-17.412843801529483	0.3938778467023594	1.5388581977185074
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	0.1	3.162277660168379	source_plus_focal_effect	1000000	950905.9805070289	deterministic_Gauss-Legendre_quadrature	-16.98180309015206	0.6061221532976393	1.5388581977185074
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	0.25	2.0	source_opportunity_only	1000000	951633.9887076756	deterministic_Gauss-Legendre_quadrature	-14.181750878839129	0.26025850333302275	2.8423336305765807
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	0.25	2.0	source_plus_focal_effect	1000000	748172.9174116981	deterministic_Gauss-Legendre_quadrature	-13.137125463170136	0.7397414966669777	2.8423336305765807
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	0.5	1.414213562373095	source_opportunity_only	1000000	853030.5487786129	deterministic_Gauss-Legendre_quadrature	-12.902800451198125	0.12271292201830622	7.149101036407734
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	0.5	1.414213562373095	source_plus_focal_effect	1000000	338752.3430659327	deterministic_Gauss-Legendre_quadrature	-10.935813831570528	0.8772870779816944	7.149101036407734
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	1.0	1.0	source_opportunity_only	1000000	660957.0621164474	deterministic_Gauss-Legendre_quadrature	-12.84034200176865	0.03008899714599528	32.23474009944181
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	1.0	1.0	source_plus_focal_effect	1000000	13081.266673044674	deterministic_Gauss-Legendre_quadrature	-9.367297245720692	0.9699110028540042	32.23474009944181
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	2.0	0.7071067811865475	source_opportunity_only	1000000	430188.6011332522	deterministic_Gauss-Legendre_quadrature	-13.934416357816298	0.003728166498640965	267.2283638256316
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	2.0	0.7071067811865475	source_plus_focal_effect	1000000	439.14992133447635	deterministic_Gauss-Legendre_quadrature	-8.346312769745502	0.9962718335013591	267.2283638256316
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	5.0	0.4472135954999579	source_opportunity_only	1000000	175540.58143995496	deterministic_Gauss-Legendre_quadrature	-16.548696839124375	0.00013092172070314074	7637.151978367713
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	5.0	0.4472135954999579	source_plus_focal_effect	1000000	13.692455319615776	deterministic_Gauss-Legendre_quadrature	-7.607916804163248	0.9998690782792965	7637.151978367713
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	20.0	0.22360679774997896	source_opportunity_only	1000000	9956.324005472192	deterministic_Gauss-Legendre_quadrature	-20.58867461245086	1.5310432857198124e-06	653148.3977519096
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	20.0	0.22360679774997896	source_plus_focal_effect	1000000	14.528954149272996	deterministic_Gauss-Legendre_quadrature	-7.199114974648078	0.9999984689567146	653148.3977519096
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	0.1	3.162277660168379	source_opportunity_only	1000000	913722.9087232194	deterministic_Gauss-Legendre_quadrature	-17.407004797007062	0.40097963199317627	1.4938922583903613
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	0.1	3.162277660168379	source_plus_focal_effect	1000000	936908.3080845346	deterministic_Gauss-Legendre_quadrature	-17.005619829101512	0.5990203680068221	1.4938922583903613
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	0.25	2.0	source_opportunity_only	1000000	683636.7980648287	deterministic_Gauss-Legendre_quadrature	-14.044911633219677	0.2951264330910853	2.388378294435483
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	0.25	2.0	source_plus_focal_effect	1000000	718609.100626781	deterministic_Gauss-Legendre_quadrature	-13.174297035480386	0.704873566908914	2.388378294435483
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	0.5	1.414213562373095	source_opportunity_only	1000000	425231.10753875005	deterministic_Gauss-Legendre_quadrature	-12.400939593203134	0.19458302608227512	4.139194410396165
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	0.5	1.414213562373095	source_plus_focal_effect	1000000	312036.27822726505	deterministic_Gauss-Legendre_quadrature	-10.98043841116122	0.8054169739177244	4.139194410396165
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	1.0	1.0	source_opportunity_only	1000000	184595.351274595	deterministic_Gauss-Legendre_quadrature	-11.551608084229503	0.10645419753266896	8.393711316015663
