sample	general::type1_physical_units	general::type2_physical_units	general::type1_loci_present	general::type2_loci_present	general::type1_fraction	general::type1_type2_log_ratio	general::type1_minus_type2_units	general::type1_compatible_gag_units	general::type1_compatible_pro_units	general::type1_compatible_pol_units	general::type1_compatible_env_units	general::type1_compatible_np9_units	general::type2_compatible_gag_units	general::type2_compatible_pro_units	general::type2_compatible_pol_units	general::type2_compatible_env_units	general::type2_compatible_rec_units
HG00096	27	46	14	25	0.3698630136986301	-0.7577990975833717	-19	11	8	2	4	21	8	10	2	8	27
HG00097	28	55	15	29	0.3373493975903614	-0.9615258521853643	-27	13	9	2	6	19	9	14	2	9	36
HG00099	28	55	14	29	0.3373493975903614	-0.9615258521853643	-27	14	11	3	6	20	8	12	3	8	33
HG00126	27	53	15	30	0.3375	-0.9601072728764874	-26	10	7	1	5	20	9	13	3	9	32
HG00128	28	51	14	29	0.35443037974683544	-0.8536105130184768	-23	12	9	2	6	20	7	10	2	7	31
HG00133	26	56	14	28	0.3170731707317073	-1.0922585078519884	-30	11	9	2	5	19	8	11	3	8	35
HG00140	24	53	12	28	0.3116883116883117	-1.1267571422859388	-29	10	7	1	4	18	9	14	3	9	32
HG00146	26	52	14	28	0.3333333333333333	-0.9863250631029236	-26	11	7	2	5	19	7	11	1	7	35
HG00171	25	45	13	24	0.35714285714285715	-0.8353692982272006	-20	11	8	3	4	19	8	9	2	8	27
HG00232	28	57	14	29	0.32941176470588235	-1.0126000367796335	-29	13	10	2	5	20	7	12	2	9	35
HG00235	25	56	14	29	0.30864197530864196	-1.1477536204436922	-31	10	6	1	5	18	6	11	1	8	34
HG00253	28	54	15	28	0.34146341463414637	-0.9352943106121847	-26	12	9	2	5	21	7	11	1	8	33
HG00268	26	47	14	23	0.3561643835616438	-0.8419351537677487	-21	10	8	2	3	20	9	11	3	9	29
HG00272	28	54	15	30	0.34146341463414637	-0.9352943106121847	-26	12	9	3	5	21	9	12	2	9	32
HG00280	25	50	13	27	0.3333333333333333	-0.9857861407802991	-25	12	8	2	5	18	7	10	2	7	30
HG00290	28	53	14	29	0.345679012345679	-0.9085769722364054	-25	13	11	5	5	21	6	11	1	8	32
HG00320	26	52	14	28	0.3333333333333333	-0.9863250631029236	-26	12	9	2	5	19	6	8	2	6	31
HG00321	26	53	14	28	0.3291139240506329	-1.0135465318379477	-27	11	7	1	6	18	7	11	2	8	32
HG00323	27	52	14	27	0.34177215189873417	-0.9328858041414629	-25	12	8	3	6	19	6	8	3	6	31
HG00329	29	48	14	26	0.37662337662337664	-0.7172697928252866	-19	12	8	2	9	22	7	10	2	7	27
HG00344	27	52	14	27	0.34177215189873417	-0.9328858041414629	-25	12	9	2	6	19	5	12	1	7	33
HG00350	28	51	14	29	0.35443037974683544	-0.8536105130184768	-23	14	10	3	6	20	7	11	2	7	31
HG00358	25	42	13	22	0.373134328358209	-0.7369655941662062	-17	10	8	3	4	19	6	10	2	6	24
HG00408	28	53	15	28	0.345679012345679	-0.9085769722364054	-25	12	8	1	6	20	8	11	1	8	33
HG00423	23	53	12	27	0.3026315789473684	-1.1868781347235096	-30	12	6	1	4	18	6	9	0	10	34
HG00438	26	50	14	26	0.34210526315789475	-0.9302910281885955	-24	13	9	3	5	19	7	10	3	8	29
HG005	27	50	15	25	0.35064935064935066	-0.876851769227135	-23	12	8	2	5	20	5	9	1	7	30
HG00512	25	46	13	23	0.352112676056338	-0.8667334691365359	-21	12	7	3	4	19	5	10	1	8	30
HG00513	28	46	15	23	0.3783783783783784	-0.7062687969432897	-18	13	7	1	6	20	3	9	0	8	29
HG00514	25	48	13	24	0.3424657534246575	-0.9274875002156321	-23	11	5	1	4	19	3	10	0	9	32
HG00544	28	47	14	24	0.37333333333333335	-0.7369655941662062	-19	14	8	2	6	20	5	7	2	5	28
HG00558	28	51	15	26	0.35443037974683544	-0.8536105130184768	-23	11	6	2	5	21	4	10	0	8	32
HG00597	25	55	13	28	0.3125	-1.1219905243786104	-30	13	6	2	5	17	7	11	1	9	35
HG00609	28	50	14	26	0.358974358974359	-0.8253214685870532	-22	10	7	2	4	22	7	12	2	9	30
HG00621	24	48	12	25	0.3333333333333333	-0.9852029980719195	-24	11	8	4	4	18	7	9	2	7	29
HG00639	27	54	14	29	0.3333333333333333	-0.9868246112522668	-27	12	8	1	6	19	5	11	2	7	32
HG00642	26	53	13	28	0.3291139240506329	-1.0135465318379477	-27	14	11	4	6	18	7	11	2	7	33
HG00658	25	51	13	28	0.32894736842105265	-1.0140751852117227	-26	12	8	2	4	19	6	10	1	7	30
HG00673	27	49	14	24	0.35526315789473684	-0.84799690655495	-22	11	8	2	4	20	2	7	0	6	30
HG00706	28	50	15	26	0.358974358974359	-0.8253214685870532	-22	14	8	3	6	20	6	11	1	8	31
HG00731	26	48	14	26	0.35135135135135137	-0.8719923876239286	-22	9	7	1	4	20	6	8	1	7	28
HG00732	25	45	13	24	0.35714285714285715	-0.8353692982272006	-20	10	8	3	4	19	6	7	1	7	27
HG00733	26	49	14	28	0.3466666666666667	-0.9014361655164104	-23	11	9	2	5	19	5	5	0	7	29
HG00735	25	52	14	28	0.3246753246753247	-1.041820175694627	-27	8	8	2	4	19	6	11	1	8	31
HG00738	25	52	14	29	0.3246753246753247	-1.041820175694627	-27	11	9	2	5	19	8	12	2	10	32
HG00741	24	54	13	30	0.3076923076923077	-1.153474480661718	-30	11	9	2	5	17	7	11	1	10	33
HG00864	25	45	13	24	0.35714285714285715	-0.8353692982272006	-20	12	8	2	4	19	6	10	1	9	30
HG01071	27	54	14	29	0.3333333333333333	-0.9868246112522668	-27	12	9	2	6	19	8	12	2	8	32
HG01074	27	51	14	27	0.34615384615384615	-0.9051408136585588	-24	13	10	2	6	19	7	12	3	8	29
HG01081	28	49	16	27	0.36363636363636365	-0.7964666059148678	-21	11	7	2	5	21	8	13	2	8	27
HG01099	26	51	14	26	0.33766233766233766	-0.9585800726200192	-25	11	9	3	5	19	5	11	1	7	30
HG01106	26	55	13	29	0.32098765432098764	-1.0664954117869068	-29	10	9	3	4	20	9	14	4	9	33
HG01109	27	51	14	29	0.34615384615384615	-0.9051408136585588	-24	13	9	2	6	19	6	11	3	7	31
HG01114	25	41	13	23	0.3787878787878788	-0.7026140893754292	-16	10	7	2	4	19	7	9	2	7	23
HG01123	25	51	14	28	0.32894736842105265	-1.0140751852117227	-26	10	9	2	5	17	6	10	2	7	31
HG01150	27	52	14	29	0.34177215189873417	-0.9328858041414629	-25	13	10	3	6	19	6	9	2	7	31
HG01167	28	51	16	28	0.35443037974683544	-0.8536105130184768	-23	13	8	2	8	21	7	9	3	7	30
HG01175	28	52	15	29	0.35	-0.881355503501381	-24	12	8	2	5	20	5	9	1	6	31
HG01192	28	52	15	28	0.35	-0.881355503501381	-24	13	11	3	6	20	8	14	2	8	32
HG01243	25	53	13	28	0.32051282051282054	-1.0690416444296513	-28	10	8	0	4	19	6	12	1	8	31
HG01252	28	52	15	27	0.35	-0.881355503501381	-24	12	9	3	6	21	7	12	2	9	31
HG01255	28	57	15	30	0.32941176470588235	-1.0126000367796335	-29	10	7	2	4	23	6	13	2	8	32
HG01258	25	50	13	27	0.3333333333333333	-0.9857861407802991	-25	11	8	3	5	18	7	12	3	7	32
HG01261	28	54	15	29	0.34146341463414637	-0.9352943106121847	-26	13	8	2	6	20	8	13	2	8	32
HG01346	27	51	14	26	0.34615384615384615	-0.9051408136585588	-24	12	8	3	5	20	5	10	0	9	29
HG01352	26	45	15	24	0.36619718309859156	-0.779874185635497	-19	12	8	3	5	20	6	10	2	6	27
HG01358	28	52	15	28	0.35	-0.881355503501381	-24	10	10	3	4	21	7	13	4	9	33
HG01361	27	54	15	30	0.3333333333333333	-0.9868246112522668	-27	10	8	2	5	20	5	12	3	8	33
HG01433	27	51	14	26	0.34615384615384615	-0.9051408136585588	-24	10	7	2	4	21	6	12	1	8	31
HG01457	25	47	13	23	0.3472222222222222	-0.8974302663594522	-22	12	7	2	4	19	9	12	5	9	29
HG01496	27	55	14	28	0.32926829268292684	-1.0130561528254465	-28	10	6	2	4	21	6	10	2	7	33
HG01505	24	47	13	25	0.3380281690140845	-0.9551457642157395	-23	11	8	2	5	17	7	11	2	9	30
HG01530	26	55	14	29	0.32098765432098764	-1.0664954117869068	-29	10	6	2	4	20	5	12	0	9	33
HG01573	25	47	13	24	0.3472222222222222	-0.8974302663594522	-22	10	8	2	4	19	7	13	3	9	30
HG01596	26	42	14	22	0.38235294117647056	-0.6814704815745025	-16	13	7	1	6	19	3	9	0	7	27
HG01784	26	57	13	29	0.3132530120481928	-1.117569596381176	-31	11	7	2	4	20	7	14	1	9	37
HG01786	27	55	14	28	0.32926829268292684	-1.0130561528254465	-28	12	7	2	6	19	6	13	0	10	36
HG01884	26	54	15	30	0.325	-1.040263870213727	-28	13	10	3	6	17	7	12	2	9	34
HG01890	25	45	14	24	0.35714285714285715	-0.8353692982272006	-20	10	7	1	7	18	5	10	1	8	28
HG01891	24	54	15	29	0.3076923076923077	-1.153474480661718	-30	8	6	1	6	18	5	9	1	9	34
HG01928	29	46	16	24	0.38666666666666666	-0.6565157617461902	-17	13	7	2	5	22	8	12	3	8	26
HG01934	26	51	14	29	0.33766233766233766	-0.9585800726200192	-25	13	7	2	5	19	5	11	2	7	32
HG01940	27	51	14	26	0.34615384615384615	-0.9051408136585588	-24	13	10	2	6	19	6	11	4	8	32
HG01943	27	49	15	25	0.35526315789473684	-0.84799690655495	-22	11	9	2	5	20	4	9	2	7	30
HG01952	28	49	15	25	0.36363636363636365	-0.7964666059148678	-21	12	8	2	5	21	6	8	3	8	30
HG01960	25	56	14	28	0.30864197530864196	-1.1477536204436922	-31	11	9	4	4	20	9	12	3	11	35
HG01969	27	47	15	24	0.36486486486486486	-0.7884958948062882	-20	12	8	2	5	20	4	8	1	7	26
