prior	observation	observed_typeI_units	total_units	model	draws	mean_binomial_likelihood	likelihood_ratio_vs_length_only	equal_model_prior_share	moi_low	moi_high	max_diverted_rna_fraction	max_producer_cost_fraction	max_packaging_gain
conservative	orthology_aware_floor	10	16	length_only	500000	0.0003476057319825175	1.0	0.0015280216924882773	1.0	5.0	0.35	0.35	1.1
conservative	orthology_aware_floor	10	16	rna_redirection	500000	0.021982501444378195	63.23975533718698	0.09663171798287301	1.0	5.0	0.35	0.35	1.1
conservative	orthology_aware_floor	10	16	producer_cost_avoidance	500000	0.02013198663048259	57.91615263552418	0.08849713757254306	1.0	5.0	0.35	0.35	1.1
conservative	orthology_aware_floor	10	16	packaging_per_genomic_rna	500000	0.011400965386169892	32.79855404324372	0.0501169020603255	1.0	5.0	0.35	0.35	1.1
conservative	orthology_aware_floor	10	16	rna_plus_producer	500000	0.04424217630613628	127.27688940515341	0.19448184796350582	1.0	5.0	0.35	0.35	1.1
conservative	orthology_aware_floor	10	16	rna_plus_packaging	500000	0.03714115252247086	106.84850422529523	0.16326683226617647	1.0	5.0	0.35	0.35	1.1
conservative	orthology_aware_floor	10	16	producer_plus_packaging	500000	0.035357990098253904	101.71866239545268	0.1554283226711433	1.0	5.0	0.35	0.35	1.1
conservative	orthology_aware_floor	10	16	all_three	500000	0.056883054611833676	163.64245286580763	0.2500492177909445	1.0	5.0	0.35	0.35	1.1
conservative	inclusive_ceiling	17	23	length_only	500000	2.030351887667784e-06	1.0	2.680894235761105e-05	1.0	5.0	0.35	0.35	1.1
conservative	inclusive_ceiling	17	23	rna_redirection	500000	0.005492755395300506	2705.321884675814	0.0725268184650576	1.0	5.0	0.35	0.35	1.1
conservative	inclusive_ceiling	17	23	producer_cost_avoidance	500000	0.00464690751783698	2288.720268669669	0.06135816975546124	1.0	5.0	0.35	0.35	1.1
conservative	inclusive_ceiling	17	23	packaging_per_genomic_rna	500000	0.0013728755869377581	676.1761817133812	0.018127568279143573	1.0	5.0	0.35	0.35	1.1
conservative	inclusive_ceiling	17	23	rna_plus_producer	500000	0.016677538364028216	8214.112275476198	0.22021166251218677	1.0	5.0	0.35	0.35	1.1
conservative	inclusive_ceiling	17	23	rna_plus_packaging	500000	0.011656676669757636	5741.210053567304	0.15391576938902293	1.0	5.0	0.35	0.35	1.1
conservative	inclusive_ceiling	17	23	producer_plus_packaging	500000	0.01064336085147117	5242.126212760558	0.14053585946921973	1.0	5.0	0.35	0.35	1.1
conservative	inclusive_ceiling	17	23	all_three	500000	0.025241983845117357	12432.31973651238	0.3332973431875506	1.0	5.0	0.35	0.35	1.1
moderate	orthology_aware_floor	10	16	length_only	500000	0.0003459294775462204	1.0	0.0010156723127503237	1.0	5.0	0.5	0.5	1.2
moderate	orthology_aware_floor	10	16	rna_redirection	500000	0.0338127929595315	97.7447576869586	0.09927664409913321	1.0	5.0	0.5	0.5	1.2
moderate	orthology_aware_floor	10	16	producer_cost_avoidance	500000	0.030112276047024017	87.04744175205667	0.08841167648331048	1.0	5.0	0.5	0.5	1.2
moderate	orthology_aware_floor	10	16	packaging_per_genomic_rna	500000	0.02589878560807566	74.86724112609127	0.07604058394377326	1.0	5.0	0.5	0.5	1.2
moderate	orthology_aware_floor	10	16	rna_plus_producer	500000	0.060271829869097314	174.2315523285935	0.1769621637076616	1.0	5.0	0.5	0.5	1.2
moderate	orthology_aware_floor	10	16	rna_plus_packaging	500000	0.05797472544861931	167.5911687545424	0.17021770996545585	1.0	5.0	0.5	0.5	1.2
moderate	orthology_aware_floor	10	16	producer_plus_packaging	500000	0.05541947868270582	160.20455693979156	0.162715332860179	1.0	5.0	0.5	0.5	1.2
moderate	orthology_aware_floor	10	16	all_three	500000	0.07675580107784227	221.88279999233876	0.22536021662773623	1.0	5.0	0.5	0.5	1.2
moderate	inclusive_ceiling	17	23	length_only	500000	1.967645857841814e-06	1.0	1.2274826795188215e-05	1.0	5.0	0.5	0.5	1.2
moderate	inclusive_ceiling	17	23	rna_redirection	500000	0.012418831008243578	6311.5173692206	0.07747278252200485	1.0	5.0	0.5	0.5	1.2
moderate	inclusive_ceiling	17	23	producer_cost_avoidance	500000	0.010013532221982088	5089.0927257434905	0.062467731753153635	1.0	5.0	0.5	0.5	1.2
moderate	inclusive_ceiling	17	23	packaging_per_genomic_rna	500000	0.006422362175329815	3263.9827689186386	0.04006482315095513	1.0	5.0	0.5	0.5	1.2
moderate	inclusive_ceiling	17	23	rna_plus_producer	500000	0.03096690065231202	15738.045811901155	0.19318178643582395	1.0	5.0	0.5	0.5	1.2
moderate	inclusive_ceiling	17	23	rna_plus_packaging	500000	0.027824171239849954	14140.84304294906	0.173576399090142	1.0	5.0	0.5	0.5	1.2
moderate	inclusive_ceiling	17	23	producer_plus_packaging	500000	0.02507936888023203	12745.875371973694	0.15645341254403225	1.0	5.0	0.5	0.5	1.2
moderate	inclusive_ceiling	17	23	all_three	500000	0.04757214295402387	24177.187558640624	0.2967707896770931	1.0	5.0	0.5	0.5	1.2
broad	orthology_aware_floor	10	16	length_only	500000	0.021330818715619527	1.0	0.06424588755448492	0.5	10.0	0.7	0.7	1.35
broad	orthology_aware_floor	10	16	rna_redirection	500000	0.04055985512232944	1.9014673399586588	0.12216145691150954	0.5	10.0	0.7	0.7	1.35
broad	orthology_aware_floor	10	16	producer_cost_avoidance	500000	0.038926667416026066	1.8249026413375287	0.11724248989325338	0.5	10.0	0.7	0.7	1.35
broad	orthology_aware_floor	10	16	packaging_per_genomic_rna	500000	0.03925026191798993	1.840072921779081	0.11821711802467136	0.5	10.0	0.7	0.7	1.35
broad	orthology_aware_floor	10	16	rna_plus_producer	500000	0.04737941539036322	2.221171911965553	0.14270116089531917	0.5	10.0	0.7	0.7	1.35
broad	orthology_aware_floor	10	16	rna_plus_packaging	500000	0.04740777079757883	2.2225012283689054	0.1427865640074933	0.5	10.0	0.7	0.7	1.35
broad	orthology_aware_floor	10	16	producer_plus_packaging	500000	0.04649212761258203	2.1795753942879883	0.1400287556979482	0.5	10.0	0.7	0.7	1.35
broad	orthology_aware_floor	10	16	all_three	500000	0.05067151296249366	2.375507177574453	0.15261656701532014	0.5	10.0	0.7	0.7	1.35
broad	inclusive_ceiling	17	23	length_only	500000	0.012784553523044721	1.0	0.04818591722466524	0.5	10.0	0.7	0.7	1.35
