sample	haplotype	chromosome	sex	eligibility	evidence
HG00096	h1	X	male	not_applicable	retained_sequence_bearing_X_partition_and_complementary_Y_partition
HG00096	h1	Y	male	eligible	retained_sequence_bearing_X_partition_and_complementary_Y_partition
HG00096	h2	X	male	eligible	retained_sequence_bearing_X_partition_and_complementary_Y_partition
HG00096	h2	Y	male	not_applicable	retained_sequence_bearing_X_partition_and_complementary_Y_partition
HG00097	h1	X	female	eligible	retained_female_metadata_two_X_no_Y
HG00097	h1	Y	female	not_applicable	retained_female_metadata_two_X_no_Y
HG00097	h2	X	female	eligible	retained_female_metadata_two_X_no_Y
HG00097	h2	Y	female	not_applicable	retained_female_metadata_two_X_no_Y
HG00099	h1	X	female	eligible	retained_female_metadata_two_X_no_Y
HG00099	h1	Y	female	not_applicable	retained_female_metadata_two_X_no_Y
HG00099	h2	X	female	eligible	retained_female_metadata_two_X_no_Y
HG00099	h2	Y	female	not_applicable	retained_female_metadata_two_X_no_Y
HG00126	h1	X	male	not_applicable	retained_sequence_bearing_X_partition_and_complementary_Y_partition
HG00126	h1	Y	male	eligible	retained_sequence_bearing_X_partition_and_complementary_Y_partition
HG00126	h2	X	male	eligible	retained_sequence_bearing_X_partition_and_complementary_Y_partition
HG00126	h2	Y	male	not_applicable	retained_sequence_bearing_X_partition_and_complementary_Y_partition
HG00128	h1	X	female	eligible	retained_female_metadata_two_X_no_Y
HG00128	h1	Y	female	not_applicable	retained_female_metadata_two_X_no_Y
HG00128	h2	X	female	eligible	retained_female_metadata_two_X_no_Y
HG00128	h2	Y	female	not_applicable	retained_female_metadata_two_X_no_Y
HG00133	h1	X	female	eligible	retained_female_metadata_two_X_no_Y
HG00133	h1	Y	female	not_applicable	retained_female_metadata_two_X_no_Y
HG00133	h2	X	female	eligible	retained_female_metadata_two_X_no_Y
HG00133	h2	Y	female	not_applicable	retained_female_metadata_two_X_no_Y
HG00140	h1	X	male	not_applicable	retained_sequence_bearing_X_partition_and_complementary_Y_partition
