sample	superpopulation	gag	gag_pro_route	gag_pro_pol_route	env_type2	np9_type1	rec_type2
HG00096	EUR	19	11	4	8	27	30
HG00097	EUR	22	13	4	9	24	38
HG00099	EUR	22	15	6	8	27	36
HG00126	EUR	19	10	4	9	25	35
HG00128	EUR	19	10	4	7	24	33
HG00133	EUR	19	11	5	8	26	37
HG00140	EUR	19	10	4	9	22	34
HG00146	EUR	18	8	3	7	26	39
HG00171	EUR	19	11	5	8	23	31
HG00232	EUR	20	12	4	9	25	37
HG00235	EUR	16	6	2	8	22	36
HG00253	EUR	19	11	3	8	27	36
HG00268	EUR	19	11	5	9	24	33
HG00272	EUR	21	13	5	9	26	36
HG00280	EUR	19	10	4	7	25	32
HG00290	EUR	19	11	6	8	26	35
HG00320	EUR	18	10	4	6	25	34
HG00321	EUR	18	8	3	8	24	35
HG00323	EUR	18	8	6	6	25	33
HG00329	EUR	19	10	4	7	27	32
HG00344	EUR	17	8	3	7	25	35
HG00350	EUR	21	13	5	7	26	34
HG00358	EUR	16	8	5	6	23	27
HG00408	EAS	20	11	2	8	25	35
HG00423	EAS	18	8	1	10	24	36
HG00438	EAS	20	13	6	8	24	32
HG005	Unknown	17	8	3	7	25	32
HG00512	EAS	17	8	4	8	23	33
HG00513	EAS	16	7	1	8	25	33
HG00514	EAS	14	5	1	9	23	36
HG00544	EAS	19	9	4	5	26	31
HG00558	EAS	15	6	2	8	25	35
HG00597	EAS	20	9	3	9	22	37
HG00609	EAS	17	8	4	9	25	32
HG00621	EAS	18	10	6	7	26	31
HG00639	AMR	17	10	3	7	25	34
HG00642	AMR	21	14	6	7	24	35
HG00658	EAS	18	11	3	7	24	33
HG00673	EAS	13	6	2	6	22	32
HG00706	EAS	20	10	4	8	25	33
HG00731	AMR	15	6	2	7	25	31
HG00732	AMR	16	8	4	7	24	29
HG00733	AMR	16	8	2	7	23	31
HG00735	AMR	14	8	3	8	26	33
HG00738	AMR	19	11	4	10	24	34
HG00741	AMR	18	11	3	10	23	36
HG00864	EAS	18	11	3	9	23	34
HG01071	AMR	20	11	4	8	24	34
HG01074	AMR	20	13	5	8	23	31
HG01081	AMR	19	9	4	8	24	30
HG01099	AMR	16	8	4	7	26	32
HG01106	AMR	19	12	7	9	25	36
HG01109	AMR	19	11	5	7	25	34
HG01114	AMR	17	8	4	7	23	25
HG01123	AMR	16	9	4	7	25	34
HG01150	AMR	19	11	5	7	24	34
HG01167	AMR	20	11	5	7	25	32
HG01175	AMR	17	8	3	6	27	34
HG01192	AMR	21	14	5	8	27	34
HG01243	AMR	16	8	1	8	25	35
HG01252	AMR	19	11	5	9	27	34
HG01255	AMR	16	9	4	8	27	35
HG01258	AMR	18	9	6	7	25	34
HG01261	AMR	21	11	4	8	25	34
HG01346	AMR	17	8	3	9	26	32
HG01352	AMR	18	10	5	6	25	31
HG01358	AMR	17	12	7	9	26	36
HG01361	AMR	15	8	5	8	27	35
HG01433	AMR	16	7	3	8	25	33
HG01457	AMR	21	12	7	9	24	31
HG01496	AMR	16	6	4	7	28	36
HG01505	EUR	18	10	4	9	21	33
HG01530	EUR	15	5	2	9	27	35
HG01573	AMR	17	11	5	9	24	35
HG01596	EAS	16	6	1	7	24	30
HG01784	EUR	18	10	3	9	24	40
HG01786	EUR	18	8	2	10	24	39
HG01884	AFR	20	13	5	9	22	38
HG01890	AFR	15	7	2	8	23	31
HG01891	AFR	13	6	2	9	23	38
HG01928	AMR	21	11	5	8	26	29
HG01934	AMR	18	10	4	7	24	34
HG01940	AMR	19	12	6	8	23	34
HG01943	AMR	15	8	4	7	25	32
HG01952	AMR	18	10	5	8	25	32
HG01960	AFR	20	15	7	11	26	38
HG01969	AMR	16	8	3	7	28	29
HG01975	AMR	15	7	4	8	24	34
HG01978	AMR	20	11	6	8	23	33
HG01981	AMR	22	14	5	9	25	33
