locus	Absent	Solo-LTR	Fragment	Provirus	Multi-copy	Unknown	known_haplotypes	variability_score
HML-2_10p12.1	0	25	0	558	1	0	584	0.044520547945205435
HML-2_10p14	0	1	0	582	0	1	583	0.0017152658662092923
HML-2_10q24.2	0	0	2	582	0	0	584	0.003424657534246589
HML-2_11p15.4	9	0	0	573	0	2	582	0.015463917525773141
HML-2_11p15.4b	0	462	0	0	0	122	462	0.0
HML-2_11q12.1	0	0	584	0	0	0	584	0.0
HML-2_11q12.3	2	0	202	379	1	0	584	0.351027397260274
HML-2_11q22.1	64	304	0	213	3	0	584	0.4794520547945206
HML-2_11q23.3	0	9	0	574	1	0	584	0.017123287671232834
HML-2_12p11.21	0	0	0	584	0	0	584	0.0
HML-2_12q13.2	195	130	0	258	1	0	584	0.5582191780821918
HML-2_12q14.1	0	307	0	274	1	2	582	0.4725085910652921
HML-2_12q24.33	1	20	537	0	13	13	571	0.05954465849387036
HML-2_13p13	465	0	3	0	0	116	468	0.0064102564102563875
HML-2_14q11.2	3	0	580	0	1	0	584	0.006849315068493178
HML-2_14q32.33	32	0	520	0	5	27	557	0.06642728904847395
HML-2_15p13a	493	0	2	0	0	89	495	0.004040404040404066
HML-2_15p13b	518	0	0	2	0	64	520	0.0038461538461538325
HML-2_15q25.2	1	461	0	0	0	122	462	0.0021645021645021467
HML-2_16p11.2	6	0	571	0	3	4	580	0.01551724137931032
HML-2_17p13.1_hg38	0	0	122	462	0	0	584	0.20890410958904104
HML-2_19p12a	0	0	0	584	0	0	584	0.0
HML-2_19p12b	505	0	0	79	0	0	584	0.13527397260273977
HML-2_19p12c	319	0	0	265	0	0	584	0.4537671232876712
HML-2_19p12d	0	583	0	1	0	0	584	0.001712328767123239
HML-2_19p12e	0	2	582	0	0	0	584	0.003424657534246589
HML-2_19p13.3	2	9	569	0	0	4	580	0.018965517241379293
HML-2_19q12	1	0	0	582	1	0	584	0.003424657534246589
HML-2_19q13.12a	0	0	584	0	0	0	584	0.0
HML-2_19q13.12b	0	0	0	582	0	2	582	0.0
HML-2_19q13.41	0	0	583	0	0	1	583	0.0
HML-2_19q13.42	0	0	583	0	0	1	583	0.0
HML-2_1p31.1a	0	60	0	523	1	0	584	0.10445205479452058
HML-2_1p31.1b	0	469	106	0	9	0	584	0.19691780821917804
HML-2_1p34.3	0	0	584	0	0	0	584	0.0
HML-2_1p36.21a	17	4	562	1	0	0	584	0.03767123287671237
HML-2_1p36.21b	23	0	0	558	0	3	581	0.03958691910499135
HML-2_1p36.21c	8	0	0	576	0	0	584	0.013698630136986356
HML-2_1q21.3	0	0	584	0	0	0	584	0.0
HML-2_1q22	0	3	0	581	0	0	584	0.005136986301369828
HML-2_1q23.3	0	0	0	584	0	0	584	0.0
HML-2_1q24.1	1	0	583	0	0	0	584	0.001712328767123239
HML-2_1q32.2	0	0	584	0	0	0	584	0.0
HML-2_1q43	0	0	584	0	0	0	584	0.0
HML-2_20q11.22	1	0	580	0	1	2	582	0.0034364261168384758
HML-2_21p13	492	0	2	0	0	90	494	0.004048582995951455
HML-2_21q21.1	0	1	0	583	0	0	584	0.001712328767123239
HML-2_22p13	466	0	4	0	1	113	471	0.010615711252653925
HML-2_22q11.21	3	25	0	553	0	3	581	0.048192771084337394
HML-2_22q11.23	1	0	5	573	2	3	581	0.013769363166953541
HML-2_2q21.1	0	0	583	0	0	1	583	0.0
HML-2_3p12.3	7	0	0	574	0	3	581	0.012048192771084376
HML-2_3p25.3	0	0	584	0	0	0	584	0.0
HML-2_3q12.3	0	5	6	573	0	0	584	0.018835616438356184
HML-2_3q13.2	0	56	0	525	3	0	584	0.10102739726027399
HML-2_3q21.2	1	0	0	583	0	0	584	0.001712328767123239
HML-2_3q24_hg38	450	0	134	0	0	0	584	0.22945205479452058
HML-2_3q27.2	0	21	0	561	2	0	584	0.03938356164383561
