Locus	ID_Full	source_identifier	historical_catalog_source_sha256	alignment_sha256	spliced_alignment_sha256
HML-2_10p14	GCA_000001405.15_GRCh38_no_alt_analysis_set.PanSN_HML-2_10p14	GRCh38#0#chr10:6823656-6834227	b03000ec08d4283faa8fff15ffcd173866fb717dfec5f9453fc9d3e26c9cbb77	f532b06525c8066e9dc1c1e6aa8ff4b3af9ea54464a95deb90e37baa6b487466	c69f7604f56a259da68962ab27577cda673968839afdae89cad48e4d46dcd52f
HML-2_10p14	HG00096_h1_HML-2_10p14_graph_hgsvc3-2024-02-23-mc-chm13	HG00096#1#haplotype1-0000025#0:6822819-6862444	b03000ec08d4283faa8fff15ffcd173866fb717dfec5f9453fc9d3e26c9cbb77	f532b06525c8066e9dc1c1e6aa8ff4b3af9ea54464a95deb90e37baa6b487466	2b67a543eb141db4433b23d742cbc98b789fc17e6352b0a552faaec70da7ede5
HML-2_10p14	HG00096_h2_HML-2_10p14_graph_hgsvc3-2024-02-23-mc-chm13	HG00096#2#haplotype2-0000118#0:6826882-6866482	b03000ec08d4283faa8fff15ffcd173866fb717dfec5f9453fc9d3e26c9cbb77	f532b06525c8066e9dc1c1e6aa8ff4b3af9ea54464a95deb90e37baa6b487466	e2d6ec258ce823d0436c0ff6f153746a04eef6be7ed045213a82e637360b9de5
HML-2_10p14	HG00097_hap1_hprc_r2_v1.0.1_HML-2_10p14	HG00097#1#CM094066.1:6838250-6848743	b03000ec08d4283faa8fff15ffcd173866fb717dfec5f9453fc9d3e26c9cbb77	f532b06525c8066e9dc1c1e6aa8ff4b3af9ea54464a95deb90e37baa6b487466	e2d6ec258ce823d0436c0ff6f153746a04eef6be7ed045213a82e637360b9de5
HML-2_10p14	HG00097_hap2_hprc_r2_v1.0.1_HML-2_10p14	HG00097#2#CM094081.1:6811575-6822068	b03000ec08d4283faa8fff15ffcd173866fb717dfec5f9453fc9d3e26c9cbb77	f532b06525c8066e9dc1c1e6aa8ff4b3af9ea54464a95deb90e37baa6b487466	e2d6ec258ce823d0436c0ff6f153746a04eef6be7ed045213a82e637360b9de5
HML-2_10p14	HG00099_hap1_hprc_r2_v1.0.1_HML-2_10p14	HG00099#1#CM087321.1:6822111-6832604	b03000ec08d4283faa8fff15ffcd173866fb717dfec5f9453fc9d3e26c9cbb77	f532b06525c8066e9dc1c1e6aa8ff4b3af9ea54464a95deb90e37baa6b487466	e2d6ec258ce823d0436c0ff6f153746a04eef6be7ed045213a82e637360b9de5
HML-2_10p14	HG00099_hap2_hprc_r2_v1.0.1_HML-2_10p14	HG00099#2#CM087365.1:6819356-6829849	b03000ec08d4283faa8fff15ffcd173866fb717dfec5f9453fc9d3e26c9cbb77	f532b06525c8066e9dc1c1e6aa8ff4b3af9ea54464a95deb90e37baa6b487466	e2d6ec258ce823d0436c0ff6f153746a04eef6be7ed045213a82e637360b9de5
HML-2_10p14	HG00126_hap1_hprc_r2_v1.0.1_HML-2_10p14	HG00126#1#JBHIKU010000038.1:6810125-6820965	b03000ec08d4283faa8fff15ffcd173866fb717dfec5f9453fc9d3e26c9cbb77	f532b06525c8066e9dc1c1e6aa8ff4b3af9ea54464a95deb90e37baa6b487466	e2d6ec258ce823d0436c0ff6f153746a04eef6be7ed045213a82e637360b9de5
HML-2_10p14	HG00126_hap2_hprc_r2_v1.0.1_HML-2_10p14	HG00126#2#CM090128.1:6834760-6845253	b03000ec08d4283faa8fff15ffcd173866fb717dfec5f9453fc9d3e26c9cbb77	f532b06525c8066e9dc1c1e6aa8ff4b3af9ea54464a95deb90e37baa6b487466	e2d6ec258ce823d0436c0ff6f153746a04eef6be7ed045213a82e637360b9de5
HML-2_10p14	HG00128_hap1_hprc_r2_v1.0.1_HML-2_10p14	HG00128#1#CM090084.1:6820692-6831185	b03000ec08d4283faa8fff15ffcd173866fb717dfec5f9453fc9d3e26c9cbb77	f532b06525c8066e9dc1c1e6aa8ff4b3af9ea54464a95deb90e37baa6b487466	e2d6ec258ce823d0436c0ff6f153746a04eef6be7ed045213a82e637360b9de5
