locus	direct_type	final_subfamily	evidence_class	final_status	ltr5hs_matched_eligible	published_subfamily	prior_authority_status	local_nearest_exact_label	conflict_resolution	five_prime_evidence	three_prime_evidence	classification_method	source	provenance_sha256	unresolved_reason
10p12.1	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
10p14	TypeII	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	LTR5_Hs	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
10q24.2	TypeII	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
11p15.4	TypeII	LTR5A	authoritative_published	resolved_published	no	LTR5A	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
11q12.3	TypeII	LTR5Hs	authoritative_published_sequence_corroborated	resolved_authoritative	yes	LTR5Hs	resolved_published	LTR5B	resolved in favor of two concordant primary-publication assignments and resident sequence; local nearest-relative LTR5B label rejected as non-authoritative misclassification	representative HG01109_pat: 847 canonical bases plus 36 internal N across KCON2[85,968); minimum edit distances LTR5Hs=79, LTR5B=135, LTR5A=185; nearest published 11q12.3 LTR5Hs	representative HG00097_hap1: 872 canonical bases plus 20 internal N across KCON2[8504,9396); minimum edit distances LTR5Hs=36, LTR5B=111, LTR5A=175; nearest published 11q12.3 LTR5Hs	primary-publication assignment; both resident LTR ends independently corroborate LTR5Hs	Subramanian et al. 2011 Fig. 1 and official Additional File 1; Burn et al. 2022 supplementary locus table; https://doi.org/10.1186/1742-4690-8-90; https://doi.org/10.1371/journal.pbio.3001826	cache_sha256=c28101d7d9696dabc3e9dcb76fa766c304388fcc1c6708029575ef20cab1345a;published_panel_sha256=8b9c83e7b1ad796b21a520d12fb747d752767e409cfb79af6dad45ce3e465120;burn_supplement_sha256=e36e2455b603e9b0d7e594d2ffd2164cf6bea30a844d7db24e344538b2dc256b	
11q22.1	TypeII	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
11q23.3	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	LTR5_Hs	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
12p11.21	TypeII	LTR5A	authoritative_published_crosswalk	resolved_published_coordinate_crosswalk	no	LTR5A	resolved_published_coordinate_crosswalk	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90; coordinate crosswalk using current catalog Source_Identifier and Kyriakou & Magiorkinis 2025 Additional File 1; https://doi.org/10.1186/s13100-025-00359-8	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
12q13.2	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
12q14.1	TypeII	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
19p12a	TypeII	LTR5B	authoritative_published	resolved_published	no	LTR5B	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
19p12b	TypeII	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
19p12c	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
19p12e	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	LTR5_Hs	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Wildschutte et al. 2016 LTR5Hs discovery panel; https://doi.org/10.1073/pnas.1602336113	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
19q12	TypeII	LTR5Hs	authoritative_published_crosswalk	resolved_published_coordinate_crosswalk	yes	LTR5Hs	resolved_published_coordinate_crosswalk	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90; coordinate crosswalk using current catalog Source_Identifier and Kyriakou & Magiorkinis 2025 Additional File 1; https://doi.org/10.1186/s13100-025-00359-8	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
19q13.12a	TypeII	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
19q13.12b	TypeII	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	LTR5_Hs	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
19q13.41	TypeII	LTR5B	authoritative_published	resolved_published	no	LTR5B	resolved_published	LTR5B	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
19q13.42	TypeII	LTR5B	authoritative_published	resolved_published	no	LTR5B	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
1p31.1a	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	LTR5_Hs	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Macfarlane & Badge 2015 RepeatMasker LTR subtype; https://doi.org/10.1186/s12977-015-0162-8	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
