locus	orf	position	compatible	assessed	unassessed	frequency
HML-2_10p12.1	env	1	0	1	0	0.0
HML-2_10p12.1	env	2	0	1	0	0.0
HML-2_10p12.1	gag	1	1	1	0	1.0
HML-2_10p12.1	gag	2	1	1	0	1.0
HML-2_10p12.1	np9	1	1	1	0	1.0
HML-2_10p12.1	np9	2	1	1	0	1.0
HML-2_10p12.1	pol	1	1	1	0	1.0
HML-2_10p12.1	pol	2	1	1	0	1.0
HML-2_10p12.1	pro	1	1	1	0	1.0
HML-2_10p12.1	pro	2	1	1	0	1.0
HML-2_11q22.1	K-rev	1	3	3	0	1.0
HML-2_11q22.1	K-rev	2	3	3	0	1.0
HML-2_11q22.1	env	1	0	3	0	0.0
HML-2_11q22.1	env	2	0	3	0	0.0
HML-2_11q22.1	gag	1	0	3	0	0.0
HML-2_11q22.1	gag	2	0	3	0	0.0
HML-2_11q22.1	pol	1	3	3	0	1.0
HML-2_11q22.1	pol	2	3	3	0	1.0
HML-2_11q22.1	pro	1	3	3	0	1.0
HML-2_11q22.1	pro	2	3	3	0	1.0
HML-2_11q23.3	env	1	0	1	0	0.0
HML-2_11q23.3	env	2	0	1	0	0.0
HML-2_11q23.3	gag	1	0	1	0	0.0
HML-2_11q23.3	gag	2	0	1	0	0.0
HML-2_11q23.3	np9	1	1	1	0	1.0
HML-2_11q23.3	np9	2	1	1	0	1.0
HML-2_11q23.3	pol	1	0	1	0	0.0
HML-2_11q23.3	pol	2	0	1	0	0.0
HML-2_11q23.3	pro	1	0	1	0	0.0
HML-2_11q23.3	pro	2	0	1	0	0.0
HML-2_12q13.2	env	1	1	1	0	1.0
HML-2_12q13.2	env	2	1	1	0	1.0
HML-2_12q13.2	gag	1	1	1	0	1.0
HML-2_12q13.2	gag	2	1	1	0	1.0
HML-2_12q13.2	np9	1	0	1	0	0.0
HML-2_12q13.2	np9	2	0	1	0	0.0
HML-2_12q13.2	pol	1	0	1	0	0.0
HML-2_12q13.2	pol	2	0	1	0	0.0
HML-2_12q13.2	pro	1	1	1	0	1.0
HML-2_12q13.2	pro	2	1	1	0	1.0
HML-2_12q14.1	K-rev	1	1	1	0	1.0
HML-2_12q14.1	K-rev	2	1	1	0	1.0
HML-2_12q14.1	env	1	1	1	0	1.0
HML-2_12q14.1	env	2	1	1	0	1.0
HML-2_12q14.1	gag	1	1	1	0	1.0
HML-2_12q14.1	gag	2	1	1	0	1.0
HML-2_12q14.1	pol	1	0	1	0	0.0
HML-2_12q14.1	pol	2	0	1	0	0.0
HML-2_12q14.1	pro	1	1	1	0	1.0
HML-2_12q14.1	pro	2	1	1	0	1.0
HML-2_12q24.33	K-rev	1	0	13	0	0.0
HML-2_12q24.33	K-rev	2	0	13	0	0.0
HML-2_12q24.33	K-rev	3	0	1	0	0.0
HML-2_12q24.33	K-rev	4	0	1	0	0.0
HML-2_12q24.33	env	1	0	13	0	0.0
HML-2_12q24.33	env	2	0	13	0	0.0
HML-2_12q24.33	env	3	0	1	0	0.0
HML-2_12q24.33	env	4	0	1	0	0.0
HML-2_12q24.33	gag	1	0	13	0	0.0
HML-2_12q24.33	gag	2	0	13	0	0.0
HML-2_12q24.33	gag	3	0	1	0	0.0
HML-2_12q24.33	gag	4	0	1	0	0.0
HML-2_12q24.33	pol	1	0	13	0	0.0
HML-2_12q24.33	pol	2	0	13	0	0.0
HML-2_12q24.33	pol	3	0	1	0	0.0
HML-2_12q24.33	pol	4	0	1	0	0.0
HML-2_12q24.33	pro	1	0	13	0	0.0
HML-2_12q24.33	pro	2	0	13	0	0.0
HML-2_12q24.33	pro	3	0	1	0	0.0
HML-2_12q24.33	pro	4	0	1	0	0.0
HML-2_14q11.2	K-rev	1	0	1	0	0.0
HML-2_14q11.2	K-rev	2	0	1	0	0.0
HML-2_14q11.2	env	1	0	1	0	0.0
HML-2_14q11.2	env	2	0	1	0	0.0
HML-2_14q11.2	gag	1	0	1	0	0.0
HML-2_14q11.2	gag	2	0	1	0	0.0
HML-2_14q11.2	pol	1	0	1	0	0.0
HML-2_14q11.2	pol	2	0	1	0	0.0
HML-2_14q11.2	pro	1	0	1	0	0.0
HML-2_14q11.2	pro	2	0	1	0	0.0
HML-2_1p31.1b	env	1	9	9	0	1.0
HML-2_1p31.1b	env	2	9	9	0	1.0
HML-2_1p31.1b	env	3	7	7	0	1.0
HML-2_1p31.1b	env	4	3	3	0	1.0
HML-2_1p31.1b	gag	1	0	9	0	0.0
HML-2_1p31.1b	gag	2	0	9	0	0.0
HML-2_1p31.1b	gag	3	0	7	0	0.0
HML-2_1p31.1b	gag	4	0	3	0	0.0
HML-2_1p31.1b	np9	1	9	9	0	1.0
HML-2_1p31.1b	np9	2	9	9	0	1.0
HML-2_1p31.1b	np9	3	7	7	0	1.0
HML-2_1p31.1b	np9	4	3	3	0	1.0
HML-2_1p31.1b	pol	1	0	9	0	0.0
HML-2_1p31.1b	pol	2	0	9	0	0.0
