ID_Full	ID	Haplotype	Source_Identifier	orig_Locus	Locus	public_cohort	input_analysis_include	input_analysis_exclusion_reason	verified_biological_family	retained_role	primary_HML2_exclusion_reason	published_locus	publication_source	publication_figure_panel	identity_query_record	identity_query_sha256	sequence_identity	query_coverage	crosswalk_evidence
GCA_000001405.15_GRCh38_no_alt_analysis_set.PanSN_HML-2_17p13.1_hg38_DEGRADED_KCON_0	GCA	ref	GRCh38#0#chr17:8055337-8064902	HML-2_17p13.1_hg38	HML-2_17p13.1_hg38	0	0	non_HML2_HML11_sequence_identity	HML-11	historical_catalog_comparator	non_HML2_HML11_sequence_identity	17p13.1	https://doi.org/10.1186/1742-4690-8-90	1E	NA24385_h2	cda24157b164406af560e0ff34b01cf3a5b2e850b9940a118ed229c953fb1436	0.9917979002624672	1.0	source_worktree/project/results/acroc_resolved_20260914/phylogeny/fragment_subfamily_resolution.tsv
HG00096_h1_HML-2_17p13.1_hg38_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_0	HG00096	h1	HG00096#1#haplotype1-0000009#0:75936730-75974372	HML-2_17p13.1_hg38	HML-2_17p13.1_hg38	1	0	non_HML2_HML11_sequence_identity	HML-11	historical_catalog_comparator	non_HML2_HML11_sequence_identity	17p13.1	https://doi.org/10.1186/1742-4690-8-90	1E	NA24385_h2	cda24157b164406af560e0ff34b01cf3a5b2e850b9940a118ed229c953fb1436	0.9917979002624672	1.0	source_worktree/project/results/acroc_resolved_20260914/phylogeny/fragment_subfamily_resolution.tsv
HG00096_h2_HML-2_17p13.1_hg38_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_0	HG00096	h2	HG00096#2#haplotype2-0000103#0:74247015-74284639	HML-2_17p13.1_hg38	HML-2_17p13.1_hg38	1	0	non_HML2_HML11_sequence_identity	HML-11	historical_catalog_comparator	non_HML2_HML11_sequence_identity	17p13.1	https://doi.org/10.1186/1742-4690-8-90	1E	NA24385_h2	cda24157b164406af560e0ff34b01cf3a5b2e850b9940a118ed229c953fb1436	0.9917979002624672	1.0	source_worktree/project/results/acroc_resolved_20260914/phylogeny/fragment_subfamily_resolution.tsv
HG00097_hap1_hprc_r2_v1.0.1_HML-2_17p13.1_hg38_DEGRADED_KCON_0	HG00097	h1	HG00097#1#JBIRDD010000014.1:7958119-7967683	HML-2_17p13.1_hg38	HML-2_17p13.1_hg38	1	0	non_HML2_HML11_sequence_identity	HML-11	historical_catalog_comparator	non_HML2_HML11_sequence_identity	17p13.1	https://doi.org/10.1186/1742-4690-8-90	1E	NA24385_h2	cda24157b164406af560e0ff34b01cf3a5b2e850b9940a118ed229c953fb1436	0.9917979002624672	1.0	source_worktree/project/results/acroc_resolved_20260914/phylogeny/fragment_subfamily_resolution.tsv
HG00097_hap2_hprc_r2_v1.0.1_HML-2_17p13.1_hg38_DEGRADED_KCON_0	HG00097	h2	HG00097#2#JBIRDE010000050.1:7951096-7960660	HML-2_17p13.1_hg38	HML-2_17p13.1_hg38	1	0	non_HML2_HML11_sequence_identity	HML-11	historical_catalog_comparator	non_HML2_HML11_sequence_identity	17p13.1	https://doi.org/10.1186/1742-4690-8-90	1E	NA24385_h2	cda24157b164406af560e0ff34b01cf3a5b2e850b9940a118ed229c953fb1436	0.9917979002624672	1.0	source_worktree/project/results/acroc_resolved_20260914/phylogeny/fragment_subfamily_resolution.tsv
HG00099_hap1_hprc_r2_v1.0.1_HML-2_17p13.1_hg38_DEGRADED_KCON_0	HG00099	h1	HG00099#1#JBHDWO010000066.1:7976361-7985933	HML-2_17p13.1_hg38	HML-2_17p13.1_hg38	1	0	non_HML2_HML11_sequence_identity	HML-11	historical_catalog_comparator	non_HML2_HML11_sequence_identity	17p13.1	https://doi.org/10.1186/1742-4690-8-90	1E	NA24385_h2	cda24157b164406af560e0ff34b01cf3a5b2e850b9940a118ed229c953fb1436	0.9917979002624672	1.0	source_worktree/project/results/acroc_resolved_20260914/phylogeny/fragment_subfamily_resolution.tsv
HG00099_hap2_hprc_r2_v1.0.1_HML-2_17p13.1_hg38_DEGRADED_KCON_0	HG00099	h2	HG00099#2#JBHDWP010000016.1:7982992-7992563	HML-2_17p13.1_hg38	HML-2_17p13.1_hg38	1	0	non_HML2_HML11_sequence_identity	HML-11	historical_catalog_comparator	non_HML2_HML11_sequence_identity	17p13.1	https://doi.org/10.1186/1742-4690-8-90	1E	NA24385_h2	cda24157b164406af560e0ff34b01cf3a5b2e850b9940a118ed229c953fb1436	0.9917979002624672	1.0	source_worktree/project/results/acroc_resolved_20260914/phylogeny/fragment_subfamily_resolution.tsv
HG00126_hap1_hprc_r2_v1.0.1_HML-2_17p13.1_hg38_DEGRADED_KCON_0	HG00126	h1	HG00126#1#JBHIKU010000009.1:7958813-7968378	HML-2_17p13.1_hg38	HML-2_17p13.1_hg38	1	0	non_HML2_HML11_sequence_identity	HML-11	historical_catalog_comparator	non_HML2_HML11_sequence_identity	17p13.1	https://doi.org/10.1186/1742-4690-8-90	1E	NA24385_h2	cda24157b164406af560e0ff34b01cf3a5b2e850b9940a118ed229c953fb1436	0.9917979002624672	1.0	source_worktree/project/results/acroc_resolved_20260914/phylogeny/fragment_subfamily_resolution.tsv
HG00126_hap2_hprc_r2_v1.0.1_HML-2_17p13.1_hg38_DEGRADED_KCON_0	HG00126	h2	HG00126#2#JBHIKV010000007.1:7987650-7997219	HML-2_17p13.1_hg38	HML-2_17p13.1_hg38	1	0	non_HML2_HML11_sequence_identity	HML-11	historical_catalog_comparator	non_HML2_HML11_sequence_identity	17p13.1	https://doi.org/10.1186/1742-4690-8-90	1E	NA24385_h2	cda24157b164406af560e0ff34b01cf3a5b2e850b9940a118ed229c953fb1436	0.9917979002624672	1.0	source_worktree/project/results/acroc_resolved_20260914/phylogeny/fragment_subfamily_resolution.tsv
HG00128_hap1_hprc_r2_v1.0.1_HML-2_17p13.1_hg38_DEGRADED_KCON_0	HG00128	h1	HG00128#1#JBHIKS010000050.1:7967464-7977029	HML-2_17p13.1_hg38	HML-2_17p13.1_hg38	1	0	non_HML2_HML11_sequence_identity	HML-11	historical_catalog_comparator	non_HML2_HML11_sequence_identity	17p13.1	https://doi.org/10.1186/1742-4690-8-90	1E	NA24385_h2	cda24157b164406af560e0ff34b01cf3a5b2e850b9940a118ed229c953fb1436	0.9917979002624672	1.0	source_worktree/project/results/acroc_resolved_20260914/phylogeny/fragment_subfamily_resolution.tsv
