region	focal_tip	candidate_pool	other_tip	tree_distance	nearest
LTR	19p12c__hap1__n69	all_retained_loci	12q14.1__hap2__n127	0.01483754798394418	1
LTR	19p12c__hap1__n69	all_retained_loci	12q14.1__hap1__n260	0.014857280440514929	0
LTR	19p12c__hap1__n69	all_retained_loci	3q13.2__hap1__n261	0.014972871612660421	0
LTR	19p12c__hap1__n69	all_retained_loci	3q13.2__hap2__n32	0.0149916038324364	0
LTR	19p12c__hap1__n69	all_retained_loci	8q11.23_new__hap1__n465	0.015683635151749857	0
LTR	19p12c__hap1__n69	all_retained_loci	8q11.23_new__hap2__n9	0.01673934478832611	0
LTR	19p12c__hap1__n69	all_retained_loci	11q22.1__hap2__n88	0.017940491808224247	0
LTR	19p12c__hap1__n69	all_retained_loci	10p12.1__hap2__n81	0.018045353277151538	0
LTR	19p12c__hap1__n69	all_retained_loci	4q32.1__hap2__n78	0.018051279691030018	0
LTR	19p12c__hap1__n69	all_retained_loci	7p22.1__hap1__n93	0.018707962982281588	0
LTR	19p12c__hap1__n69	all_retained_loci	1p31.1b__hap1__n97	0.018990801975671448	0
LTR	19p12c__hap1__n69	all_retained_loci	1p31.1b__hap2__n72	0.018991258199536787	0
LTR	19p12c__hap1__n69	all_retained_loci	10p12.1__hap1__n269	0.019095834597944367	0
LTR	19p12c__hap1__n69	all_retained_loci	3q27.2__hap2__n56	0.01911299922213118	0
LTR	19p12c__hap1__n69	all_retained_loci	22q11.21__hap1__n99	0.019205160409869908	0
LTR	19p12c__hap1__n69	all_retained_loci	22q11.21__hap2__n35	0.01924778943352371	0
LTR	19p12c__hap1__n69	all_retained_loci	Xq21.33__hap1__n3	0.01941179297464178	0
LTR	19p12c__hap1__n69	all_retained_loci	7p22.1__hap2__n81	0.019742032150264727	0
LTR	19p12c__hap1__n69	all_retained_loci	19q12__hap1__n314	0.01982019727942888	0
LTR	19p12c__hap1__n69	all_retained_loci	3q27.2__hap1__n242	0.020004128790438308	0
LTR	19p12c__hap1__n69	all_retained_loci	4q32.1__hap1__n132	0.020141732859863298	0
LTR	19p12c__hap1__n69	all_retained_loci	6q14.1__hap2__n106	0.02025985026438709	0
LTR	19p12c__hap1__n69	all_retained_loci	11q22.1__hap1__n160	0.021119455822976686	0
LTR	19p12c__hap1__n69	all_retained_loci	6q14.1__hap1__n152	0.021306870427268126	0
LTR	19p12c__hap1__n69	all_retained_loci	12q13.2__hap1__n216	0.021386312663162703	0
LTR	19p12c__hap1__n69	all_retained_loci	12q13.2__hap2__n61	0.02142788333874921	0
LTR	19p12c__hap1__n69	all_retained_loci	8q24.3a__hap2__n159	0.02190955778141075	0
LTR	19p12c__hap1__n69	all_retained_loci	5q33.3__hap1__n307	0.022561032334574543	0
LTR	19p12c__hap1__n69	all_retained_loci	8q24.3a__hap1__n174	0.02269309024222771	0
LTR	19p12c__hap1__n69	all_retained_loci	19q12__hap2__n40	0.022748120389642704	0
LTR	19p12c__hap1__n69	all_retained_loci	19p12b__hap1__n57	0.02318793618139505	0
LTR	19p12c__hap1__n69	all_retained_loci	8p23.1a_hg38__hap1__n25	0.023361292560266558	0
LTR	19p12c__hap1__n69	all_retained_loci	5q33.3__hap2__n53	0.023557844382448016	0
LTR	19p12c__hap1__n69	all_retained_loci	16p11.2__hap2__n30	0.023660477467399382	0
LTR	19p12c__hap1__n69	all_retained_loci	1q22__hap1__n256	0.023725657511804277	0
LTR	19p12c__hap1__n69	all_retained_loci	1q22__hap2__n40	0.023733159293268177	0
LTR	19p12c__hap1__n69	all_retained_loci	16p11.2__hap1__n315	0.0237447892538167	0
LTR	19p12c__hap1__n69	all_retained_loci	8p23.1a_hg38__hap2__n4	0.024091911820707097	0
LTR	19p12c__hap1__n69	all_retained_loci	19p12b__hap2__n3	0.024126159632578966	0
LTR	19p12c__hap1__n69	all_retained_loci	5p13.3__hap1__n245	0.02688605183739807	0
LTR	19p12c__hap1__n69	all_retained_loci	5p13.3__hap2__n147	0.028771430758149898	0
LTR	19p12c__hap1__n69	all_retained_loci	21q21.1__hap1__n82	0.030112154854986972	0
LTR	19p12c__hap1__n69	all_retained_loci	21q21.1__hap2__n31	0.031167622551997683	0
LTR	19p12c__hap1__n69	all_retained_loci	3q21.2__hap1__n194	0.03380573383706767	0
LTR	19p12c__hap1__n69	all_retained_loci	3q21.2__hap2__n63	0.03512162575161936	0
LTR	19p12c__hap1__n69	all_retained_loci	10q24.2__hap2__n114	0.03582656857102207	0
LTR	19p12c__hap1__n69	all_retained_loci	10q24.2__hap1__n189	0.03673266116398741	0
LTR	19p12c__hap1__n69	all_retained_loci	19p12d__hap1__n264	0.03836944900215319	0
LTR	19p12c__hap1__n69	all_retained_loci	19p12d__hap2__n193	0.03921838165227193	0
LTR	19p12c__hap1__n69	all_retained_loci	11q23.3__hap1__n159	0.039513651351758876	0
LTR	19p12c__hap1__n69	all_retained_loci	19p13.3__hap1__n107	0.04013563835313661	0
LTR	19p12c__hap1__n69	all_retained_loci	11q23.3__hap2__n147	0.041834241719577635	0
LTR	19p12c__hap1__n69	all_retained_loci	2q21.1__hap2__n143	0.04196204744341988	0
LTR	19p12c__hap1__n69	all_retained_loci	19p13.3__hap2__n70	0.04295825439525298	0
LTR	19p12c__hap1__n69	all_retained_loci	2q21.1__hap1__n236	0.0430372179554522	0
LTR	19p12c__hap1__n69	all_retained_loci	5q11.2__hap1__n331	0.0437280087068374	0
LTR	19p12c__hap1__n69	all_retained_loci	5q11.2__hap2__n108	0.04481704311959181	0
LTR	19p12c__hap1__n69	all_retained_loci	3q12.3__hap2__n105	0.047284446689498355	0
LTR	19p12c__hap1__n69	all_retained_loci	3q12.3__hap1__n184	0.047623538710901324	0
LTR	19p12c__hap1__n69	all_retained_loci	1q23.3__hap1__n195	0.050226572812673176	0
LTR	19p12c__hap1__n69	all_retained_loci	15p13b__hap2__n5	0.05097339924316137	0
LTR	19p12c__hap1__n69	all_retained_loci	1q23.3__hap2__n71	0.051352121544411926	0
LTR	19p12c__hap1__n69	all_retained_loci	15p13b__hap1__n9	0.051549106462246475	0
LTR	19p12c__hap1__n69	all_retained_loci	13p13__hap1__n7	0.05268625379793488	0
LTR	19p12c__hap1__n69	all_retained_loci	13p13__hap2__n4	0.05594023696856464	0
LTR	19p12c__hap1__n69	all_retained_loci	1p31.1a__hap1__n173	0.05792452576581956	0
LTR	19p12c__hap1__n69	all_retained_loci	3p25.3__hap1__n279	0.05801119988395437	0
LTR	19p12c__hap1__n69	all_retained_loci	3p25.3__hap2__n49	0.059103273978607124	0
LTR	19p12c__hap1__n69	all_retained_loci	4q32.3__hap1__n157	0.06204264837557405	0
LTR	19p12c__hap1__n69	all_retained_loci	1p31.1a__hap2__n106	0.06275428140955482	0
LTR	19p12c__hap1__n69	all_retained_loci	4q32.3__hap2__n141	0.06284995651263396	0
LTR	19p12c__hap1__n69	all_retained_loci	10p14__hap1__n252	0.0652696140843562	0
LTR	19p12c__hap1__n69	all_retained_loci	19p12e__hap1__n315	0.06980703688688024	0
LTR	19p12c__hap1__n69	all_retained_loci	10p14__hap2__n42	0.07009091819435317	0
LTR	19p12c__hap1__n69	all_retained_loci	19p12e__hap2__n93	0.07068937474293166	0
LTR	19p12c__hap1__n69	all_retained_loci	1q32.2__hap2__n12	0.08966658752896296	0
LTR	19p12c__hap1__n69	all_retained_loci	1q32.2__hap1__n331	0.09015329581179535	0
LTR	19p12c__hap1__n69	all_retained_loci	5p12__hap1__n225	0.11174110598195176	0
LTR	19p12c__hap1__n69	all_retained_loci	5p12__hap2__n175	0.1129195955787087	0
LTR	19p12c__hap1__n69	all_retained_loci	1p34.3__hap1__n2	0.14008998229501468	0
LTR	19p12c__hap1__n69	all_retained_loci	11q12.3__hap1__n361	0.1575796038456682	0
LTR	19p12c__hap1__n69	all_retained_loci	11q12.3__hap2__n65	0.15782447869945354	0
LTR	19p12c__hap1__n69	all_retained_loci	19q13.12b__hap1__n245	0.161674314145595	0
LTR	19p12c__hap1__n69	all_retained_loci	6p22.1__hap2__n116	0.16170256331224706	0
LTR	19p12c__hap1__n69	all_retained_loci	6p22.1__hap1__n169	0.16207086929060074	0
LTR	19p12c__hap1__n69	all_retained_loci	19q13.12b__hap2__n81	0.16312463824610918	0
LTR	19p12c__hap1__n69	all_retained_loci	19p12a__hap1__n256	0.1657477576084982	0
LTR	19p12c__hap1__n69	all_retained_loci	19p12a__hap2__n111	0.16687881986387135	0
LTR	19p12c__hap1__n69	all_retained_loci	9q34.3__hap1__n196	0.20802570828511557	0
LTR	19p12c__hap1__n69	all_retained_loci	9q34.3__hap2__n131	0.20891575899410417	0
LTR	19p12c__hap1__n69	all_retained_loci	19q13.41__hap1__n201	0.2101928621539941	0
LTR	19p12c__hap1__n69	all_retained_loci	19q13.41__hap2__n133	0.210650489689525	0
LTR	19p12c__hap1__n69	all_retained_loci	1p36.21c__hap1__n249	0.21366544573836554	0
LTR	19p12c__hap1__n69	all_retained_loci	6p21.1__hap1__n319	0.21402349631783207	0
LTR	19p12c__hap1__n69	all_retained_loci	1p36.21c__hap2__n48	0.2147366086608781	0
LTR	19p12c__hap1__n69	all_retained_loci	1q43__hap1__n143	0.2152575206609607	0
LTR	19p12c__hap1__n69	all_retained_loci	1q43__hap2__n126	0.21613748721550685	0
LTR	19p12c__hap1__n69	all_retained_loci	22q11.23__hap1__n95	0.2168320330635207	0
LTR	19p12c__hap1__n69	all_retained_loci	22q11.23__hap2__n67	0.21712701519123123	0
