ID_Full	Locus	orig_Locus	ID	Haplotype	Source_Identifier	physical_locus_assignment	Structure	query	path	header	source_sha256
HG00096_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00096	h2	HG00096#2#haplotype2-0000123#0:151366010-151405824	Xq28a	Fragment	q5927	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00096_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00096_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00096#2#haplotype2-0000123#0:151366010-151405824 genomic_strand:-	c4019aca95b060f1c49ec98437302e09dbc4a262807f02e72a1aca85444cfdda
HG00099_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG00099	h2	HG00099#2#JBHDWP010000001.1:102140674-102148333	Xq28a	Fragment	q5928	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG00099_hap2_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG00099_hap2_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG00099#2#JBHDWP010000001.1:102141174-102147833 genomic_strand:+	35d520233a95581ee353d96509249089a163b0648f190163b176a97ccb3c220d
HG00146_hap1_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG00146	h1	HG00146#1#JBHIKO010000007.1:154020135-154027794	Xq28a	Fragment	q5929	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG00146_hap1_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG00146_hap1_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG00146#1#JBHIKO010000007.1:154020635-154027294 genomic_strand:+	07fcc8a3f414900564b5931733b5890e5eba57f5cb5be836599426b9254f3c23
HG00146_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG00146	h2	HG00146#2#CM090044.1:153796055-153803717	Xq28a	Fragment	q5930	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG00146_hap2_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG00146_hap2_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG00146#2#CM090044.1:153796555-153803217 genomic_strand:+	94bb348fd496f85094e04a43408a4b3614a0e4bc8143d2b96c0904109cca12fa
HG00171_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00171	h1	HG00171#1#haplotype1-0000001#0:152431294-152471124	Xq28a	Fragment	q5931	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00171_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00171_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00171#1#haplotype1-0000001#0:152431294-152471124 genomic_strand:+	3b3b3153cec52eba33f2c47f8916760e97791bb207c6a96e256617c0be1d7423
HG00171_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00171	h2	HG00171#2#haplotype2-0000138#0:151283061-151322874	Xq28a	Fragment	q5932	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00171_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00171_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00171#2#haplotype2-0000138#0:151283061-151322874 genomic_strand:-	550761251792c0d036b82931da9a9452f4bad409c35bf6bc184ccee5362d1342
HG00253_hap1_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG00253	h1	HG00253#1#CM094468.1:154299071-154306732	Xq28a	Fragment	q5933	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG00253_hap1_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG00253_hap1_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG00253#1#CM094468.1:154299571-154306232 genomic_strand:+	c7646ff3bb810d493b7d09b02dd181102496631943f8b3fa2499c82cf0bbd865
HG00268_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00268	h1	HG00268#1#haplotype1-0000008#0:1414179-1453991	Xq28a	Fragment	q5934	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00268_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00268_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00268#1#haplotype1-0000008#0:1414179-1453991 genomic_strand:-	a09045309b76666f46dca8ecfad4be4f4fbf777bb5bd2a568e0d349834e8a338
HG00268_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00268	h2	HG00268#2#haplotype2-0000055#0:755645-795466	Xq28a	Fragment	q5935	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00268_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00268_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00268#2#haplotype2-0000055#0:755645-795466 genomic_strand:-	1c889acc41277d799e26b674de966bcb60d6a47260dc5a9b33033b2ddb9560b9
HG00272_hap1_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG00272	h1	HG00272#1#JBIRDN010000009.1:66129839-66137500	Xq28a	Fragment	q5936	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG00272_hap1_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG00272_hap1_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG00272#1#JBIRDN010000009.1:66130339-66137000 genomic_strand:+	d79edecc460a7034c022d9ec4287ada6730833fd0d28b18a4bf5dc0c230d53bf
