locus	catalog_records	donors	donor_haplotypes	paired_accepted	identical_pairs	one_mismatch_pairs	two_mismatch_pairs	different_pairs	fraction_different	length_robust_candidate_differences	length_ambiguous_differences	one_sided	unavailable	no_exact_retained_record
HML-2_10p12.1	585	292	584	585	585	0	0	0	0.0	0	0	0	0	0
HML-2_10p14	584	292	584	561	560	1	0	1	0.0017825311942959	1	0	22	1	0
HML-2_10q24.2	584	292	584	0	0	0	0	0		0	0	582	2	0
HML-2_11p15.4	586	292	584	0	0	0	0	0		0	0	0	584	2
HML-2_11p15.4b	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_11q12.1	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_11q12.3	586	292	584	0	0	0	0	0		0	0	0	585	1
HML-2_11q22.1	594	292	584	496	496	0	0	0	0.0	0	0	0	91	7
HML-2_11q23.3	585	292	584	583	583	0	0	0	0.0	0	0	2	0	0
HML-2_12p11.21	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_12q13.2	601	292	584	389	389	0	0	0	0.0	0	0	0	196	16
HML-2_12q14.1	585	292	584	583	582	1	0	1	0.0017152658662092624	1	0	0	2	0
HML-2_12q24.33	599	292	584	20	20	0	0	0	0.0	0	0	0	579	0
HML-2_13p13	644	292	574	0	0	0	0	0		0	0	248	395	1
HML-2_14q11.2	586	292	584	0	0	0	0	0		0	0	0	586	0
HML-2_14q32.33	588	292	583	0	0	0	0	0		0	0	0	588	0
HML-2_15p13a	695	290	526	0	0	0	0	0		0	0	0	694	1
HML-2_15p13b	468	271	410	308	308	0	0	0	0.0	0	0	20	140	0
HML-2_15q25.2	584	292	584	0	0	0	0	0		0	0	0	462	122
HML-2_16p11.2	587	292	584	0	0	0	0	0		0	0	577	10	0
HML-2_19p12a	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_19p12b	639	292	584	79	79	0	0	0	0.0	0	0	0	505	55
HML-2_19p12c	615	292	584	0	0	0	0	0		0	0	265	319	31
HML-2_19p12d	584	292	584	544	544	0	0	0	0.0	0	0	40	0	0
HML-2_19p12e	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_19p13.3	584	292	584	0	0	0	0	0		0	0	159	425	0
HML-2_19q12	585	292	584	0	0	0	0	0		0	0	584	1	0
HML-2_19q13.12a	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_19q13.12b	584	292	584	0	0	0	0	0		0	0	581	3	0
HML-2_19q13.41	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_19q13.42	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_1p31.1a	585	292	584	585	582	3	0	3	0.005128205128205128	3	0	0	0	0
HML-2_1p31.1b	603	292	584	591	591	0	0	0	0.0	0	0	0	12	0
HML-2_1p34.3	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_1p36.21a	585	292	584	0	0	0	0	0		0	0	0	584	1
HML-2_1p36.21b	585	292	584	0	0	0	0	0		0	0	0	584	1
HML-2_1p36.21c	588	292	584	0	0	0	0	0		0	0	0	584	4
HML-2_1q21.3	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_1q22	584	292	584	584	584	0	0	0	0.0	0	0	0	0	0
HML-2_1q23.3	584	292	584	575	575	0	0	0	0.0	0	0	9	0	0
HML-2_1q24.1	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_1q32.2	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_1q43	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_20q11.22	585	292	584	0	0	0	0	0		0	0	0	585	0
HML-2_21p13	939	286	528	0	0	0	0	0		0	0	0	939	0
HML-2_21q21.1	584	292	584	0	0	0	0	0		0	0	584	0	0
