locus	array	sample	haplotype	copy_count	region	complete_called_bases	segregating_substitution_sites	pair_comparisons	mean_pairwise_differences	mean_p_distance	min_pairwise_differences	max_pairwise_differences	any_indel
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	whole_unit	9459	6	1	6.0	0.0006343165239454488	6	6	0
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	internal	7536	0	1	0.0	0.0	0	0	0
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	5p_LTR	961	0	1	0.0	0.0	0	0	0
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	3p_LTR	962	6	1	6.0	0.006237006237006237	6	6	0
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	gag	2001	0	1	0.0	0.0	0	0	0
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	pro	1005	0	1	0.0	0.0	0	0	0
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	pol	2871	0	1	0.0	0.0	0	0	0
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	env	2100	0	1	0.0	0.0	0	0	0
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	whole_unit	9459	10	1	10.0	0.001057194206575748	10	10	0
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	internal	7536	4	1	4.0	0.0005307855626326964	4	4	0
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	5p_LTR	961	0	1	0.0	0.0	0	0	0
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	3p_LTR	962	6	1	6.0	0.006237006237006237	6	6	0
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	gag	2001	1	1	1.0	0.0004997501249375312	1	1	0
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	pro	1005	1	1	1.0	0.0009950248756218905	1	1	0
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	pol	2871	2	1	2.0	0.0006966213862765587	2	2	0
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	env	2100	1	1	1.0	0.0004761904761904762	1	1	0
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	whole_unit	9459	6	1	6.0	0.0006343165239454488	6	6	0
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	internal	7536	0	1	0.0	0.0	0	0	0
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	5p_LTR	961	0	1	0.0	0.0	0	0	0
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	3p_LTR	962	6	1	6.0	0.006237006237006237	6	6	0
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	gag	2001	0	1	0.0	0.0	0	0	0
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	pro	1005	0	1	0.0	0.0	0	0	0
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	pol	2871	0	1	0.0	0.0	0	0	0
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	env	2100	0	1	0.0	0.0	0	0	0
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	whole_unit	9459	7	1	7.0	0.0007400359446030236	7	7	0
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	internal	7536	1	1	1.0	0.0001326963906581741	1	1	0
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	5p_LTR	961	0	1	0.0	0.0	0	0	0
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	3p_LTR	962	6	1	6.0	0.006237006237006237	6	6	0
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	gag	2001	0	1	0.0	0.0	0	0	0
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	pro	1005	0	1	0.0	0.0	0	0	0
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	pol	2871	1	1	1.0	0.00034831069313827936	1	1	0
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	env	2100	0	1	0.0	0.0	0	0	0
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	whole_unit	9458	19	1	19.0	0.0020088813702685555	19	19	1
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	internal	7535	11	1	11.0	0.00145985401459854	11	11	1
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	5p_LTR	961	1	1	1.0	0.001040582726326743	1	1	0
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	3p_LTR	962	7	1	7.0	0.007276507276507277	7	7	0
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	gag	2001	4	1	4.0	0.001999000499750125	4	4	0
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	pro	1004	4	1	4.0	0.00398406374501992	4	4	1
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	pol	2871	2	1	2.0	0.0006966213862765587	2	2	0
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	env	2100	1	1	1.0	0.0004761904761904762	1	1	0
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	whole_unit	9459	6	1	6.0	0.0006343165239454488	6	6	0
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	internal	7536	0	1	0.0	0.0	0	0	0
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	5p_LTR	961	0	1	0.0	0.0	0	0	0
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	3p_LTR	962	6	1	6.0	0.006237006237006237	6	6	0
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	gag	2001	0	1	0.0	0.0	0	0	0
