key	locus	sample	ID_Full	is_reference	source_path	source_sha256	strand	reference_start	reference_end	mapped_reference_bases	ltr5_bases	ltr3_bases	mismatches	jointly_called_bases	p_distance	clock_low_My	clock_high_My
p0428	15p13a	NA20355	NA20355_h1_HML-2_15p13a_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_15p13a/NA20355_h1_HML-2_15p13a_graph_hgsvc3_linked_recovery.fa	08eee294598437518ebc57d9c5d000210d27cba4fd5560c32311fff265a4a35d	-	0	7283	7275	993	997	55	992	0.055443548387096774	12.32078853046595	23.101478494623656
p0429	22p13	HG00514	HG00514_h1_HML-2_22p13_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_22p13/HG00514_h1_HML-2_22p13_graph_hgsvc3_linked_recovery.fa	8e4d733a58171e5882bc77727a8acf50394581bb4083879e51d44c818a40de01	-	0	7283	7283	994	997	55	993	0.0553877139979859	12.308380888441311	23.07821416582746
p0430	4q35.2_hg38	HG00171	HG00171_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG00171_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	1ffecad4ce0771403af6ccc71a7e8ba90a71ea1ada7401391b757445847bc9b8	+	0	7283	7283	994	997	52	993	0.05236656596173213	11.637014658162697	21.819402484055054
p0431	4q35.2_hg38	HG00268	HG00268_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG00268_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	7dabc9cdfaa8a9f105d43af13def8c5ae989043f414c90ad95a767c7f5473a9a	-	0	7283	7270	994	997	56	993	0.05639476334340383	12.532169631867518	23.497818059751598
p0432	4q35.2_hg38	HG00268	HG00268_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG00268_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	6a0d0ebaa58ff7d550e6ec762a4817a8cb3ec4d69c0664018806f4b554b11428	-	0	7283	7270	994	997	56	993	0.05639476334340383	12.532169631867518	23.497818059751598
p0433	4q35.2_hg38	HG00512	HG00512_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG00512_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	3e030a8cea3441d2864f5bccc11d01293c4cb4bb9018906a1d73364ffaba2f26	-	0	7283	7268	993	996	55	991	0.055499495459132187	12.333221213140487	23.124789774638412
p0434	4q35.2_hg38	HG00731	HG00731_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG00731_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	f51f815fa118aceabbd0ce1a84dde1150a99fe18e658623282c259b2b45ee8f8	+	0	7283	7283	994	997	52	993	0.05236656596173213	11.637014658162697	21.819402484055054
p0435	4q35.2_hg38	HG01114	HG01114_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG01114_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	d3990b241f8099b76441c7ffe6ed9e5a6e02a3a53948634381deb619e6a07828	+	0	7283	7270	994	994	57	990	0.05757575757575758	12.794612794612796	23.989898989898993
p0436	4q35.2_hg38	HG01457	HG01457_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG01457_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	ee4bebf120a195c74fcc8af41fff16b99f9c465ec965b82ac1caf3d88e51e393	-	0	7283	7282	994	997	55	993	0.0553877139979859	12.308380888441311	23.07821416582746
p0437	4q35.2_hg38	HG01505	HG01505_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG01505_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	c253d556e7f9c9c0386913f65890b36657989d92557c63c7de4203f57b1d3f39	+	0	7283	7283	994	997	52	993	0.05236656596173213	11.637014658162697	21.819402484055054
p0438	4q35.2_hg38	HG01596	HG01596_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG01596_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	8733286ecdfdb92f9ed43efe21f263551ab6b854983d5d70fa45629a510ff234	-	0	7283	7282	994	997	56	993	0.05639476334340383	12.532169631867518	23.497818059751598
p0439	4q35.2_hg38	HG02492	HG02492_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG02492_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	b6861f481e60f515cfdaf9e89f917f82ad20b2c904af5c5ae82310d85b475cc9	-	0	7283	7282	994	997	57	993	0.05740181268882175	12.755958375293725	23.91742195367573
