locus	display_locus	analysis_rows	paired_accepted	paired_with_different_copies	fraction_different	directly_supported_pairs	directly_supported_different_pairs	directly_supported_fraction_different
HML-2_10p12.1	10p12.1	589	589	0	0.0	563	0	0.0
HML-2_10p14	10p14	588	565	1	0.0017699115044247787	564	1	0.0017730496453900709
HML-2_10q24.2	10q24.2	588	0	0		0	0	
HML-2_11p15.4	11p15.4	588	0	0		0	0	
HML-2_11p15.4b	11p15.4b	588	0	0		0	0	
HML-2_11q12.1	11q12.1	588	0	0		0	0	
HML-2_11q12.3	11q12.3	589	0	0		0	0	
HML-2_11q22.1	11q22.1	591	527	27	0.051233396584440226	222	0	0.0
HML-2_11q23.3	11q23.3	589	589	0	0.0	580	0	0.0
HML-2_12p11.21	12p11.21	588	0	0		0	0	
HML-2_12q13.2	12q13.2	589	364	1	0.0027472527472527475	262	1	0.003816793893129771
HML-2_12q14.1	12q14.1	589	587	1	0.0017035775127768314	279	0	0.0
HML-2_12q24.33	12q24.33	603	20	0	0.0	0	0	
HML-2_13p13	13p13	637	12	1	0.08333333333333333	8	0	0.0
HML-2_14q11.2	14q11.2	590	0	0		0	0	
HML-2_14q32.33	14q32.33	592	0	0		0	0	
HML-2_15p13a	15p13a	821	0	0		0	0	
HML-2_15p13b	15p13b	709	340	9	0.026470588235294117	299	0	0.0
HML-2_15q25.2	15q25.2	588	0	0		0	0	
HML-2_16p11.2	16p11.2	591	0	0		0	0	
HML-2_17p13.1_hg38	17p13.1	588	0	0		0	0	
HML-2_19p12a	19p12a	588	0	0		0	0	
HML-2_19p12b	19p12b	588	79	0	0.0	79	0	0.0
HML-2_19p12c	19p12c	588	0	0		0	0	
HML-2_19p12d	19p12d	588	588	0	0.0	1	0	0.0
HML-2_19p12e	19p12e	588	0	0		0	0	
HML-2_19p13.3	19p13.3	588	0	0		0	0	
HML-2_19q12	19q12	589	0	0		0	0	
HML-2_19q13.12a	19q13.12a	588	0	0		0	0	
HML-2_19q13.12b	19q13.12b	588	0	0		0	0	
HML-2_19q13.41	19q13.41	588	0	0		0	0	
HML-2_19q13.42	19q13.42	588	0	0		0	0	
HML-2_1p31.1a	1p31.1a	589	589	3	0.0050933786078098476	528	3	0.005681818181818182
HML-2_1p31.1b	1p31.1b	607	595	0	0.0	136	0	0.0
HML-2_1p34.3	1p34.3	588	0	0		0	0	
HML-2_1p36.21a	1p36.21a	588	0	0		0	0	
HML-2_1p36.21b	1p36.21b	588	0	0		0	0	
HML-2_1p36.21c	1p36.21c	588	0	0		0	0	
