locus	label_scope	Noncarrier call	Solo-LTR	Fragment	Provirus	Multi-copy	Unknown	eligible_haplotypes	known_haplotypes	not_applicable_haplotypes	unknown_ploidy_haplotypes	missing_reassigned	missing_no_retained_record	explicit_technical_unknown	group_record_count	group_observed_haplotypes	maximum_retained_copies_per_eligible_haplotype	variability_score	structural_observations	shown_in_figure_1
HML-2_10p12.1	physical_locus	0	25	0	558	1	0	584	584	0	0	0	0	0	0	0	2	0.044520547945205435	solo-ltr 25/584, provirus 558/584, multi-copy 1/584	0
HML-2_10p14	physical_locus	0	1	0	582	0	1	584	583	0	0	0	0	1	0	0	1	0.0017152658662092923	solo-ltr 1/584, provirus 582/584, unknown 1/584	0
HML-2_10q24.2	physical_locus	0	0	2	582	0	0	584	584	0	0	0	0	0	0	0	1	0.003424657534246589	fragment 2/584, provirus 582/584	0
HML-2_11p15.4	physical_locus	9	0	0	573	0	2	584	582	0	0	0	0	2	0	0	1	0.015463917525773141	noncarrier call 9/584, provirus 573/584, unknown 2/584	0
HML-2_11p15.4b	physical_locus	0	462	0	0	0	122	584	462	0	0	0	0	122	0	0	1	0.0	solo-ltr 462/584, unknown 122/584	0
HML-2_11q12.1	physical_locus	0	0	584	0	0	0	584	584	0	0	0	0	0	0	0	1	0.0	fragment 584/584	0
HML-2_11q12.3	physical_locus	2	0	202	379	1	0	584	584	0	0	0	0	0	0	0	2	0.351027397260274	noncarrier call 2/584, fragment 202/584, provirus 379/584, multi-copy 1/584	1
HML-2_11q22.1	physical_locus	64	304	0	213	3	0	584	584	0	0	0	0	0	0	0	2	0.4794520547945206	noncarrier call 64/584, solo-ltr 304/584, provirus 213/584, multi-copy 3/584	1
HML-2_11q23.3	physical_locus	0	9	0	574	1	0	584	584	0	0	0	0	0	0	0	2	0.017123287671232834	solo-ltr 9/584, provirus 574/584, multi-copy 1/584	0
HML-2_12p11.21	physical_locus	0	0	0	584	0	0	584	584	0	0	0	0	0	0	0	1	0.0	provirus 584/584	0
HML-2_12q13.2	physical_locus	195	130	0	258	1	0	584	584	0	0	0	0	0	0	0	2	0.5582191780821918	noncarrier call 195/584, solo-ltr 130/584, provirus 258/584, multi-copy 1/584	1
HML-2_12q14.1	physical_locus	0	307	0	274	1	2	584	582	0	0	0	0	2	0	0	2	0.4725085910652921	solo-ltr 307/584, provirus 274/584, multi-copy 1/584, unknown 2/584	1
