candidate_id	species	target	start_0	end_0	target_span	strand	paf_rows_in_cluster	query_union_coverage	query_min_start	query_max_end	best_identity	provirus_type	deletion_events_kcon_start_length	large_deletion_events_all_kcon_start_length	large_deletion_count	type_detail	candidate_definition
bonobo__CM055472.2__89150457_89159691__-	bonobo	CM055472.2	89150457	89159691	9234	-	1	9469	0	9469	0.9312296886466087	TypeI_canonical_Delta292	6502:292	6502:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
bonobo__CM055472.2__92533844_92542784__-	bonobo	CM055472.2	92533844	92542784	8940	-	3	9472	0	9472	0.9760166840458812	alternative_pol_env_deletion	6461:556	6461:556	1	noncanonical >=50-nt deletion overlaps KCON 6300-6900	outcome_blind_cluster_then_type
bonobo__CM055479.2__131528805_131537981__-	bonobo	CM055479.2	131528805	131537981	9176	-	1	9472	0	9472	0.9437361711094722	TypeI_canonical_Delta292	6502:292	6502:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
bonobo__CM055481.2__119426923_119436094__-	bonobo	CM055481.2	119426923	119436094	9171	-	1	9469	0	9469	0.9368476541908276	TypeI_canonical_Delta292	6502:292	6502:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
bonobo__CM055482.2__10062772_10072234__+	bonobo	CM055482.2	10062772	10072234	9462	+	2	9469	0	9469	0.9647668393782384	TypeI_canonical_Delta292	6501:292	6501:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
bonobo__CM055496.2__37988195_37995883__+	bonobo	CM055496.2	37988195	37995883	7688	+	1	9472	0	9472	0.7914731954411144	TypeI_canonical_Delta292	6501:292	3736:1493;6501:292	2	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
bonobo__CM068944.1__90958626_90967802__+	bonobo	CM068944.1	90958626	90967802	9176	+	3	9472	0	9472	0.9562118126272913	TypeI_canonical_Delta292	6501:292	6501:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
chimp__NC_072398.2__88500525_88510076__-	chimp	NC_072398.2	88500525	88510076	9551	-	1	9469	0	9469	0.900974025974026	TypeI_canonical_Delta292	6502:292	6502:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
chimp__NC_072405.2__124424071_124433242__-	chimp	NC_072405.2	124424071	124433242	9171	-	1	9472	0	9472	0.9449773374090861	TypeI_canonical_Delta292	6502:292	6502:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
chimp__NC_072407.2__120666016_120675186__-	chimp	NC_072407.2	120666016	120675186	9170	-	1	9469	0	9469	0.9368609676399283	TypeI_canonical_Delta292	6502:292	6502:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
chimp__NC_072408.2__11687848_11696994__+	chimp	NC_072408.2	11687848	11696994	9146	+	1	9469	0	9469	0.9434121621621622	TypeI_canonical_Delta292	6501:292	6501:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
chimp__NC_072410.2__113803238_113812470__-	chimp	NC_072410.2	113803238	113812470	9232	-	3	9472	0	9472	0.9568273092369478	TypeI_canonical_Delta292	6502:292	6502:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
chimp__NC_072416.2__3101951_3111256__+	chimp	NC_072416.2	3101951	3111256	9305	+	3	9472	0	9472	0.9456325140972444	TypeI_canonical_Delta292	6501:292	6501:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
chimp__NC_072416.2__4283252_4294198__-	chimp	NC_072416.2	4283252	4294198	10946	-	4	8546	0	9472	0.9859154929577465	TypeII_retained			0	typing window aligned without >=50-nt query deletion	outcome_blind_cluster_then_type
chimp__NC_072422.2__27072852_27080541__+	chimp	NC_072422.2	27072852	27080541	7689	+	3	9472	0	9472	0.9731404958677686	TypeI_canonical_Delta292	6501:292	3733:1493;6501:292	2	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
chimp__NC_086015.1__94840699_94849892__+	chimp	NC_086015.1	94840699	94849892	9193	+	3	9472	0	9472	0.960285132382892	TypeI_canonical_Delta292	6501:292	6501:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
gorilla__NC_073224.2__96125631_96134808__-	gorilla	NC_073224.2	96125631	96134808	9177	-	1	9469	0	9469	0.9362600253271423	TypeI_canonical_Delta292	6502:292	6502:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
gorilla__NC_073227.2__147710030_147719209__-	gorilla	NC_073227.2	147710030	147719209	9179	-	1	9472	0	9472	0.9512246621621622	TypeI_canonical_Delta292	6502:292	6502:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
gorilla__NC_073229.2__19095642_19103321__+	gorilla	NC_073229.2	19095642	19103321	7679	+	2	9472	0	9472	0.9700413223140496	TypeI_canonical_Delta292	6501:292	3736:1493;6501:292	2	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
gorilla__NC_073229.2__67949087_67957067__+	gorilla	NC_073229.2	67949087	67957067	7980	+	2	9472	0	9472	0.9700722394220846	TypeII_retained		3736:1493	1	typing window aligned without >=50-nt query deletion	outcome_blind_cluster_then_type
gorilla__NC_073229.2__75577242_75586281__+	gorilla	NC_073229.2	75577242	75586281	9039	+	1	9472	0	9472	0.9358108108108109	TypeII_retained		3553:431	1	typing window aligned without >=50-nt query deletion	outcome_blind_cluster_then_type
gorilla__NC_073230.2__87365995_87375466__-	gorilla	NC_073230.2	87365995	87375466	9471	-	1	9472	0	9472	0.9811041908582286	TypeII_retained			0	typing window aligned without >=50-nt query deletion	outcome_blind_cluster_then_type
gorilla__NC_073230.2__158047203_158055976__-	gorilla	NC_073230.2	158047203	158055976	8773	-	3	9472	0	9472	0.9700722394220846	TypeI_canonical_Delta292	6502:292	4382:408;6502:292	2	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
gorilla__NC_073232.2__88491389_88499364__-	gorilla	NC_073232.2	88491389	88499364	7975	-	2	9472	0	9472	0.9710743801652892	TypeII_retained		3739:1493	1	typing window aligned without >=50-nt query deletion	outcome_blind_cluster_then_type
gorilla__NC_073233.2__126664273_126673433__-	gorilla	NC_073233.2	126664273	126673433	9160	-	1	9469	0	9469	0.9380540312368087	TypeI_canonical_Delta292	6502:292	6502:292	1	exact 292-nt query deletion at KCON 6500/6501	outcome_blind_cluster_then_type
