region	locus	original_locus	alignment_record	ID_Full	Source_Identifier	sample	haplotype	newly_admitted	sequence_sha256
gag	8p23.1d	8p23.1d	HG03452_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|HG03452#1#haplotype1-0000003#0:138456693-138466436	HG03452_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	HG03452#1#haplotype1-0000003#0:138456693-138466436	HG03452	h1	1	aa60b75980e549bc5f75dbd2a1da657dcfeb0c601319b027cc85fce401376be8
pro	8p23.1d	8p23.1d	HG03452_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|HG03452#1#haplotype1-0000003#0:138456693-138466436	HG03452_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	HG03452#1#haplotype1-0000003#0:138456693-138466436	HG03452	h1	1	6e95d868f02c25d5a9b1e31d8859cfcd7eb6e5de2057fcc8066febfd104d7cb8
pol	8p23.1d	8p23.1d	HG03452_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|HG03452#1#haplotype1-0000003#0:138456693-138466436	HG03452_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	HG03452#1#haplotype1-0000003#0:138456693-138466436	HG03452	h1	1	8572c7d7a921aade24d1b31e59311904830a1c1063d6767b139232d5901a13ff
env	8p23.1d	8p23.1d	HG03452_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|HG03452#1#haplotype1-0000003#0:138456693-138466436	HG03452_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	HG03452#1#haplotype1-0000003#0:138456693-138466436	HG03452	h1	1	cc45f9f25b50ebce9feb33009c77020b9ec062a6225a8f412b4e8f8b340645ac
gag	8p23.1d	8p23.1d	NA19347_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|NA19347#2#haplotype2-0000082#0:139532230-139541967	NA19347_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	NA19347#2#haplotype2-0000082#0:139532230-139541967	NA19347	h2	1	479f8b7acb6c600b7773590aa6205ed5a5861e005f4089d1f0752730556164dd
pro	8p23.1d	8p23.1d	NA19347_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|NA19347#2#haplotype2-0000082#0:139532230-139541967	NA19347_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	NA19347#2#haplotype2-0000082#0:139532230-139541967	NA19347	h2	1	f2c50085549d6af944579a3236416fe6c17b678e381871cf33264edccfdbf184
pol	8p23.1d	8p23.1d	NA19347_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|NA19347#2#haplotype2-0000082#0:139532230-139541967	NA19347_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	NA19347#2#haplotype2-0000082#0:139532230-139541967	NA19347	h2	1	49b8aa935d06bb66edcdd2660dc662824383294ad9ddc73eec30ffe9eaf86346
env	8p23.1d	8p23.1d	NA19347_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|NA19347#2#haplotype2-0000082#0:139532230-139541967	NA19347_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	NA19347#2#haplotype2-0000082#0:139532230-139541967	NA19347	h2	1	22a5d00f68dc3adff98f9f91d0d020f9011ed3ac97825bec7ab20fe2f6f22963
gag	8p23.1d	8p23.1d	NA19705_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|NA19705#2#haplotype2-0000097#0:138225965-138235708	NA19705_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	NA19705#2#haplotype2-0000097#0:138225965-138235708	NA19705	h2	1	aa60b75980e549bc5f75dbd2a1da657dcfeb0c601319b027cc85fce401376be8
pro	8p23.1d	8p23.1d	NA19705_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|NA19705#2#haplotype2-0000097#0:138225965-138235708	NA19705_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	NA19705#2#haplotype2-0000097#0:138225965-138235708	NA19705	h2	1	6e95d868f02c25d5a9b1e31d8859cfcd7eb6e5de2057fcc8066febfd104d7cb8
pol	8p23.1d	8p23.1d	NA19705_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|NA19705#2#haplotype2-0000097#0:138225965-138235708	NA19705_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	NA19705#2#haplotype2-0000097#0:138225965-138235708	NA19705	h2	1	8572c7d7a921aade24d1b31e59311904830a1c1063d6767b139232d5901a13ff
env	8p23.1d	8p23.1d	NA19705_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|NA19705#2#haplotype2-0000097#0:138225965-138235708	NA19705_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	NA19705#2#haplotype2-0000097#0:138225965-138235708	NA19705	h2	1	a3bbad944330764356b43a13440209ac85ac18166831976525a46cf0881e76c8
gag	8p23.1d	8p23.1d	NA20355_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|NA20355#2#haplotype2-0000188#0:7521524-7531267	NA20355_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	NA20355#2#haplotype2-0000188#0:7521524-7531267	NA20355	h2	1	aa60b75980e549bc5f75dbd2a1da657dcfeb0c601319b027cc85fce401376be8
