ID_Full	Locus	orig_Locus	ID	Haplotype	type	longest_ATG_ORF_aa	start_gene	genes_spanned	start_nt0	end_nt0	start_KCON_nt0	frame0	end_reason	sequence_bases	noncanonical_bases	alignment_path
HG00096_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10p12.1	HML-2_10p12.1	HG00096	h1	type1	835	pol	pol-env	5484	7989	5486	0	stop_codon	9179	0	historical_source/cluster/HML2_project/orf_analysis_combined/HML-2_10p12.1/HML-2_10p12.1_all_haplotypes_aligned_type1_KCON.fasta
HG00096_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10p12.1	HML-2_10p12.1	HG00096	h2	type1	1287	pol	pol-env	4129	7990	4130	1	stop_codon	9180	0	historical_source/cluster/HML2_project/orf_analysis_combined/HML-2_10p12.1/HML-2_10p12.1_all_haplotypes_aligned_type1_KCON.fasta
HG00097_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HML-2_10p12.1	HML-2_10p12.1	HG00097	h1	type1	1287	pol	pol-env	4129	7990	4130	1	stop_codon	9180	0	historical_source/cluster/HML2_project/orf_analysis_combined/HML-2_10p12.1/HML-2_10p12.1_all_haplotypes_aligned_type1_KCON.fasta
HG00097_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HML-2_10p12.1	HML-2_10p12.1	HG00097	h2	type1	1287	pol	pol-env	4129	7990	4130	1	stop_codon	9180	0	historical_source/cluster/HML2_project/orf_analysis_combined/HML-2_10p12.1/HML-2_10p12.1_all_haplotypes_aligned_type1_KCON.fasta
HG00099_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HML-2_10p12.1	HML-2_10p12.1	HG00099	h1	type1	1287	pol	pol-env	4129	7990	4130	1	stop_codon	9180	0	historical_source/cluster/HML2_project/orf_analysis_combined/HML-2_10p12.1/HML-2_10p12.1_all_haplotypes_aligned_type1_KCON.fasta
HG00099_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HML-2_10p12.1	HML-2_10p12.1	HG00099	h2	type1	1287	pol	pol-env	4129	7990	4130	1	stop_codon	9180	0	historical_source/cluster/HML2_project/orf_analysis_combined/HML-2_10p12.1/HML-2_10p12.1_all_haplotypes_aligned_type1_KCON.fasta
HG00126_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HML-2_10p12.1	HML-2_10p12.1	HG00126	h1	type1	1287	pol	pol-env	4129	7990	4130	1	stop_codon	9180	0	historical_source/cluster/HML2_project/orf_analysis_combined/HML-2_10p12.1/HML-2_10p12.1_all_haplotypes_aligned_type1_KCON.fasta
HG00126_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HML-2_10p12.1	HML-2_10p12.1	HG00126	h2	type1	1287	pol	pol-env	4129	7990	4130	1	stop_codon	9180	0	historical_source/cluster/HML2_project/orf_analysis_combined/HML-2_10p12.1/HML-2_10p12.1_all_haplotypes_aligned_type1_KCON.fasta
HG00128_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HML-2_10p12.1	HML-2_10p12.1	HG00128	h1	type1	1287	pol	pol-env	4129	7990	4130	1	stop_codon	9180	0	historical_source/cluster/HML2_project/orf_analysis_combined/HML-2_10p12.1/HML-2_10p12.1_all_haplotypes_aligned_type1_KCON.fasta
HG00128_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HML-2_10p12.1	HML-2_10p12.1	HG00128	h2	type1	1287	pol	pol-env	4129	7990	4130	1	stop_codon	9180	0	historical_source/cluster/HML2_project/orf_analysis_combined/HML-2_10p12.1/HML-2_10p12.1_all_haplotypes_aligned_type1_KCON.fasta
