locus	array	sample	haplotype	copy_count	copy_a	copy_b	region	jointly_called_bases	substitution_differences	p_distance	indel_runs	indel_bases	terminal_gap_bases	transitions
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	1	2	whole_unit	9459	6	0.0006343165239454488	0	0	0	4
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	1	2	internal	7536	0	0.0	0	0	0	0
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	1	2	5p_LTR	961	0	0.0	0	0	0	0
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	1	2	3p_LTR	962	6	0.006237006237006237	0	0	0	4
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	1	2	gag	2001	0	0.0	0	0	0	0
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	1	2	pro	1005	0	0.0	0	0	0	0
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	1	2	pol	2871	0	0.0	0	0	0	0
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	2	1	2	env	2100	0	0.0	0	0	0	0
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	1	2	whole_unit	9459	10	0.001057194206575748	0	0	0	8
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	1	2	internal	7536	4	0.0005307855626326964	0	0	0	4
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	1	2	5p_LTR	961	0	0.0	0	0	0	0
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	1	2	3p_LTR	962	6	0.006237006237006237	0	0	0	4
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	1	2	gag	2001	1	0.0004997501249375312	0	0	0	1
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	1	2	pro	1005	1	0.0009950248756218905	0	0	0	1
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	1	2	pol	2871	2	0.0006966213862765587	0	0	0	2
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	2	1	2	env	2100	1	0.0004761904761904762	0	0	0	1
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	1	2	whole_unit	9459	6	0.0006343165239454488	0	0	0	4
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	1	2	internal	7536	0	0.0	0	0	0	0
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	1	2	5p_LTR	961	0	0.0	0	0	0	0
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	1	2	3p_LTR	962	6	0.006237006237006237	0	0	0	4
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	1	2	gag	2001	0	0.0	0	0	0	0
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	1	2	pro	1005	0	0.0	0	0	0	0
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	1	2	pol	2871	0	0.0	0	0	0	0
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	2	1	2	env	2100	0	0.0	0	0	0	0
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	1	2	whole_unit	9459	7	0.0007400359446030236	0	0	0	5
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	1	2	internal	7536	1	0.0001326963906581741	0	0	0	1
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	1	2	5p_LTR	961	0	0.0	0	0	0	0
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	1	2	3p_LTR	962	6	0.006237006237006237	0	0	0	4
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	1	2	gag	2001	0	0.0	0	0	0	0
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	1	2	pro	1005	0	0.0	0	0	0	0
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	1	2	pol	2871	1	0.00034831069313827936	0	0	0	1
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	2	1	2	env	2100	0	0.0	0	0	0	0
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	1	2	whole_unit	9458	19	0.0020088813702685555	1	1	0	14
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	1	2	internal	7535	11	0.00145985401459854	1	1	0	9
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	1	2	5p_LTR	961	1	0.001040582726326743	0	0	0	1
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	1	2	3p_LTR	962	7	0.007276507276507277	0	0	0	4
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	1	2	gag	2001	4	0.001999000499750125	0	0	0	4
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	1	2	pro	1004	4	0.00398406374501992	1	1	0	3
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	1	2	pol	2871	2	0.0006966213862765587	0	0	0	2
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	2	1	2	env	2100	1	0.0004761904761904762	0	0	0	1
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	1	2	whole_unit	9459	6	0.0006343165239454488	0	0	0	4
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	1	2	internal	7536	0	0.0	0	0	0	0
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	1	2	5p_LTR	961	0	0.0	0	0	0	0
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	1	2	3p_LTR	962	6	0.006237006237006237	0	0	0	4
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	1	2	gag	2001	0	0.0	0	0	0	0
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	1	2	pro	1005	0	0.0	0	0	0	0
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	1	2	pol	2871	0	0.0	0	0	0	0
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	1	2	env	2100	0	0.0	0	0	0	0
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	1	2	whole_unit	9458	19	0.0020088813702685555	1	1	0	14
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	1	2	internal	7535	11	0.00145985401459854	1	1	0	9
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	1	2	5p_LTR	961	1	0.001040582726326743	0	0	0	1
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	1	2	3p_LTR	962	7	0.007276507276507277	0	0	0	4
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	1	2	gag	2001	4	0.001999000499750125	0	0	0	4
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	1	2	pro	1004	4	0.00398406374501992	1	1	0	3
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	1	2	pol	2871	2	0.0006966213862765587	0	0	0	2
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	1	2	env	2100	1	0.0004761904761904762	0	0	0	1
7p22.1	HG00268_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00268	h2	2	1	2	whole_unit	9459	7	0.0007400359446030236	0	0	0	5
