locus_id	frozen_membership_before_type_outcome	origin_family_status	expected_founder_chromosomes	n_type1	n_type2	n_no_call	n_typed	observed_sample_state	primary_precision_n_ge_59	predeclared_low_information_sensitivity	age_source_id	age_join_status	age_relation	insertion_age_lower_mya	insertion_age_point_mya	insertion_age_upper_mya	oldest_allowed_numeric_mya	closed_lower_else_strict_upper_mya	complete_age_primary_included	age_exclusion_reason	direct_type_evidence_sha256	age_authority_sha256	age_join_ledger_sha256
10p12.1	true	accepted_94_locus_frame; no extra family replication	570	427	0	143	427	sampled_fixed_I	true	false	subramanian2011_t1_r042	exact	closed_rate_range	1.61		2.91	2.91	1.61	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
10p14	true	accepted_94_locus_frame; no extra family replication	570	0	444	126	444	sampled_fixed_II	true	false	subramanian2011_t1_r041	exact	closed_rate_range	7.36		13.32	13.32	7.36	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
10q24.2	true	accepted_94_locus_frame; no extra family replication	570	0	443	127	443	sampled_fixed_II	true	false	subramanian2011_t1_r043	exact	not_available						false	subramanian_age_not_available	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
11p15.4	true	accepted_94_locus_frame; no extra family replication	570	0	519	51	519	sampled_fixed_II	true	false	subramanian2011_t1_r044	exact	closed_rate_range	15.44		27.95	27.95	15.44	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
11p15.4b	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
11q12.1	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false	subramanian2011_t1_r045	exact	not_available						false	subramanian_age_not_available	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
11q12.3	true	accepted_94_locus_frame; no extra family replication	570	0	341	229	341	sampled_fixed_II	true	false	subramanian2011_t1_r046	exact	closed_rate_range	19.46		35.24	35.24	19.46	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
11q22.1	true	accepted_94_locus_frame; no extra family replication	570	0	196	374	196	sampled_fixed_II	true	false	subramanian2011_t1_r047	exact	strict_upper_resolution_limit			2	2	2	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
11q23.3	true	accepted_94_locus_frame; no extra family replication	570	523	0	47	523	sampled_fixed_I	true	false	subramanian2011_t1_r048	exact	closed_rate_range	13.35		24.18	24.18	13.35	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
12p11.21	true	accepted_94_locus_frame; no extra family replication	570	0	529	41	529	sampled_fixed_II	true	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
12q13.2	true	accepted_94_locus_frame; no extra family replication	570	237	0	333	237	sampled_fixed_I	true	false	subramanian2011_t1_r050	exact	strict_upper_resolution_limit			2	2	2	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
12q14.1	true	accepted_94_locus_frame; no extra family replication	570	0	255	315	255	sampled_fixed_II	true	false	subramanian2011_t1_r051	exact	strict_upper_resolution_limit			2	2	2	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
12q24.33	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false	subramanian2011_t2_r012	exact	closed_rate_range	7.07		12.81	12.81	7.07	false		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
13p13	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
14q11.2	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false	subramanian2011_t2_r013	exact	closed_rate_range	11.98		21.69	21.69	11.98	false		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
14q32.33	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
15p13a	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
15p13b	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
15q25.2	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false	subramanian2011_t2_r015	exact	not_available						false	subramanian_age_not_available	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
16p11.2	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false	subramanian2011_t1_r053	exact	not_available						false	subramanian_age_not_available	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
17p13.1_hg38	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
19p12a	true	accepted_94_locus_frame; no extra family replication	570	0	491	79	491	sampled_fixed_II	true	false	subramanian2011_t1_r055	exact	closed_rate_range	29.71		53.79	53.79	29.71	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
