region	focal_locus	focal_tip	other_locus	other_tip	patristic_distance	included_in_shared_locus_comparison
LTR	19p12c	19p12c__hap1__n69	12q14.1	12q14.1__hap2__n127	0.0148375479839442	True
LTR	19p12c	19p12c__hap1__n69	12q14.1	12q14.1__hap1__n260	0.0148572804405149	True
LTR	19p12c	19p12c__hap1__n69	3q13.2	3q13.2__hap1__n261	0.0149728716126604	True
LTR	19p12c	19p12c__hap1__n69	3q13.2	3q13.2__hap2__n32	0.0149916038324364	True
LTR	19p12c	19p12c__hap1__n69	8q11.23_new	8q11.23_new__hap1__n465	0.0156836351517499	True
LTR	19p12c	19p12c__hap1__n69	8q11.23_new	8q11.23_new__hap2__n9	0.0167393447883261	True
LTR	19p12c	19p12c__hap1__n69	11q22.1	11q22.1__hap2__n88	0.0179404918082242	True
LTR	19p12c	19p12c__hap1__n69	10p12.1	10p12.1__hap2__n81	0.0180453532771515	True
LTR	19p12c	19p12c__hap1__n69	4q32.1	4q32.1__hap2__n78	0.01805127969103	False
LTR	19p12c	19p12c__hap1__n69	7p22.1	7p22.1__hap1__n93	0.0187079629822816	True
LTR	19p12c	19p12c__hap1__n69	1p31.1b	1p31.1b__hap1__n97	0.0189908019756714	False
LTR	19p12c	19p12c__hap1__n69	1p31.1b	1p31.1b__hap2__n72	0.0189912581995368	False
LTR	19p12c	19p12c__hap1__n69	10p12.1	10p12.1__hap1__n269	0.0190958345979444	True
LTR	19p12c	19p12c__hap1__n69	3q27.2	3q27.2__hap2__n56	0.0191129992221312	True
LTR	19p12c	19p12c__hap1__n69	22q11.21	22q11.21__hap1__n99	0.0192051604098699	True
LTR	19p12c	19p12c__hap1__n69	22q11.21	22q11.21__hap2__n35	0.0192477894335237	True
LTR	19p12c	19p12c__hap1__n69	Xq21.33	Xq21.33__hap1__n3	0.0194117929746418	True
LTR	19p12c	19p12c__hap1__n69	7p22.1	7p22.1__hap2__n81	0.0197420321502647	True
LTR	19p12c	19p12c__hap1__n69	19q12	19q12__hap1__n314	0.0198201972794289	True
LTR	19p12c	19p12c__hap1__n69	3q27.2	3q27.2__hap1__n242	0.0200041287904383	True
LTR	19p12c	19p12c__hap1__n69	4q32.1	4q32.1__hap1__n132	0.0201417328598633	False
LTR	19p12c	19p12c__hap1__n69	6q14.1	6q14.1__hap2__n106	0.0202598502643871	True
LTR	19p12c	19p12c__hap1__n69	11q22.1	11q22.1__hap1__n160	0.0211194558229767	True
LTR	19p12c	19p12c__hap1__n69	6q14.1	6q14.1__hap1__n152	0.0213068704272681	True
LTR	19p12c	19p12c__hap1__n69	12q13.2	12q13.2__hap1__n216	0.0213863126631627	True
LTR	19p12c	19p12c__hap1__n69	12q13.2	12q13.2__hap2__n61	0.0214278833387492	True
LTR	19p12c	19p12c__hap1__n69	8q24.3a	8q24.3a__hap2__n159	0.0219095577814107	False
LTR	19p12c	19p12c__hap1__n69	5q33.3	5q33.3__hap1__n307	0.0225610323345745	True
LTR	19p12c	19p12c__hap1__n69	8q24.3a	8q24.3a__hap1__n174	0.0226930902422277	False
LTR	19p12c	19p12c__hap1__n69	19q12	19q12__hap2__n40	0.0227481203896427	True
LTR	19p12c	19p12c__hap1__n69	19p12b	19p12b__hap1__n57	0.023187936181395	True
LTR	19p12c	19p12c__hap1__n69	8p23.1a_hg38	8p23.1a_hg38__hap1__n25	0.0233612925602666	True
LTR	19p12c	19p12c__hap1__n69	5q33.3	5q33.3__hap2__n53	0.023557844382448	True
LTR	19p12c	19p12c__hap1__n69	16p11.2	16p11.2__hap2__n30	0.0236604774673994	False
LTR	19p12c	19p12c__hap1__n69	1q22	1q22__hap1__n256	0.0237256575118043	True
LTR	19p12c	19p12c__hap1__n69	1q22	1q22__hap2__n40	0.0237331592932682	True
LTR	19p12c	19p12c__hap1__n69	16p11.2	16p11.2__hap1__n315	0.0237447892538167	False
LTR	19p12c	19p12c__hap1__n69	8p23.1a_hg38	8p23.1a_hg38__hap2__n4	0.0240919118207071	True
LTR	19p12c	19p12c__hap1__n69	19p12b	19p12b__hap2__n3	0.024126159632579	True
LTR	19p12c	19p12c__hap1__n69	5p13.3	5p13.3__hap1__n245	0.0268860518373981	True
LTR	19p12c	19p12c__hap1__n69	5p13.3	5p13.3__hap2__n147	0.0287714307581499	True
LTR	19p12c	19p12c__hap1__n69	21q21.1	21q21.1__hap1__n82	0.030112154854987	True
LTR	19p12c	19p12c__hap1__n69	21q21.1	21q21.1__hap2__n31	0.0311676225519977	True
LTR	19p12c	19p12c__hap1__n69	3q21.2	3q21.2__hap1__n194	0.0338057338370677	True
LTR	19p12c	19p12c__hap1__n69	3q21.2	3q21.2__hap2__n63	0.0351216257516194	True
LTR	19p12c	19p12c__hap1__n69	10q24.2	10q24.2__hap2__n114	0.0358265685710221	True
LTR	19p12c	19p12c__hap1__n69	10q24.2	10q24.2__hap1__n189	0.0367326611639874	True
LTR	19p12c	19p12c__hap1__n69	19p12d	19p12d__hap1__n264	0.0383694490021532	False
LTR	19p12c	19p12c__hap1__n69	19p12d	19p12d__hap2__n193	0.0392183816522719	False
LTR	19p12c	19p12c__hap1__n69	11q23.3	11q23.3__hap1__n159	0.0395136513517589	True
LTR	19p12c	19p12c__hap1__n69	19p13.3	19p13.3__hap1__n107	0.0401356383531366	False
LTR	19p12c	19p12c__hap1__n69	11q23.3	11q23.3__hap2__n147	0.0418342417195776	True
LTR	19p12c	19p12c__hap1__n69	2q21.1	2q21.1__hap2__n143	0.0419620474434199	False
LTR	19p12c	19p12c__hap1__n69	19p13.3	19p13.3__hap2__n70	0.042958254395253	False
LTR	19p12c	19p12c__hap1__n69	2q21.1	2q21.1__hap1__n236	0.0430372179554522	False
LTR	19p12c	19p12c__hap1__n69	5q11.2	5q11.2__hap1__n331	0.0437280087068374	False
LTR	19p12c	19p12c__hap1__n69	5q11.2	5q11.2__hap2__n108	0.0448170431195918	False
LTR	19p12c	19p12c__hap1__n69	3q12.3	3q12.3__hap2__n105	0.0472844466894984	True
LTR	19p12c	19p12c__hap1__n69	3q12.3	3q12.3__hap1__n184	0.0476235387109013	True
LTR	19p12c	19p12c__hap1__n69	1q23.3	1q23.3__hap1__n195	0.0502265728126732	True
LTR	19p12c	19p12c__hap1__n69	15p13b	15p13b__hap2__n5	0.0509733992431614	True
LTR	19p12c	19p12c__hap1__n69	1q23.3	1q23.3__hap2__n71	0.0513521215444119	True
LTR	19p12c	19p12c__hap1__n69	15p13b	15p13b__hap1__n9	0.0515491064622465	True
LTR	19p12c	19p12c__hap1__n69	13p13	13p13__hap1__n7	0.0526862537979349	True
LTR	19p12c	19p12c__hap1__n69	13p13	13p13__hap2__n4	0.0559402369685646	True
LTR	19p12c	19p12c__hap1__n69	1p31.1a	1p31.1a__hap1__n173	0.0579245257658196	True
LTR	19p12c	19p12c__hap1__n69	3p25.3	3p25.3__hap1__n279	0.0580111998839544	False
LTR	19p12c	19p12c__hap1__n69	3p25.3	3p25.3__hap2__n49	0.0591032739786071	False
LTR	19p12c	19p12c__hap1__n69	4q32.3	4q32.3__hap1__n157	0.0620426483755741	False
LTR	19p12c	19p12c__hap1__n69	1p31.1a	1p31.1a__hap2__n106	0.0627542814095548	True
