sample_id	sex
HG00096	male
HG00097	female
HG00099	female
HG00126	male
HG00128	female
HG00133	female
HG00140	male
HG00146	female
HG00171	female
HG00232	female
HG00235	female
HG00253	female
HG00268	female
HG00272	female
HG00280	male
HG00290	male
HG00320	female
HG00321	male
HG00323	female
HG00329	male
HG00344	female
HG00350	female
HG00358	male
HG00408	female
HG00423	female
HG00438	female
HG005	unknown
HG00512	male
HG00513	female
HG00514	female
HG00544	female
HG00558	female
HG00597	female
HG00609	male
HG00621	male
HG00639	female
HG00642	male
HG00658	male
HG00673	male
HG00706	male
HG00731	male
HG00732	female
HG00733	female
HG00735	female
HG00738	male
HG00741	female
HG00864	female
HG01071	female
HG01074	male
HG01081	female
HG01099	male
HG01106	male
HG01109	male
HG01114	female
HG01123	female
HG01150	female
HG01167	male
HG01175	female
HG01192	male
HG01243	male
HG01252	male
HG01255	male
HG01258	male
HG01261	male
HG01346	female
HG01352	female
HG01358	male
HG01361	female
HG01433	male
HG01457	male
HG01496	female
HG01505	male
HG01530	male
HG01573	female
HG01596	male
HG01784	female
HG01786	female
HG01884	female
HG01890	male
HG01891	female
HG01928	male
HG01934	male
HG01940	female
HG01943	male
HG01952	male
HG01960	female
HG01969	female
HG01975	female
HG01978	female
HG01981	female
HG01993	female
HG02004	female
HG02011	male
HG02015	male
HG02018	female
HG02027	male
HG02040	male
HG02055	male
HG02056	male
HG02059	female
HG02071	male
HG02074	male
HG02080	female
HG02083	male
HG02106	female
HG02109	unknown
HG02129	male
HG02132	male
HG02135	male
HG02145	male
HG02148	female
HG02155	female
HG02165	female
HG02178	female
HG02257	female
HG02258	male
HG02273	female
HG02280	female
HG02282	female
HG02293	female
HG02300	female
HG02391	male
HG02392	male
HG02451	female
HG02486	male
HG02492	male
HG02514	male
HG02523	female
HG02554	male
HG02559	female
HG02572	male
HG02583	female
HG02587	female
HG02602	male
HG02615	female
HG02622	female
HG02630	female
HG02647	male
HG02666	male
HG02668	male
HG02698	male
HG02717	male
HG02723	female
HG02735	male
HG02738	male
HG02769	female
HG02809	female
HG02818	female
HG02841	female
HG02886	female
HG02922	female
HG02953	male
HG02965	male
HG02976	female
HG02984	male
HG03009	male
HG03017	male
HG03041	female
HG03050	male
HG03065	male
HG03098	male
HG03130	male
HG03139	male
HG03195	female
HG03209	male
HG03225	male
HG03239	female
HG03248	male
HG03270	female
HG03369	female
HG03371	male
HG03452	female
HG03453	female
HG03456	male
HG03470	female
HG03471	male
HG03486	female
HG03516	female
HG03520	female
HG03521	male
HG03540	female
HG03579	male
HG03583	female
HG03654	male
HG03669	female
HG03683	female
HG03688	male
HG03704	female
HG03710	male
HG03732	male
HG03742	male
HG03784	female
HG03804	female
HG03807	female
HG03816	female
HG03831	female
HG03834	female
HG03874	female
HG03927	female
HG03942	male
HG04036	female
HG04115	male
HG04157	male
HG04160	male
HG04184	female
HG04187	male
HG04199	male
HG04204	male
HG04217	female
HG04228	male
HG06807	unknown
NA12329	female
NA18505	female
NA18508	female
NA18522	male
NA18534	male
NA18565	female
NA18570	female
NA18608	male
NA18620	male
NA18747	male
NA18879	male
NA18906	female
NA18939	female
NA18940	male
NA18943	male
NA18944	male
NA18945	male
NA18948	male
NA18952	male
NA18959	male
NA18960	male
NA18967	male
NA18970	male
NA18971	male
NA18974	male
NA18976	female
NA18982	male
NA18983	male
NA18989	male
NA19036	female
NA19043	male
NA19087	female
NA19129	female
NA19159	female
NA19185	female
NA19238	female
NA19239	male
NA19240	female
NA19317	male
NA19331	male
NA19338	female
NA19347	male
NA19384	male
NA19391	female
NA19434	female
NA19443	male
NA19468	female
NA19650	male
NA19682	male
NA19700	male
NA19705	male
NA19776	female
NA19835	female
NA19836	female
NA19909	female
NA19983	female
NA20129	female
NA20282	female
NA20346	male
NA20355	female
NA20503	female
NA20509	male
NA20752	male
NA20762	male
NA20799	female
NA20805	male
NA20806	male
NA20809	male
NA20827	male
NA20847	female
NA20850	male
NA20870	male
NA20905	male
NA21093	male
NA21102	female
NA21106	female
NA21110	female
NA21144	female
NA21309	unknown
NA21487	female
NA24385	male
