window	group	locus_a	locus_b	jointly_called_bases	substitutions	p_distance
B1	Type I	10p12.1	11q23.3	994	32	0.03219315895372234
B1	Type I	10p12.1	12q13.2	1000	17	0.017
B1	Type I	10p12.1	19p12c	1000	14	0.014
B1	Type I	10p12.1	1p31.1a	994	52	0.052313883299798795
B1	Type I	10p12.1	1q22	1000	12	0.012
B1	Type I	10p12.1	1q23.3	989	47	0.047522750252780584
B1	Type I	10p12.1	21q21.1	966	83	0.08592132505175984
B1	Type I	10p12.1	22q11.21	1000	11	0.011
B1	Type I	10p12.1	3q12.3	1000	71	0.071
B1	Type I	10p12.1	3q13.2	1000	16	0.016
B1	Type I	10p12.1	3q27.2	997	14	0.014042126379137413
B1	Type I	10p12.1	5p12	1000	118	0.118
B1	Type I	10p12.1	5q33.3	1000	15	0.015
B1	Type I	10p12.1	8q11.23_new	1000	13	0.013
B1	Type I	11q23.3	12q13.2	994	31	0.03118712273641851
B1	Type I	11q23.3	19p12c	994	36	0.03621730382293763
B1	Type I	11q23.3	1p31.1a	989	50	0.05055611729019211
B1	Type I	11q23.3	1q22	994	30	0.030181086519114688
B1	Type I	11q23.3	1q23.3	984	48	0.04878048780487805
B1	Type I	11q23.3	21q21.1	960	87	0.090625
B1	Type I	11q23.3	22q11.21	994	27	0.02716297786720322
B1	Type I	11q23.3	3q12.3	994	75	0.07545271629778671
B1	Type I	11q23.3	3q13.2	994	34	0.03420523138832998
B1	Type I	11q23.3	3q27.2	991	34	0.034308779011099896
B1	Type I	11q23.3	5p12	994	107	0.10764587525150905
B1	Type I	11q23.3	5q33.3	994	37	0.03722334004024145
B1	Type I	11q23.3	8q11.23_new	994	29	0.029175050301810865
B1	Type I	12q13.2	19p12c	1000	17	0.017
B1	Type I	12q13.2	1p31.1a	994	54	0.05432595573440644
B1	Type I	12q13.2	1q22	1000	17	0.017
B1	Type I	12q13.2	1q23.3	989	50	0.05055611729019211
B1	Type I	12q13.2	21q21.1	966	83	0.08592132505175984
B1	Type I	12q13.2	22q11.21	1000	14	0.014
B1	Type I	12q13.2	3q12.3	1000	73	0.073
B1	Type I	12q13.2	3q13.2	1000	21	0.021
B1	Type I	12q13.2	3q27.2	997	21	0.02106318956870612
B1	Type I	12q13.2	5p12	1000	118	0.118
B1	Type I	12q13.2	5q33.3	1000	18	0.018
B1	Type I	12q13.2	8q11.23_new	1000	18	0.018
B1	Type I	19p12c	1p31.1a	994	54	0.05432595573440644
B1	Type I	19p12c	1q22	1000	14	0.014
B1	Type I	19p12c	1q23.3	989	50	0.05055611729019211
B1	Type I	19p12c	21q21.1	966	84	0.08695652173913043
B1	Type I	19p12c	22q11.21	1000	13	0.013
B1	Type I	19p12c	3q12.3	1000	75	0.075
B1	Type I	19p12c	3q13.2	1000	17	0.017
B1	Type I	19p12c	3q27.2	997	17	0.017051153460381142
B1	Type I	19p12c	5p12	1000	117	0.117
B1	Type I	19p12c	5q33.3	1000	17	0.017
B1	Type I	19p12c	8q11.23_new	1000	17	0.017
B1	Type I	1p31.1a	1q22	994	49	0.04929577464788732
B1	Type I	1p31.1a	1q23.3	989	62	0.06268958543983821
B1	Type I	1p31.1a	21q21.1	960	105	0.109375
B1	Type I	1p31.1a	22q11.21	994	47	0.047283702213279676
B1	Type I	1p31.1a	3q12.3	994	86	0.08651911468812877
B1	Type I	1p31.1a	3q13.2	994	51	0.05130784708249497
B1	Type I	1p31.1a	3q27.2	991	52	0.05247225025227043
B1	Type I	1p31.1a	5p12	994	116	0.11670020120724346
B1	Type I	1p31.1a	5q33.3	994	57	0.05734406438631791
B1	Type I	1p31.1a	8q11.23_new	994	49	0.04929577464788732
B1	Type I	1q22	1q23.3	989	44	0.044489383215369056
B1	Type I	1q22	21q21.1	966	82	0.08488612836438923
B1	Type I	1q22	22q11.21	1000	9	0.009
B1	Type I	1q22	3q12.3	1000	69	0.069
B1	Type I	1q22	3q13.2	1000	7	0.007
B1	Type I	1q22	3q27.2	997	14	0.014042126379137413
B1	Type I	1q22	5p12	1000	114	0.114
B1	Type I	1q22	5q33.3	1000	17	0.017
B1	Type I	1q22	8q11.23_new	1000	17	0.017
B1	Type I	1q23.3	21q21.1	955	104	0.10890052356020942
B1	Type I	1q23.3	22q11.21	989	43	0.043478260869565216
B1	Type I	1q23.3	3q12.3	989	92	0.09302325581395349
B1	Type I	1q23.3	3q13.2	989	49	0.04954499494438827
B1	Type I	1q23.3	3q27.2	989	44	0.044489383215369056
B1	Type I	1q23.3	5p12	989	124	0.12537917087967643
B1	Type I	1q23.3	5q33.3	989	52	0.0525783619817998
B1	Type I	1q23.3	8q11.23_new	989	43	0.043478260869565216
B1	Type I	21q21.1	22q11.21	966	78	0.08074534161490683
B1	Type I	21q21.1	3q12.3	966	125	0.12939958592132506
B1	Type I	21q21.1	3q13.2	966	87	0.09006211180124224
B1	Type I	21q21.1	3q27.2	963	82	0.08515057113187954
B1	Type I	21q21.1	5p12	966	161	0.16666666666666666
B1	Type I	21q21.1	5q33.3	966	89	0.09213250517598344
B1	Type I	21q21.1	8q11.23_new	966	80	0.08281573498964803
B1	Type I	22q11.21	3q12.3	1000	67	0.067
B1	Type I	22q11.21	3q13.2	1000	14	0.014
B1	Type I	22q11.21	3q27.2	997	14	0.014042126379137413
B1	Type I	22q11.21	5p12	1000	113	0.113
B1	Type I	22q11.21	5q33.3	1000	18	0.018
B1	Type I	22q11.21	8q11.23_new	1000	14	0.014
B1	Type I	3q12.3	3q13.2	1000	75	0.075
B1	Type I	3q12.3	3q27.2	997	71	0.0712136409227683
B1	Type I	3q12.3	5p12	1000	141	0.141
B1	Type I	3q12.3	5q33.3	1000	76	0.076
B1	Type I	3q12.3	8q11.23_new	1000	68	0.068
B1	Type I	3q13.2	3q27.2	997	17	0.017051153460381142
B1	Type I	3q13.2	5p12	1000	115	0.115
B1	Type I	3q13.2	5q33.3	1000	23	0.023
B1	Type I	3q13.2	8q11.23_new	1000	21	0.021
B1	Type I	3q27.2	5p12	997	113	0.11334002006018054
B1	Type I	3q27.2	5q33.3	997	22	0.022066198595787363
B1	Type I	3q27.2	8q11.23_new	997	18	0.01805416248746239
B1	Type I	5p12	5q33.3	1000	121	0.121
B1	Type I	5p12	8q11.23_new	1000	117	0.117
B1	Type I	5q33.3	8q11.23_new	1000	16	0.016
B1	Type II all	10p14	10q24.2	987	56	0.05673758865248227
B1	Type II all	10p14	11p15.4	959	206	0.21480709071949947
B1	Type II all	10p14	11q12.3	966	108	0.11180124223602485
B1	Type II all	10p14	11q22.1	987	50	0.05065856129685917
B1	Type II all	10p14	12q14.1	987	54	0.0547112462006079
B1	Type II all	10p14	19p12a	966	115	0.11904761904761904
B1	Type II all	10p14	19p12b	987	49	0.04964539007092199
B1	Type II all	10p14	19q12	987	53	0.05369807497467072
B1	Type II all	10p14	19q13.12b	971	118	0.121524201853759
B1	Type II all	10p14	1p36.21b	968	192	0.19834710743801653
B1	Type II all	10p14	1p36.21c	968	195	0.20144628099173553
B1	Type II all	10p14	3p12.3	936	203	0.2168803418803419
B1	Type II all	10p14	3q21.2	987	58	0.05876393110435663
B1	Type II all	10p14	4p16.1a	963	212	0.2201453790238837
B1	Type II all	10p14	4p16.1b	962	210	0.2182952182952183
B1	Type II all	10p14	4p16.3c	961	207	0.2154006243496358
B1	Type II all	10p14	5p13.3	987	55	0.05572441742654509
B1	Type II all	10p14	5q33.2	970	195	0.20103092783505155
B1	Type II all	10p14	6p21.1	966	184	0.19047619047619047
B1	Type II all	10p14	6p22.1	976	118	0.12090163934426229
B1	Type II all	10p14	6q14.1	987	51	0.05167173252279635
B1	Type II all	10p14	7p22.1	987	52	0.05268490374873354
B1	Type II all	10p14	8p23.1a_hg38	987	49	0.04964539007092199
B1	Type II all	10p14	8p23.1b	963	208	0.21599169262720663
B1	Type II all	10p14	8p23.1c	960	207	0.215625
B1	Type II all	10p14	8p23.1d	963	208	0.21599169262720663
B1	Type II all	10p14	8p23.1e	963	210	0.21806853582554517
B1	Type II all	10p14	Xq21.33	987	47	0.047619047619047616
B1	Type II all	10q24.2	11p15.4	971	201	0.2070030895983522
B1	Type II all	10q24.2	11q12.3	978	104	0.10633946830265849
B1	Type II all	10q24.2	11q22.1	1000	29	0.029
B1	Type II all	10q24.2	12q14.1	1000	33	0.033
B1	Type II all	10q24.2	19p12a	977	118	0.12077789150460594
B1	Type II all	10q24.2	19p12b	1000	29	0.029
B1	Type II all	10q24.2	19q12	1000	32	0.032
B1	Type II all	10q24.2	19q13.12b	983	117	0.1190233977619532
B1	Type II all	10q24.2	1p36.21b	980	192	0.19591836734693877
B1	Type II all	10q24.2	1p36.21c	980	191	0.19489795918367347
