hypothesis	locus	absent_probability	callable_endpoints	direct_type	expressed_gag_capsid_opportunity	insertion_carrier_probability	ltr_subfamily	median_fst_conditional	median_superpopulation_gap	propagation_sequence_composite	provirus_carrier_probability	representative_contrasts	solo_fraction_among_present
H1_lower_host_cost	10p12.1	0.0		TypeI		1.0	LTR5Hs				0.957191780822		0.04280821917808219
H1_lower_host_cost	10p14	0.0017123287671232876		TypeII		0.998287671233	LTR5Hs				0.996575342466		0.0017152658662092624
H1_lower_host_cost	10q24.2	0.0		TypeII		1.0	LTR5Hs				0.996575342466		0.0
H1_lower_host_cost	11p15.4	0.018835616438356163		TypeII		0.981164383562	LTR5A				0.981164383562		0.0
H1_lower_host_cost	11q12.3	0.003424657534246575		TypeII		0.996575342466	LTR5Hs				0.650684931507		0.0
H1_lower_host_cost	11q22.1	0.1095890410958904		TypeII		0.890410958904	LTR5Hs				0.369863013699		0.5846153846153846
H1_lower_host_cost	11q23.3	0.0		TypeI		1.0	LTR5Hs				0.984589041096		0.015410958904109588
H1_lower_host_cost	12p11.21	0.0		TypeII		1.0	LTR5A				1.0		0.0
H1_lower_host_cost	12q13.2	0.3339041095890411		TypeI		0.666095890411	LTR5Hs				0.443493150685		0.3341902313624679
H1_lower_host_cost	12q14.1	0.003424657534246575		TypeII		0.996575342466	LTR5Hs				0.470890410959		0.5274914089347079
H1_lower_host_cost	19p12a	0.0		TypeII		1.0	LTR5B				1.0		0.0
H1_lower_host_cost	19p12b	0.8647260273972602		TypeII		0.135273972603	LTR5Hs				0.135273972603		0.0
H1_lower_host_cost	19p12c	0.5462328767123288		TypeI		0.453767123288	LTR5Hs				0.453767123288		0.0
H1_lower_host_cost	19p12e	0.0		TypeI		1.0	LTR5Hs				0.0		0.003424657534246575
H1_lower_host_cost	19q12	0.0017123287671232876		TypeII		0.998287671233	LTR5Hs				0.998287671233		0.0
H1_lower_host_cost	19q13.12a	0.0		TypeII		1.0	LTR5Hs				0.0		0.0
H1_lower_host_cost	19q13.12b	0.003424657534246575		TypeII		0.996575342466	LTR5Hs				0.996575342466		0.0
H1_lower_host_cost	19q13.41	0.0017123287671232876		TypeII		0.998287671233	LTR5B				0.0		0.0
H1_lower_host_cost	19q13.42	0.0017123287671232876		TypeII		0.998287671233	LTR5B				0.0		0.0
H1_lower_host_cost	1p31.1a	0.0		TypeI		1.0	LTR5Hs				0.897260273973		0.10273972602739725
H1_lower_host_cost	1p31.1b	0.0		TypeI		1.0	LTR5Hs				0.0		0.803082191780822
H1_lower_host_cost	1p34.3	0.0		TypeII		1.0	LTR5Hs				0.0		0.0
H1_lower_host_cost	1p36.21b	0.04452054794520548		TypeII		0.955479452055	LTR5B				0.955479452055		0.0
H1_lower_host_cost	1p36.21c	0.0136986301369863		TypeII		0.986301369863	LTR5B				0.986301369863		0.0
H1_lower_host_cost	1q22	0.0		TypeI		1.0	LTR5Hs				0.994863013699		0.005136986301369863
H1_lower_host_cost	1q23.3	0.0		TypeI		1.0	LTR5Hs				1.0		0.0
H1_lower_host_cost	1q24.1	0.0017123287671232876		TypeII		0.998287671233	LTR5B				0.0		0.0
H1_lower_host_cost	1q32.2	0.0		TypeI		1.0	LTR5Hs				0.0		0.0
H1_lower_host_cost	21q21.1	0.0		TypeI		1.0	LTR5Hs				0.998287671233		0.0017123287671232876
H1_lower_host_cost	22q11.21	0.010273972602739725		TypeI		0.989726027397	LTR5Hs				0.946917808219		0.04325259515570934
H1_lower_host_cost	3p12.3	0.017123287671232876		TypeII		0.982876712329	LTR5A				0.982876712329		0.0
H1_lower_host_cost	3p25.3	0.0		TypeI		1.0	LTR5Hs				0.0		0.0
H1_lower_host_cost	3q12.3	0.0		TypeI		1.0	LTR5Hs				0.981164383562		0.018835616438356163
H1_lower_host_cost	3q13.2	0.0		TypeI		1.0	LTR5Hs				0.904109589041		0.0958904109589041
H1_lower_host_cost	3q21.2	0.0017123287671232876		TypeII		0.998287671233	LTR5Hs				0.998287671233		0.0
H1_lower_host_cost	3q27.2	0.0		TypeI		1.0	LTR5Hs				0.96404109589		0.03595890410958904
H1_lower_host_cost	4p16.1a	0.005136986301369863		TypeII		0.994863013699	LTR5A				0.912671232877		0.0
H1_lower_host_cost	4p16.1b	0.003424657534246575		TypeII		0.996575342466	LTR5A				0.996575342466		0.0
H1_lower_host_cost	4p16.3a	0.773972602739726		TypeII		0.22602739726					0.0		0.08333333333333333
H1_lower_host_cost	4p16.3c	0.0017123287671232876		TypeII		0.998287671233	LTR5A				0.998287671233		0.0
H1_lower_host_cost	4q13.2	0.4623287671232877		TypeII		0.537671232877	LTR5A				0.0		0.0
H1_lower_host_cost	4q32.3	0.0		TypeI		1.0	LTR5Hs				0.0		0.0
H1_lower_host_cost	4q35.2_hg38	0.6866438356164384		TypeII		0.313356164384	LTR5A				0.0		0.0
H1_lower_host_cost	5p12	0.00684931506849315		TypeI		0.993150684932	LTR5Hs				0.993150684932		0.0
H1_lower_host_cost	5p13.3	0.0		TypeII		1.0	LTR5Hs				0.986301369863		0.0136986301369863
H1_lower_host_cost	5q33.2	0.010273972602739725		TypeII		0.989726027397	LTR5A				0.989726027397		0.0
H1_lower_host_cost	5q33.3	0.0017123287671232876		TypeI		0.998287671233	LTR5Hs				0.952054794521		0.04631217838765009
H1_lower_host_cost	6p21.1	0.0		TypeII		1.0	LTR5B				1.0		0.0
H1_lower_host_cost	6p22.1	0.0		TypeII		1.0	LTR5Hs				1.0		0.0
H1_lower_host_cost	6q14.1	0.008561643835616438		TypeII		0.991438356164	LTR5Hs				0.832191780822		0.16062176165803108
H1_lower_host_cost	7p22.1	0.0		TypeII		1.0	LTR5Hs				0.996575342466		0.003424657534246575
H1_lower_host_cost	7q11.21	0.0		TypeII		1.0	LTR5B				0.0		0.003424657534246575
H1_lower_host_cost	8p22	0.0		TypeII		1.0	not_applicable				0.993150684932		0.0
H1_lower_host_cost	8p23.1a_hg38	0.928082191780822		TypeII		0.0719178082192	LTR5Hs				0.0719178082192		0.0
