query	locus	gene	length	sha256	ID_Full	Source_Identifier	oriented_source_start	source_strand
q5927	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00096_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00096#2#haplotype2-0000123#0:151366010-151405824	1728	+
q5928	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00099_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG00099#2#JBHDWP010000001.1:102140674-102148333	4054	+
q5929	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00146_hap1_hprc_r2_v1.0.1_HML-2_Xq28a	HG00146#1#JBHIKO010000007.1:154020135-154027794	4054	+
q5930	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00146_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG00146#2#CM090044.1:153796055-153803717	4057	+
q5931	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00171_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00171#1#haplotype1-0000001#0:152431294-152471124	4054	+
q5932	Xq28a	env	2110	0869657cc2aebb9e4c4b01e7ea9f433c43aa880c68b48a9e1c496726c7893fc8	HG00171_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00171#2#haplotype2-0000138#0:151283061-151322874	1728	+
q5933	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00253_hap1_hprc_r2_v1.0.1_HML-2_Xq28a	HG00253#1#CM094468.1:154299071-154306732	4056	+
q5934	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00268_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00268#1#haplotype1-0000008#0:1414179-1453991	1728	+
q5935	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00268_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00268#2#haplotype2-0000055#0:755645-795466	1728	+
q5936	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00272_hap1_hprc_r2_v1.0.1_HML-2_Xq28a	HG00272#1#JBIRDN010000009.1:66129839-66137500	4056	+
q5937	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00272_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG00272#2#JBIRDO010000040.1:1423555-1431217	4057	+
q5938	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00290_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG00290#2#CM090012.1:153758292-153765954	4057	+
q5939	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00320_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG00320#2#CM089977.1:153049161-153056822	4056	+
q5940	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00321_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG00321#2#JBHIIZ010000015.1:7719385-7727044	4054	+
q5941	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00329_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG00329#2#JBIRDQ010000045.1:97784721-97792380	4054	+
q5942	Xq28a	env	2110	0869657cc2aebb9e4c4b01e7ea9f433c43aa880c68b48a9e1c496726c7893fc8	HG00358_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00358#2#haplotype2-0000099#0:1418409-1458221	1728	+
q5943	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00438_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG00438#2#JAHBCA020000051.1:91617368-91625027	4054	+
q5944	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00512_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00512#2#haplotype2-0000269#0:1408485-1448298	4054	+
q5945	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00513_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00513#1#haplotype1-0000004#0:1411996-1451807	1728	+
q5946	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00513_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00513#2#haplotype2-0000091#0:1420619-1460434	1728	+
q5947	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00514_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00514#1#haplotype1-0000023#0:51571369-51611180	1728	+
q5948	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00514_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00514#2#haplotype2-0000148#0:1130168-1169983	4055	+
q5949	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00544_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HG00544#1#CM089382.1:152544321-152551982	4056	+
q5950	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00558_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HG00558#1#CM088504.1:152344603-152352265	4057	+
q5951	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00731_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00731#1#haplotype1-0000002#0:38611675-38651487	1728	+
q5952	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00732_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00732#2#haplotype2-0000113#0:764563-804381	1728	+
q5953	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00864_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00864#1#haplotype1-0000004#0:18776750-18816567	4057	+
q5954	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG00864_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG00864#2#haplotype2-0000080#0:1408093-1447906	4054	+
q5955	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01106_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01106#2#JAHAMB020000021.1:13578799-13586460	4056	+
q5956	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01109_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01109#2#JAHEOZ020000019.1:7752073-7759732	4054	+
