ID_Full	Locus	orig_Locus	ID	Haplotype	type	longest_ATG_ORF_aa	start_gene	genes_spanned	start_nt0	end_nt0	start_KCON_nt0	frame0	end_reason	sequence_bases	noncanonical_bases	alignment_path
HG03065_h2_HML-2_8p23.1b_graph_hgsvc3_linked_recovery	HML-2_8p23.1b	HML-2_8p23.1b	HG03065	h2	type2	423	gag	gag	1170	2439	1111	0	stop_codon	9519	0	historical_source/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/orf_analysis/HML-2_8p23.1b/HML-2_8p23.1b_all_haplotypes_aligned_type2_KCON.fasta
NA19129_h2_HML-2_8p23.1b_graph_hgsvc3_linked_recovery	HML-2_8p23.1b	HML-2_8p23.1b	NA19129	h2	type2	423	gag	gag	1170	2439	1111	0	stop_codon	9520	0	historical_source/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/orf_analysis/HML-2_8p23.1b/HML-2_8p23.1b_all_haplotypes_aligned_type2_KCON.fasta
NA19331_h1_HML-2_8p23.1b_graph_hgsvc3_linked_recovery	HML-2_8p23.1b	HML-2_8p23.1b	NA19331	h1	type2	423	gag	gag	1170	2439	1111	0	stop_codon	9519	0	historical_source/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/orf_analysis/HML-2_8p23.1b/HML-2_8p23.1b_all_haplotypes_aligned_type2_KCON.fasta
NA21487_h1_HML-2_8p23.1b_graph_hgsvc3_linked_recovery	HML-2_8p23.1b	HML-2_8p23.1b	NA21487	h1	type2	423	gag	gag	1170	2439	1111	0	stop_codon	9521	0	historical_source/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/orf_analysis/HML-2_8p23.1b/HML-2_8p23.1b_all_haplotypes_aligned_type2_KCON.fasta
HG00732_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HML-2_8p23.1c	HML-2_8p23.1c	HG00732	h1	type2	422	gag	gag	1169	2435	1111	2	stop_codon	9521	0	historical_source/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/orf_analysis/HML-2_8p23.1c/HML-2_8p23.1c_all_haplotypes_aligned_type2_KCON.fasta
HG01457_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HML-2_8p23.1c	HML-2_8p23.1c	HG01457	h2	type2	422	gag	gag	1170	2436	1111	0	stop_codon	9522	0	historical_source/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/orf_analysis/HML-2_8p23.1c/HML-2_8p23.1c_all_haplotypes_aligned_type2_KCON.fasta
HG02282_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HML-2_8p23.1c	HML-2_8p23.1c	HG02282	h1	type2	422	gag	gag	1169	2435	1111	2	stop_codon	9522	0	historical_source/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/orf_analysis/HML-2_8p23.1c/HML-2_8p23.1c_all_haplotypes_aligned_type2_KCON.fasta
HG02666_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HML-2_8p23.1c	HML-2_8p23.1c	HG02666	h2	type2	422	gag	gag	1169	2435	1111	2	stop_codon	9521	0	historical_source/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/orf_analysis/HML-2_8p23.1c/HML-2_8p23.1c_all_haplotypes_aligned_type2_KCON.fasta
HG02769_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HML-2_8p23.1c	HML-2_8p23.1c	HG02769	h1	type2	422	gag	gag	1169	2435	1111	2	stop_codon	9522	0	historical_source/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/orf_analysis/HML-2_8p23.1c/HML-2_8p23.1c_all_haplotypes_aligned_type2_KCON.fasta
HG02953_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HML-2_8p23.1c	HML-2_8p23.1c	HG02953	h2	type2	422	gag	gag	1169	2435	1111	2	stop_codon	9522	0	historical_source/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/orf_analysis/HML-2_8p23.1c/HML-2_8p23.1c_all_haplotypes_aligned_type2_KCON.fasta
