locus	region	arrays	copies	arrays_with_substitutions	arrays_with_indels	pair_comparisons	min_substitutions	median_substitutions	max_substitutions	min_callable	max_callable	mean_array_p_distance	median_array_p_distance	pooled_pairwise_p_distance
10p12.1	whole_unit	1	2	1	0	1	2	2.0	2	9167	9167	0.00021817388458601506	0.00021817388458601506	0.00021817388458601506
10p12.1	internal	1	2	0	0	1	0	0.0	0	7244	7244	0.0	0.0	0.0
10p12.1	5p_LTR	1	2	0	0	1	0	0.0	0	961	961	0.0	0.0	0.0
10p12.1	3p_LTR	1	2	1	0	1	2	2.0	2	962	962	0.002079002079002079	0.002079002079002079	0.002079002079002079
10p12.1	gag	1	2	0	0	1	0	0.0	0	2001	2001	0.0	0.0	0.0
10p12.1	pro	1	2	0	0	1	0	0.0	0	1005	1005	0.0	0.0	0.0
10p12.1	pol	1	2	0	0	1	0	0.0	0	2623	2623	0.0	0.0	0.0
10p12.1	env	1	2	0	0	1	0	0.0	0	1809	1809	0.0	0.0	0.0
11q22.1	whole_unit	3	6	3	0	3	1	2.0	2	9459	9459	0.0001761990344292913	0.0002114388413151496	0.00017619903442929133
11q22.1	internal	3	6	0	0	3	0	0.0	0	7536	7536	0.0	0.0	0.0
11q22.1	5p_LTR	3	6	2	0	3	0	1.0	1	961	961	0.0006937218175511621	0.001040582726326743	0.000693721817551162
11q22.1	3p_LTR	3	6	3	0	3	1	1.0	1	962	962	0.0010395010395010396	0.0010395010395010396	0.0010395010395010396
11q22.1	gag	3	6	0	0	3	0	0.0	0	2001	2001	0.0	0.0	0.0
11q22.1	pro	3	6	0	0	3	0	0.0	0	1005	1005	0.0	0.0	0.0
11q22.1	pol	3	6	0	0	3	0	0.0	0	2871	2871	0.0	0.0	0.0
11q22.1	env	3	6	0	0	3	0	0.0	0	2100	2100	0.0	0.0	0.0
11q23.3	whole_unit	1	2	1	0	1	2	2.0	2	9132	9132	0.0002190100744634253	0.0002190100744634253	0.0002190100744634253
11q23.3	internal	1	2	1	0	1	1	1.0	1	7224	7224	0.00013842746400885935	0.00013842746400885935	0.00013842746400885935
11q23.3	5p_LTR	1	2	1	0	1	1	1.0	1	961	961	0.001040582726326743	0.001040582726326743	0.001040582726326743
11q23.3	3p_LTR	1	2	0	0	1	0	0.0	0	947	947	0.0	0.0	0.0
