locus	sample	region	body_start	body_end	body_median_all	flank_median_all	diploid_cov_all	hapcopies_all	hap_class	hapcopies_dedup	nucfreq_total_sites	nucfreq_het_sites	nucfreq_het_frac	nucfreq_mean_alt_depth	nucfreq_available	sample_ref_cov	low_baseline	called_cn
HML-2_10p12.1	HG03816	1	26896311	26907476	75.0000	73.0000	73.0000	2.0548	diploid	2.0606	11166	27	0.0024	31.3704	True	76.5000	False	3
HML-2_10p12.1	HG03816	2	26904523	26915688	58.0000	80.0000	80.0000	1.4500	haploid	1.4167	11166	14	0.0013	18.6429	True	76.5000	False	3
HML-2_11q12.3	HG03654	1	61659625	61676044	47.0000	48.0000	48.0000	1.9583	diploid	1.8571	16420	55	0.0033	9.1818	True	50.0000	False	3
HML-2_11q12.3	HG03654	2	61678257	61694676	54.0000	52.0000	52.0000	2.0769	diploid	1.9556	16420	51	0.0031	11.8431	True	50.0000	False	3
HML-2_11q22.1	HG02647	1	101733580	101745037	39.0000	39.0000	39.0000	2.0000	diploid	2.1250	11458	34	0.0030	11.0000	True	38.5000	False	3
HML-2_11q22.1	HG02647	2	101742084	101753541	31.0000	38.0000	38.0000	1.6316	diploid	1.6364	11458	36	0.0031	6.3889	True	38.5000	False	3
HML-2_11q22.1	NA19338	1	101041929	101053386	34.0000	63.0000	63.0000	1.0794	haploid	1.1321	11458	24	0.0021	11.2083	True	52.0000	False	3
HML-2_11q22.1	NA19338	2	101050433	101061890	35.0000	67.0000	67.0000	1.0448	haploid	1.0714	11458	21	0.0018	10.6667	True	52.0000	False	3
HML-2_11q23.3	HG03704	1	121054963	121066093	82.0000	87.0000	87.0000	1.8851	diploid	1.8108	11131	26	0.0023	26.2308	True	87.0000	False	3
HML-2_11q23.3	HG03704	2	121063155	121074285	66.0000	87.0000	87.0000	1.5172	haploid	1.4545	11131	19	0.0017	16.5263	True	87.0000	False	3
HML-2_12q14.1	HG04157	1	58119994	58131431	62.0000	95.0000	95.0000	1.3053	haploid	1.2927	11438	33	0.0029	17.5152	True	28.0000	False	3
HML-2_12q14.1	HG04157	2	58128478	58139915	91.0000	91.0000	91.0000	2.0000	diploid	2.0800	11438	39	0.0034	34.0256	True	28.0000	False	3
HML-2_12q24.33	HG01081	1	133224556	133232076	123.0000	116.0000	116.0000	2.1207	diploid	2.1132	7521	28	0.0037	56.9643	True	118.5000	False	3
HML-2_12q24.33	HG01081	2	133229490	133237009	73.0000	121.0000	121.0000	1.2066	haploid	1.2252	7520	6	0.0008	46.8333	True	118.5000	False	3
HML-2_12q24.33	HG01175	1	133290659	133298178	81.0000	73.0000	73.0000	2.2192	diploid	2.1212	7520	12	0.0016	28.5000	True	76.5000	False	3
HML-2_12q24.33	HG01175	2	133295593	133303111	49.0000	80.0000	80.0000	1.2250	haploid	1.2676	7519	11	0.0015	16.0000	True	76.5000	False	3
HML-2_12q24.33	HG01255	1	133311587	133319106	58.0000	85.0000	85.0000	1.3647	haploid	1.3684	7520	10	0.0013	24.5000	True	62.0000	False	3
HML-2_12q24.33	HG01255	2	133316521	133324039	85.0000	80.0000	80.0000	2.1250	diploid	2.0822	7519	7	0.0009	32.0000	True	62.0000	False	3
HML-2_12q24.33	HG02155	1	10445330	10452850	46.0000	83.0000	83.0000	1.1084	haploid	1.1351	7521	17	0.0023	16.1176	True	82.0000	False	3
HML-2_12q24.33	HG02155	2	10450265	10457785	78.0000	81.0000	81.0000	1.9259	diploid	1.9167	7521	16	0.0021	27.3125	True	82.0000	False	3
HML-2_12q24.33	HG02818	1	133516312	133523832	46.0000	63.0000	63.0000	1.4603	haploid	1.3333	7521	15	0.0020	11.1333	True	46.0000	False	3
HML-2_12q24.33	HG02818	2	133521247	133528767	63.0000	60.0000	60.0000	2.1000	diploid	2.0769	7521	8	0.0011	17.5000	True	46.0000	False	3
HML-2_12q24.33	HG03470	1	133649401	133656921	68.0000	33.0000	33.0000	4.1212	diploid	3.5625	7521	20	0.0027	23.5000	True	63.5000	False	5
HML-2_12q24.33	HG03470	2	133654336	133661856	31.0000	67.0000	67.0000	0.9254	haploid	0.9818	7521	14	0.0019	7.2857	True	63.5000	False	5
HML-2_12q24.33	HG03470	3	133659271	133666791	30.0000	66.0000	66.0000	0.9091	haploid	0.9455	7521	15	0.0020	5.5333	True	63.5000	False	5
HML-2_12q24.33	HG03470	4	133664206	133671726	32.0000	61.0000	61.0000	1.0492	haploid	1.1200	7521	16	0.0021	10.2500	True	63.5000	False	5
HML-2_12q24.33	NA20850	1	133880615	133888133	54.0000	61.0000	61.0000	1.7705	diploid	1.6667	7519	23	0.0031	14.9130	True	51.0000	False	3
HML-2_12q24.33	NA20850	2	133885548	133893066	61.0000	58.0000	58.0000	2.1034	diploid	2.0784	7519	26	0.0035	22.7692	True	51.0000	False	3
HML-2_13p13	HG00099	1	2906685	2915950	27.0000	29.0000	29.0000	1.8621	diploid	2.0000	9266	14	0.0015	4.7857	True	40.0000	False	4
HML-2_13p13	HG00099	2	2917340	2926558	47.0000	43.0000	43.0000	2.1860	diploid	2.2632	9219	4	0.0004	11.0000	True	40.0000	False	4
HML-2_13p13	HG00099	3	2897789	2907052	42.0000	38.0000	38.0000	2.2105	diploid	2.1765	9264	9	0.0010	7.8889	True	40.0000	False	4
HML-2_13p13	HG00133	1	3740709	3749971	40.0000	39.0000	39.0000	2.0513	diploid	2.1250	9263	1	0.0001	7.0000	True	39.0000	False	3
