alignment	record	original_locus	locus	sample	haplotype	newly_admitted	candidate_source_count	ID_Full	Source_Identifier	source_binding_basis	copy_suffixed_record	physical_locus_changed_from_extraction	aligned_canonical_bases	aligned_sequence_sha256
10p12.1_carrier_kcon.aln.fa	HG00096_h1	10p12.1	10p12.1	HG00096	h1	0	1	HG00096_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00096#1#haplotype1-0000025#0:26914662-26954078	unique_original_catalog_slot	0	0	9165	a715c76418b76f0ba1bc427bdc80b630aca6bd367851ed4abfe43ba938a3be77
10p12.1_carrier_kcon.aln.fa	HG00096_h2	10p12.1	10p12.1	HG00096	h2	0	1	HG00096_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00096#2#haplotype2-0000118#0:26911886-26951300	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00097_hap1	10p12.1	10p12.1	HG00097	h1	0	1	HG00097_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00097#1#CM094066.1:26932097-26942463	unique_original_catalog_slot	0	0	9166	47e8f75ec102fe7b632c3a2228382c45ebfbeacdeb0d5b897452719355fe03eb
10p12.1_carrier_kcon.aln.fa	HG00097_hap2	10p12.1	10p12.1	HG00097	h2	0	1	HG00097_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00097#2#CM094081.1:26901849-26912215	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00099_hap1	10p12.1	10p12.1	HG00099	h1	0	1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00099#1#CM087321.1:26915200-26925566	unique_original_catalog_slot	0	0	9166	7b31f0a1f17ec4554ca8104f96a9cfbc82f211f30f5f00ad2b6f22e875b5cf71
10p12.1_carrier_kcon.aln.fa	HG00099_hap2	10p12.1	10p12.1	HG00099	h2	0	1	HG00099_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00099#2#CM087365.1:26901921-26912287	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00126_hap2	10p12.1	10p12.1	HG00126	h2	0	1	HG00126_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00126#2#CM090128.1:26900015-26910381	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00128_hap1	10p12.1	10p12.1	HG00128	h1	0	1	HG00128_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00128#1#CM090084.1:26896890-26907256	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00128_hap2	10p12.1	10p12.1	HG00128	h2	0	1	HG00128_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00128#2#CM090099.1:26913379-26923745	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00133_hap2	10p12.1	10p12.1	HG00133	h2	0	1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00133#2#CM090068.1:26904142-26914508	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00140_hap1	10p12.1	10p12.1	HG00140	h1	0	1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00140#1#CM087115.1:26918248-26928614	unique_original_catalog_slot	0	0	9166	6f030aed5e230c7e1c610f5cfa46e55348342497b08952ffbf0dbdf00f99bb88
10p12.1_carrier_kcon.aln.fa	HG00140_hap2	10p12.1	10p12.1	HG00140	h2	0	1	HG00140_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00140#2#CM087140.1:26907083-26917449	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00146_hap2	10p12.1	10p12.1	HG00146	h2	0	1	HG00146_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00146#2#CM090038.1:26920328-26930694	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00171_h1	10p12.1	10p12.1	HG00171	h1	0	1	HG00171_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00171#1#haplotype1-0000034#0:26866243-26905650	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00171_h2	10p12.1	10p12.1	HG00171	h2	0	1	HG00171_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00171#2#haplotype2-0000170#0:26911029-26950442	unique_original_catalog_slot	0	0	9166	ccd8fadf337d6beb911357799b28c304acb87efa8de2722c16c4105d7a1073db
10p12.1_carrier_kcon.aln.fa	HG00235_hap2	10p12.1	10p12.1	HG00235	h2	0	1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00235#2#CM094400.1:26891689-26902055	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00253_hap1	10p12.1	10p12.1	HG00253	h1	0	1	HG00253_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00253#1#CM094463.1:26910912-26921278	unique_original_catalog_slot	0	0	9166	6f030aed5e230c7e1c610f5cfa46e55348342497b08952ffbf0dbdf00f99bb88
10p12.1_carrier_kcon.aln.fa	HG00253_hap2	10p12.1	10p12.1	HG00253	h2	0	1	HG00253_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00253#2#CM094485.1:26928427-26938793	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00268_h1	10p12.1	10p12.1	HG00268	h1	0	1	HG00268_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00268#1#haplotype1-0000011#0:26418812-26458219	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00268_h2	10p12.1	10p12.1	HG00268	h2	0	1	HG00268_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00268#2#haplotype2-0000058#0:26411376-26450783	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00272_hap1	10p12.1	10p12.1	HG00272	h1	0	1	HG00272_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00272#1#CM094193.1:26904449-26914815	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00272_hap2	10p12.1	10p12.1	HG00272	h2	0	1	HG00272_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00272#2#CM094220.1:26877302-26887668	unique_original_catalog_slot	0	0	9166	160c36ba77dc0bf0390ce2511a245f67a04135ee9fdd17015b0a9048bce16874
10p12.1_carrier_kcon.aln.fa	HG00280_hap1	10p12.1	10p12.1	HG00280	h1	0	1	HG00280_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00280#1#CM087153.1:26897186-26907552	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00280_hap2	10p12.1	10p12.1	HG00280	h2	0	1	HG00280_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00280#2#CM087164.1:26908008-26918374	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00320_hap2	10p12.1	10p12.1	HG00320	h2	0	1	HG00320_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00320#2#CM089969.1:26901818-26912184	unique_original_catalog_slot	0	0	9166	2d676e78234ac49604dc6e6b2743904af9f268c6b7cc69c52a1543393b290170
10p12.1_carrier_kcon.aln.fa	HG00321_hap1	10p12.1	10p12.1	HG00321	h1	0	1	HG00321_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00321#1#CM089545.1:26918842-26929208	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
