locus	ID_Full	sequence_id	source_file_sha256
HML-2_10p12.1	HG01123_mat_hprc_r2_v1.0.1_HML-2_10p12.1	sc00f1c1856a84c246b5039423e4e5fab66752eb2cecbe98c41985ac577afa497	71f8ba4602cdd0f5093e414e1b27cbdc84aee85b1af63e8e2aa7d388525c5bb7
HML-2_10p12.1	HG01891_mat_hprc_r2_v1.0.1_HML-2_10p12.1	s583c6c0076b92144a452373b5d54f7804cddc0384582a2a6bd4b0dc2a468313c	112324d2e2bdd3f9a558ade4387a6014706250c0b7fbcbd3c930293c81d629c6
HML-2_10p12.1	HG02109_pat_hprc_r2_v1.0.1_HML-2_10p12.1	sc00f1c1856a84c246b5039423e4e5fab66752eb2cecbe98c41985ac577afa497	d611d87de96d54392f0a9aa2d377afc43fdb544d1a720c6a62ab97e3b31220b1
HML-2_10p12.1	HG02145_pat_hprc_r2_v1.0.1_HML-2_10p12.1	s14ced55531b155e73b89144783282c9ca311c3439eb6864c791c15e3909c5a60	0904b96d52c293e5ef7db2fb671cb2f9edd76c92dad67cc5b02e26733bdac6df
HML-2_10p12.1	HG02258_pat_hprc_r2_v1.0.1_HML-2_10p12.1	s14ced55531b155e73b89144783282c9ca311c3439eb6864c791c15e3909c5a60	344b2b389495f0901406d8e7e9dee9538ea1802775f08ece866eb428beedf149
HML-2_10p12.1	HG02559_pat_hprc_r2_v1.0.1_HML-2_10p12.1	sc00f1c1856a84c246b5039423e4e5fab66752eb2cecbe98c41985ac577afa497	32accbb0158b37a82cefd00e838e2cc071d599e1e2550a19109a8431ad7e61e2
HML-2_10p12.1	HG02583_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	sc00f1c1856a84c246b5039423e4e5fab66752eb2cecbe98c41985ac577afa497	b4de44f3b65fbb3255b9063d13bf1c66ae3035605d6998e204308ed507d7e237
HML-2_10p12.1	HG02622_pat_hprc_r2_v1.0.1_HML-2_10p12.1	s14ced55531b155e73b89144783282c9ca311c3439eb6864c791c15e3909c5a60	06eb3d24553be6f0b61422baa1f181102eb0b123bdba67eb2737c93d484065dd
HML-2_10p12.1	HG02841_mat_hprc_r2_v1.0.1_HML-2_10p12.1	s14ced55531b155e73b89144783282c9ca311c3439eb6864c791c15e3909c5a60	180c65272865788398ea11ec73e87218cac2c5e5cff15c966e6fdf1a9ed09e62
HML-2_10p12.1	HG02965_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	sc00f1c1856a84c246b5039423e4e5fab66752eb2cecbe98c41985ac577afa497	6eb86aece9f3c086ec3d5fc67e4fcf78b63e7b7258f8ab7e6d2adf0b40b01234
HML-2_10p12.1	HG03050_mat_hprc_r2_v1.0.1_HML-2_10p12.1	sc00f1c1856a84c246b5039423e4e5fab66752eb2cecbe98c41985ac577afa497	c2dee90fbe4e53763d8bb4b730b4ce917282aca6472d752c00cdf7a4360068b9
HML-2_10p12.1	HG03139_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	s14ced55531b155e73b89144783282c9ca311c3439eb6864c791c15e3909c5a60	d21481f4d22b0f97aa35f6cbce8bb5f6d7e22e780472c6c24538701f4f0cd239
HML-2_10p12.1	HG03270_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	s583c6c0076b92144a452373b5d54f7804cddc0384582a2a6bd4b0dc2a468313c	67923743cbcf057e8e2d24cb4c89a8cff6fbf1cbe02e039df82229a79ec3b642
HML-2_10p12.1	HG03471_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	sc00f1c1856a84c246b5039423e4e5fab66752eb2cecbe98c41985ac577afa497	4aa74167a9aa9e27dda607cca19874892e58181de01a52485a892387cc3426c9
HML-2_10p12.1	HG03486_mat_hprc_r2_v1.0.1_HML-2_10p12.1	sc00f1c1856a84c246b5039423e4e5fab66752eb2cecbe98c41985ac577afa497	2d097c1359f8ef97bc0adb6d69f2e957f7571bea224880ff49950c07056c67ae
HML-2_10p12.1	HG03516_pat_hprc_r2_v1.1.0_HML-2_10p12.1	sc00f1c1856a84c246b5039423e4e5fab66752eb2cecbe98c41985ac577afa497	bab52597e922382ba387e9c12cc8d3d5cc82bf6e30db7c5c6a91a26084478f90
HML-2_10p12.1	NA19185_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	s14ced55531b155e73b89144783282c9ca311c3439eb6864c791c15e3909c5a60	17a446e64632f7af5188d60c3f9b1606f9881ae7f029edab5dcbc04f419356d9
