locus	array	sample	haplotype	copy_a	copy_b	substitutions	callable_bases	clock_assumption	rate_slow_per_site_per_My	rate_fast_per_site_per_My	sensitivity_point_age_low_My	sensitivity_point_age_high_My	exact_poisson95_age_lower_at_fast_rate_My	exact_poisson95_age_upper_at_fast_rate_My	exact_poisson95_age_lower_at_slow_rate_My	exact_poisson95_age_upper_at_slow_rate_My	zero_one_sided95_upper_at_fast_rate_My	zero_one_sided95_upper_at_slow_rate_My
7p22.1	HG00099_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00099	h1	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG00126_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00126	h1	1	2	4	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.11795234725171032	0.22116065109695685	0.03213804475189677	0.3020048559626002	0.06025883390980645	0.5662591049298754		
7p22.1	HG00133_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00133	h2	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG00140_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00140	h1	1	2	1	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.02948808681292758	0.05529016277423921	0.0007465737197537699	0.16429710400268044	0.0013998257245383186	0.30805707000502586		
7p22.1	HG00232_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h1	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00268_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00268	h2	1	2	1	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.02948808681292758	0.05529016277423921	0.0007465737197537699	0.16429710400268044	0.0013998257245383186	0.30805707000502586		
7p22.1	HG00290_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00290	h1	1	2	10	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.29492000294920007	0.5529750055297501	0.14142560484059374	0.5423683858148722	0.2651730090761133	1.0169407234028853		
7p22.1	HG00321_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00321	h1	1	2	3	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.08846426043878274	0.16587048832271764	0.018243457268683667	0.2585301093932038	0.03420648237878188	0.48474395511225715		
