alignment	record	candidate_ID_Full	Source_Identifier	physical_locus	source_path	source_fasta_sha256	exact_alignment_projection	source_available	source_alignment_metrics
10p12.1_carrier_kcon.aln.fa	HG03816_pat	HG03816_pat_hprc_r2_v1.0.1_HML-2_10p12.1_MULTI_part1	HG03816#1#CM100031.1:26897310-26906476	HML-2_10p12.1			0	0	[]
10p12.1_carrier_kcon.aln.fa	HG03816_pat	HG03816_pat_hprc_r2_v1.0.1_HML-2_10p12.1_MULTI_part2	HG03816#1#CM100031.1:26905522-26914688	HML-2_10p12.1			0	0	[]
11q12.3_carrier_kcon.aln.fa	HG03654_mat	HG03654_mat_hprc_r2_v1.0.1_HML-2_11q12.3_alt1	HG03654#2#CM086860.1:61679256-61693676	HML-2_11q12.3			0	0	[]
11q12.3_carrier_kcon.aln.fa	HG03654_mat	HG03654_mat_hprc_r2_v1.0.1_HML-2_11q12.3_alt2	HG03654#2#CM086860.1:61660624-61675044	HML-2_11q12.3			0	0	[]
11q22.1_carrier_kcon.aln.fa	HG02647_mat	HG02647_mat_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI_part1	HG02647#2#CM086577.1:101734579-101744037	HML-2_11q22.1			0	0	[]
11q22.1_carrier_kcon.aln.fa	HG02647_mat	HG02647_mat_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI_part2	HG02647#2#CM086577.1:101743083-101752541	HML-2_11q22.1			0	0	[]
11q22.1_carrier_kcon.aln.fa	NA19338_hap2	NA19338_hap2_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI_part1	NA19338#2#CM087780.1:101042928-101052386	HML-2_11q22.1			0	0	[]
11q22.1_carrier_kcon.aln.fa	NA19338_hap2	NA19338_hap2_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI_part2	NA19338#2#CM087780.1:101051432-101060890	HML-2_11q22.1			0	0	[]
11q22.1_carrier_kcon.aln.fa	NA19331_h1	NA19331_h1_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part1	NA19331#1#haplotype1-0000030#0:36054730-36064188	HML-2_11q22.1			0	0	[]
11q22.1_carrier_kcon.aln.fa	NA19331_h1	NA19331_h1_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part2	NA19331#1#haplotype1-0000030#0:36063234-36072692	HML-2_11q22.1			0	0	[]
11q23.3_carrier_kcon.aln.fa	HG03704_mat	HG03704_mat_hprc_r2_v1.0.1_HML-2_11q23.3_MULTI_part1	HG03704#2#CM086194.1:121064154-121073285	HML-2_11q23.3			0	0	[]
11q23.3_carrier_kcon.aln.fa	HG03704_mat	HG03704_mat_hprc_r2_v1.0.1_HML-2_11q23.3_MULTI_part2	HG03704#2#CM086194.1:121055962-121065093	HML-2_11q23.3			0	0	[]
12q13.2_carrier_kcon.aln.fa	HG00513_h2	HG00513_h2_HML-2_12q13.2_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part1	HG00513#2#haplotype2-0000098#0:78053486-78062653	HML-2_12q13.2			0	0	[]
12q13.2_carrier_kcon.aln.fa	HG00513_h2	HG00513_h2_HML-2_12q13.2_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part2	HG00513#2#haplotype2-0000098#0:78061698-78070854	HML-2_12q13.2			0	0	[]
12q14.1_carrier_kcon.aln.fa	HG04157_pat	HG04157_pat_hprc_r2_v1.0.1_HML-2_12q14.1_MULTI_part1	HG04157#1#CM088419.1:58129477-58138915	HML-2_12q14.1			0	0	[]
12q14.1_carrier_kcon.aln.fa	HG04157_pat	HG04157_pat_hprc_r2_v1.0.1_HML-2_12q14.1_MULTI_part2	HG04157#1#CM088419.1:58120993-58130431	HML-2_12q14.1			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG01081_mat	HG01081_mat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part1	HG01081#2#CM088589.1:133230489-133236009	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG01081_mat	HG01081_mat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part2	HG01081#2#CM088589.1:133225555-133231076	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG01175_pat	HG01175_pat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part1	HG01175#1#CM087931.1:133296592-133302111	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG01175_pat	HG01175_pat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part2	HG01175#1#CM087931.1:133291658-133297178	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG01255_mat	HG01255_mat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part1	HG01255#2#CM086726.1:133317520-133323039	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG01255_mat	HG01255_mat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part2	HG01255#2#CM086726.1:133312586-133318106	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG02818_pat	HG02818_pat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part1	HG02818#1#CM092003.1:133522246-133527767	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG02818_pat	HG02818_pat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part2	HG02818#1#CM092003.1:133517311-133522832	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG03470_hap1	HG03470_hap1_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part1	HG03470#1#CM091828.1:133665205-133670726	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG03470_hap1	HG03470_hap1_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part2	HG03470#1#CM091828.1:133660270-133665791	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG03470_hap1	HG03470_hap1_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part3	HG03470#1#CM091828.1:133655335-133660856	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG03470_hap1	HG03470_hap1_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part4	HG03470#1#CM091828.1:133650400-133655921	HML-2_12q24.33			0	0	[]
