ID_Full	Locus	orig_Locus	ID	Haplotype	type	longest_ATG_ORF_aa	start_gene	genes_spanned	start_nt0	end_nt0	start_KCON_nt0	frame0	end_reason	sequence_bases	noncanonical_bases	alignment_path	regional_reach
HG00096_h1_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00096	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00096_h2_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00096	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00097_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00097	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00097_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00097	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00099_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00099	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00099_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00099	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00126_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00126	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00126_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00126	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00128_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00128	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00128_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00128	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00133_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00133	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00133_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00133	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00140_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00140	h1	type2	519	gag	gag	1217	2774	1489	2	stop_codon	7837	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00140_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00140	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00146_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00146	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00146_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00146	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00171_h1_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00171	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00171_h2_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00171	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00232_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00232	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00232_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00232	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00235_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00235	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00235_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00235	h2	type2	519	gag	gag	1217	2774	1489	2	stop_codon	7838	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00253_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00253	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7842	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00253_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00253	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00268_h1_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00268	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00268_h2_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00268	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7842	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00272_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00272	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00272_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00272	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7842	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00280_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00280	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00280_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00280	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
