region	key	locus	sample	best_distance	nearest_loci
5p_LTR	p0000	15p13a	HG00099	0.0	21p13|22p13|4p16.3a
5p_LTR	p0001	15p13a	HG00323	0.0013386880856760374	21p13|22p13
5p_LTR	p0002	15p13a	HG00558	0.0	21p13|22p13
5p_LTR	p0003	15p13a	HG00642	0.0	21p13|22p13|4p16.3a
5p_LTR	p0004	15p13a	HG00658	0.0	21p13|22p13|4p16.3a
5p_LTR	p0005	15p13a	HG00738	0.0013386880856760374	21p13|22p13
5p_LTR	p0006	15p13a	HG01123	0.0	21p13|22p13
5p_LTR	p0007	15p13a	HG01150	0.0	21p13|22p13
5p_LTR	p0008	15p13a	HG01167	0.0	21p13|22p13|4p16.3a
5p_LTR	p0009	15p13a	HG01175	0.0	21p13|22p13|4p16.3a
5p_LTR	p0010	15p13a	HG01346	0.0	21p13|22p13|4p16.3a
5p_LTR	p0011	15p13a	HG01928	0.0	21p13|22p13
5p_LTR	p0012	15p13a	HG01943	0.0	21p13|22p13
5p_LTR	p0013	15p13a	HG01975	0.0	21p13|22p13|4p16.3a
5p_LTR	p0014	15p13a	HG02392	0.0013386880856760374	21p13|22p13
5p_LTR	p0015	15p13a	HG02451	0.002677376171352075	21p13
5p_LTR	p0016	15p13a	HG02583	0.0	21p13|22p13|4p16.3a
5p_LTR	p0017	15p13a	HG02922	0.0013386880856760374	21p13|22p13|4p16.3a
5p_LTR	p0018	15p13a	HG02965	0.0013386880856760374	4q35.2_hg38
5p_LTR	p0019	15p13a	HG02984	0.0	21p13|22p13
5p_LTR	p0020	15p13a	HG03139	inf	15p13a|21p13|22p13|4p16.3a|4q35.2_hg38
5p_LTR	p0021	15p13a	HG03195	0.002677376171352075	21p13|22p13|4p16.3a
5p_LTR	p0022	15p13a	HG03521	0.0013386880856760374	21p13|22p13
5p_LTR	p0023	15p13a	HG03579	0.0013386880856760374	21p13|22p13
5p_LTR	p0024	15p13a	HG03710	0.0	21p13|22p13|4p16.3a
5p_LTR	p0025	15p13a	HG03834	0.0	21p13|22p13
5p_LTR	p0026	15p13a	HG03834	0.0	21p13|22p13
5p_LTR	p0027	15p13a	HG03874	0.0	21p13|22p13|4p16.3a
5p_LTR	p0028	15p13a	HG03874	0.0	21p13|22p13|4p16.3a
5p_LTR	p0029	15p13a	HG04160	0.0	21p13|22p13|4p16.3a
5p_LTR	p0030	15p13a	NA18508	0.0	21p13|22p13
5p_LTR	p0031	15p13a	NA18570	0.0	21p13
5p_LTR	p0032	15p13a	NA18879	0.0013386880856760374	21p13|22p13
5p_LTR	p0033	15p13a	NA18879	0.0	21p13|22p13
5p_LTR	p0034	15p13a	NA18906	0.0	21p13|22p13|4p16.3a
5p_LTR	p0035	15p13a	NA18945	0.0	21p13|22p13
5p_LTR	p0036	15p13a	NA18959	0.0	21p13|22p13
5p_LTR	p0037	15p13a	NA18960	0.0	21p13|22p13
5p_LTR	p0038	15p13a	NA18960	0.0	21p13|22p13
5p_LTR	p0039	15p13a	NA18967	0.0	21p13|22p13|4p16.3a
5p_LTR	p0040	15p13a	NA18967	0.0	21p13|22p13
5p_LTR	p0041	15p13a	NA18970	0.0	21p13|22p13
5p_LTR	p0042	15p13a	NA18971	0.0	21p13|22p13|4p16.3a
5p_LTR	p0043	15p13a	NA18974	0.0	21p13|22p13
5p_LTR	p0044	15p13a	NA19159	0.0	21p13|22p13
5p_LTR	p0045	15p13a	NA19185	0.0	21p13|22p13
5p_LTR	p0046	15p13a	NA19468	0.0013386880856760374	21p13|22p13
5p_LTR	p0047	15p13a	NA19909	0.0	21p13|22p13|4p16.3a
5p_LTR	p0048	15p13a	NA20129	0.0013386880856760374	21p13|22p13|4p16.3a
5p_LTR	p0049	15p13a	NA20503	0.0	21p13|22p13|4p16.3a
5p_LTR	p0050	15p13a	NA20762	0.0	21p13|22p13|4p16.3a
5p_LTR	p0051	15p13a	NA20806	0.0	21p13|22p13|4p16.3a
5p_LTR	p0052	15p13a	NA20827	0.0	21p13|22p13
5p_LTR	p0053	15p13a	NA20827	0.0	21p13|22p13|4p16.3a
5p_LTR	p0054	21p13	HG00097	0.0	15p13a|22p13
5p_LTR	p0055	21p13	HG00097	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0056	21p13	HG00133	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0057	21p13	HG00140	0.0	22p13|4p16.3a|4q35.2_hg38
5p_LTR	p0058	21p13	HG00140	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0059	21p13	HG00235	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0060	21p13	HG00235	0.0	22p13
5p_LTR	p0061	21p13	HG00253	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0062	21p13	HG00272	0.0	15p13a|22p13
5p_LTR	p0063	21p13	HG00280	0.002677376171352075	15p13a
5p_LTR	p0064	21p13	HG00321	0.0	15p13a|22p13
5p_LTR	p0065	21p13	HG00321	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0066	21p13	HG00329	0.0	15p13a|22p13
5p_LTR	p0067	21p13	HG00544	0.0	15p13a|22p13
5p_LTR	p0068	21p13	HG00544	0.0	15p13a|22p13
5p_LTR	p0069	21p13	HG00544	0.0	15p13a|22p13
5p_LTR	p0070	21p13	HG00558	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0071	21p13	HG00639	0.002677376171352075	15p13a|22p13|4p16.3a
5p_LTR	p0072	21p13	HG00642	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0073	21p13	HG01071	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0074	21p13	HG01123	0.0	15p13a|22p13
5p_LTR	p0075	21p13	HG01123	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0076	21p13	HG01175	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0077	21p13	HG01346	0.0	15p13a|22p13
5p_LTR	p0078	21p13	HG01361	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0079	21p13	HG01433	0.0	15p13a|22p13
5p_LTR	p0080	21p13	HG01784	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0081	21p13	HG01784	0.0	15p13a|22p13
5p_LTR	p0082	21p13	HG01884	0.0013386880856760374	15p13a|22p13
5p_LTR	p0083	21p13	HG01884	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0084	21p13	HG01928	0.0013386880856760374	15p13a|22p13
5p_LTR	p0085	21p13	HG01969	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0086	21p13	HG02015	0.002677376171352075	15p13a|22p13|4p16.3a
5p_LTR	p0087	21p13	HG02040	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0088	21p13	HG02055	0.0	22p13|4p16.3a|4q35.2_hg38
5p_LTR	p0089	21p13	HG02056	0.0	15p13a|22p13
5p_LTR	p0090	21p13	HG02074	0.0	15p13a|22p13
5p_LTR	p0091	21p13	HG02083	0.0	15p13a|22p13
5p_LTR	p0092	21p13	HG02083	0.002677376171352075	15p13a|22p13|4p16.3a
5p_LTR	p0093	21p13	HG02109	0.0	15p13a
5p_LTR	p0094	21p13	HG02132	0.0	15p13a|22p13
5p_LTR	p0095	21p13	HG02132	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0096	21p13	HG02132	0.0	15p13a|22p13
5p_LTR	p0097	21p13	HG02155	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0098	21p13	HG02165	0.002677376171352075	15p13a|22p13|4p16.3a
5p_LTR	p0099	21p13	HG02514	0.0	15p13a|22p13
5p_LTR	p0100	21p13	HG02523	0.0	15p13a|22p13
5p_LTR	p0101	21p13	HG02559	0.0013386880856760374	15p13a|22p13|4p16.3a|4q35.2_hg38
5p_LTR	p0102	21p13	HG02572	0.0	15p13a|22p13
5p_LTR	p0103	21p13	HG02583	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0104	21p13	HG02602	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0105	21p13	HG02602	0.00535475234270415	15p13a|22p13
5p_LTR	p0106	21p13	HG02615	0.0	22p13|4p16.3a|4q35.2_hg38
5p_LTR	p0107	21p13	HG02723	0.0013386880856760374	15p13a|22p13|4p16.3a
5p_LTR	p0108	21p13	HG02723	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0109	21p13	HG02723	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0110	21p13	HG02984	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0111	21p13	HG02984	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0112	21p13	HG02984	0.00535475234270415	15p13a|22p13|4p16.3a|4q35.2_hg38
5p_LTR	p0113	21p13	HG03130	0.0013386880856760374	15p13a|22p13|4p16.3a
5p_LTR	p0114	21p13	HG03139	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0115	21p13	HG03195	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0116	21p13	HG03239	0.0	15p13a|22p13
5p_LTR	p0117	21p13	HG03270	0.002677376171352075	15p13a|22p13|4p16.3a
5p_LTR	p0118	21p13	HG03470	0.0	15p13a|22p13
5p_LTR	p0119	21p13	HG03516	0.0	15p13a|22p13
5p_LTR	p0120	21p13	HG03688	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0121	21p13	HG03704	0.004016064257028112	15p13a
5p_LTR	p0122	21p13	HG03710	0.0013386880856760374	15p13a|22p13|4p16.3a
5p_LTR	p0123	21p13	HG03742	0.0013386880856760374	15p13a|22p13|4p16.3a
5p_LTR	p0124	21p13	HG03742	0.0	22p13|4p16.3a|4q35.2_hg38
5p_LTR	p0125	21p13	HG03816	0.0013386880856760374	15p13a|22p13|4p16.3a
5p_LTR	p0126	21p13	HG03834	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0127	21p13	HG03927	0.0	22p13|4p16.3a|4q35.2_hg38
5p_LTR	p0128	21p13	HG04115	0.0	15p13a|22p13
5p_LTR	p0129	21p13	HG04160	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0130	21p13	HG04199	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0131	21p13	NA18505	0.002677376171352075	15p13a|22p13|4p16.3a
5p_LTR	p0132	21p13	NA18522	0.0013386880856760374	22p13
5p_LTR	p0133	21p13	NA18879	0.0013386880856760374	15p13a|22p13|4p16.3a
5p_LTR	p0134	21p13	NA18940	0.002677376171352075	15p13a|22p13|4p16.3a
5p_LTR	p0135	21p13	NA18940	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0136	21p13	NA18943	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0137	21p13	NA18943	0.0	15p13a|22p13
5p_LTR	p0138	21p13	NA18943	0.0	15p13a|22p13
5p_LTR	p0139	21p13	NA18959	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0140	21p13	NA18959	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0141	21p13	NA18967	0.0013386880856760374	15p13a
5p_LTR	p0142	21p13	NA18970	0.0	15p13a|22p13
5p_LTR	p0143	21p13	NA18970	0.0	15p13a|22p13|4p16.3a
