key	alignment	record	original_locus	locus	sample	haplotype	newly_admitted	candidate_source_count	ID_Full	Source_Identifier	source_binding_basis	copy_suffixed_record	physical_locus_changed_from_extraction	aligned_canonical_bases	aligned_sequence_sha256
p0000	15p13a_carrier_kcon.aln.fa	HG00099_hap2#c1	15p13a	15p13a	HG00099	h2	1	2	HG00099_hap2_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG00099#2#CM087372.1:21108-28780	unique_full_query_zero_mismatch_source_alignment	1	0	6208	ff05a943dd6a389d4538b4a87cdbc0014566a2a18916aa16ced5464829926c2b
p0001	15p13a_carrier_kcon.aln.fa	HG00323_hap2#c1	15p13a	15p13a	HG00323	h2	1	2	HG00323_hap2_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG00323#2#CM087341.1:14351-22019	unique_full_query_zero_mismatch_source_alignment	1	0	6208	3a81318a4f155a0806adf8533e210bcb940008a0fa7693fae38a8ed74578b153
p0002	15p13a_carrier_kcon.aln.fa	HG00558_pat#c1	15p13a	15p13a	HG00558	pat	1	3	HG00558_pat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG00558#1#CM088501.1:20782-28454	unique_full_query_zero_mismatch_source_alignment	1	0	6208	131d7750c17d4b766c9c121e633bdcc50e9902b7e5ae9882a9a34370090c81a7
p0003	15p13a_carrier_kcon.aln.fa	HG00642_mat	15p13a	15p13a	HG00642	mat	1	1	HG00642_mat_hprc_r2_v1.0.1_HML-2_15p13a	HG00642#2#CM086629.1:15350-23018	unique_full_query_zero_mismatch_source_alignment	0	0	6208	9878853cdc6a9dfbdc31b35aa8615e9ffed930497c976a8d6a0d412ccf06ab33
p0004	15p13a_carrier_kcon.aln.fa	HG00658_mat#c1	15p13a	15p13a	HG00658	mat	1	3	HG00658_mat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG00658#2#CM088805.1:25272-32940	unique_full_query_zero_mismatch_source_alignment	1	0	6208	d436dfe36b5e07403c9f2170b3250d90d73d017d8a58e4871dfee11fc88e77a0
p0005	15p13a_carrier_kcon.aln.fa	HG00738_pat#c1	15p13a	15p13a	HG00738	pat	1	2	HG00738_pat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG00738#1#CM086652.1:21462-29138	unique_full_query_zero_mismatch_source_alignment	1	0	6208	555602e5bcb7af546142361912e3d8a6bf47d16f4d299888b3962d6be37612e6
p0006	15p13a_carrier_kcon.aln.fa	HG01123_mat#c1	15p13a	15p13a	HG01123	mat	1	2	HG01123_mat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG01123#2#CM089108.1:8405-16077	unique_full_query_zero_mismatch_source_alignment	1	0	6208	088bf9e99e0372b8dd31fd89b99b3ced85457ece2c72a0dc44e841aa71dd7df9
p0007	15p13a_carrier_kcon.aln.fa	HG01150_mat#c1	15p13a	15p13a	HG01150	mat	1	2	HG01150_mat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG01150#2#CM088626.1:23226-30894	unique_full_query_zero_mismatch_source_alignment	1	0	6208	f5133bfec16497379fe6cbed53a72a10dd3e52911452eb8c84911913dd409787
p0008	15p13a_carrier_kcon.aln.fa	HG01167_hap1#c3	15p13a	15p13a	HG01167	h1	1	3	HG01167_hap1_hprc_r2_v1.0.1_HML-2_15p13a_alt3	HG01167#1#CM094533.1:12218-19882	unique_full_query_zero_mismatch_source_alignment	1	0	6208	82cd61d12ff023787847ea6ff0a2d01da0cbace6ed1a1b9c57760e00b54a3c74
p0009	15p13a_carrier_kcon.aln.fa	HG01175_mat	15p13a	15p13a	HG01175	mat	1	1	HG01175_mat_hprc_r2_v1.0.1_HML-2_15p13a	HG01175#2#CM087945.1:14825-22489	unique_full_query_zero_mismatch_source_alignment	0	0	6208	71b13bd5f8e50c5b4105b5c50b7556b9046bae8242f109067a5c07a3dcc487c6
p0010	15p13a_carrier_kcon.aln.fa	HG01346_pat#c2	15p13a	15p13a	HG01346	pat	1	2	HG01346_pat_hprc_r2_v1.0.1_HML-2_15p13a_alt2	HG01346#1#CM086596.1:18290-25954	unique_full_query_zero_mismatch_source_alignment	1	0	6208	3b3318eb27263849bea07889acbe8208ce7f29f33af455ad11bfca9f77f9a460
p0011	15p13a_carrier_kcon.aln.fa	HG01928_mat#c1	15p13a	15p13a	HG01928	mat	1	2	HG01928_mat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG01928#2#CM089017.1:20136-27804	unique_full_query_zero_mismatch_source_alignment	1	0	6208	f5133bfec16497379fe6cbed53a72a10dd3e52911452eb8c84911913dd409787
p0012	15p13a_carrier_kcon.aln.fa	HG01943_pat#c1	15p13a	15p13a	HG01943	pat	1	2	HG01943_pat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG01943#1#CM089361.1:15921-23589	unique_full_query_zero_mismatch_source_alignment	1	0	6208	f5133bfec16497379fe6cbed53a72a10dd3e52911452eb8c84911913dd409787
p0013	15p13a_carrier_kcon.aln.fa	HG01975_mat#c1	15p13a	15p13a	HG01975	mat	1	3	HG01975_mat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG01975#2#CM099819.1:20489-28157	unique_full_query_zero_mismatch_source_alignment	1	0	6208	d42764614c6b0a7e002d3bd70c06cad73f3354266ec89c87fc5c9a2b6c324a3a
p0014	15p13a_carrier_kcon.aln.fa	HG02392_hap1#c1	15p13a	15p13a	HG02392	h1	1	3	HG02392_hap1_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG02392#1#CM099886.1:8598-16270	unique_full_query_zero_mismatch_source_alignment	1	0	6208	36def6fdc75649af6813b4c221b723929f625f7b264c8ff8cd9ce7e08cede1f6
p0015	15p13a_carrier_kcon.aln.fa	HG02451_pat#c1	15p13a	15p13a	HG02451	pat	1	2	HG02451_pat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG02451#1#CM086208.1:13630-21287	unique_full_query_zero_mismatch_source_alignment	1	0	6208	785c161cc6d60a57477a09d75e1db065f7706b3bdbcc7d1892ee44e3c4412c40
p0016	15p13a_carrier_kcon.aln.fa	HG02583_hap1#c1	15p13a	15p13a	HG02583	h1	1	2	HG02583_hap1_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG02583#1#CM089494.1:16100-23772	unique_full_query_zero_mismatch_source_alignment	1	0	6208	d436dfe36b5e07403c9f2170b3250d90d73d017d8a58e4871dfee11fc88e77a0
p0017	15p13a_carrier_kcon.aln.fa	HG02922_hap1#c1	15p13a	15p13a	HG02922	h1	1	3	HG02922_hap1_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG02922#1#CM087005.1:21048-28716	unique_full_query_zero_mismatch_source_alignment	1	0	6208	44ef2c88bf297d6af5b05ffd072ef23086dc876a750e6365d0eb6baeb72fd427
p0018	15p13a_carrier_kcon.aln.fa	HG02965_hap2#c1	15p13a	15p13a	HG02965	h2	1	3	HG02965_hap2_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG02965#2#CM087396.1:17832-25500	unique_full_query_zero_mismatch_source_alignment	1	0	6208	07900843cc57f15a78067eff6acc9d4f54535127329e35e8b18b89c9c9bbfa3c
p0019	15p13a_carrier_kcon.aln.fa	HG02984_mat#c2	15p13a	15p13a	HG02984	mat	1	2	HG02984_mat_hprc_r2_v1.0.1_HML-2_15p13a_alt2	HG02984#2#CM098811.1:21703-29363	unique_full_query_zero_mismatch_source_alignment	1	0	6205	93db25e0100d916d45e0404c18596ee88d0abe12d2b0e11fd1d2d461e2a202f1
p0020	15p13a_carrier_kcon.aln.fa	HG03139_hap2	15p13a	15p13a	HG03139	h2	1	1	HG03139_hap2_hprc_r2_v1.0.1_HML-2_15p13a	HG03139#2#CM091845.1:25072-32190	unique_full_query_zero_mismatch_source_alignment	0	0	5860	09988a4fa55dc4a94aa119b2bc105e039b1379fcffb767ae21fe04987daf9045
p0021	15p13a_carrier_kcon.aln.fa	HG03195_hap1#c1	15p13a	15p13a	HG03195	h1	1	3	HG03195_hap1_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG03195#1#CM087068.1:19641-27309	unique_full_query_zero_mismatch_source_alignment	1	0	6208	24f899b7dacb1078d598c508b2f819ea144fc875d4c8120c7831b6d6449fa3f3
p0022	15p13a_carrier_kcon.aln.fa	HG03521_hap2	15p13a	15p13a	HG03521	h2	1	1	HG03521_hap2_hprc_r2_v1.0.1_HML-2_15p13a	HG03521#2#CM094443.1:15959-23619	unique_full_query_zero_mismatch_source_alignment	0	0	6205	4639c65c095f69bc969a496e65f0f06041d2202f223ff6a8db148bb355f1ec06
p0023	15p13a_carrier_kcon.aln.fa	HG03579_mat#c1	15p13a	15p13a	HG03579	mat	1	2	HG03579_mat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG03579#2#CM089295.1:13603-21271	unique_full_query_zero_mismatch_source_alignment	1	0	6208	38079688b9f0d75f3ce462988cb045885bc31013ee576bddc178d28b991d34ec
p0024	15p13a_carrier_kcon.aln.fa	HG03710_pat#c1	15p13a	15p13a	HG03710	pat	1	3	HG03710_pat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG03710#1#CM086874.1:9715-17701	unique_full_query_zero_mismatch_source_alignment	1	0	6208	ff05a943dd6a389d4538b4a87cdbc0014566a2a18916aa16ced5464829926c2b
p0025	15p13a_carrier_kcon.aln.fa	HG03834_mat	15p13a	15p13a	HG03834	mat	1	1	HG03834_mat_hprc_r2_v1.0.1_HML-2_15p13a	HG03834#2#CM085817.1:13423-21099	unique_full_query_zero_mismatch_source_alignment	0	0	6208	088bf9e99e0372b8dd31fd89b99b3ced85457ece2c72a0dc44e841aa71dd7df9
p0026	15p13a_carrier_kcon.aln.fa	HG03834_pat#c1	15p13a	15p13a	HG03834	pat	1	2	HG03834_pat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	HG03834#1#CM085803.1:25318-32986	unique_full_query_zero_mismatch_source_alignment	1	0	6208	e7dbd96b4b7fb6294596d19e308606dcfdd70cd0aa4d96012733a7498c8248e0
p0027	15p13a_carrier_kcon.aln.fa	HG03874_hap1#c2	15p13a	15p13a	HG03874	h1	1	3	HG03874_hap1_hprc_r2_v1.0.1_HML-2_15p13a_alt3	HG03874#1#CM089443.1:9722-17380	unique_full_query_zero_mismatch_source_alignment	1	0	6208	47321e348dd92e4627a4bb36d6ff9e9264f8dbf898617faac4328dd3b249a194
p0028	15p13a_carrier_kcon.aln.fa	HG03874_hap2	15p13a	15p13a	HG03874	h2	1	1	HG03874_hap2_hprc_r2_v1.0.1_HML-2_15p13a	HG03874#2#CM089481.1:9722-17380	unique_full_query_zero_mismatch_source_alignment	0	0	6199	a0957203f7acf4ac11bfc6bfbb55f71e9072916972586ad390601c9ae198baf3
p0029	15p13a_carrier_kcon.aln.fa	HG04160_pat#c2	15p13a	15p13a	HG04160	pat	1	2	HG04160_pat_hprc_r2_v1.0.1_HML-2_15p13a_alt2	HG04160#1#CM088435.1:14648-22308	unique_full_query_zero_mismatch_source_alignment	1	0	6208	47321e348dd92e4627a4bb36d6ff9e9264f8dbf898617faac4328dd3b249a194
p0030	15p13a_carrier_kcon.aln.fa	NA18508_hap1	15p13a	15p13a	NA18508	h1	1	1	NA18508_hap1_hprc_r2_v1.0.1_HML-2_15p13a	NA18508#1#CM089652.1:21758-29426	unique_full_query_zero_mismatch_source_alignment	0	0	6208	674b9b026b4b0b1e5bb934dbb3d9444e3279d1c68aefc3c9dd7f1b1d4ed4175f
p0031	15p13a_carrier_kcon.aln.fa	NA18570_hap1#c2	15p13a	15p13a	NA18570	h1	1	2	NA18570_hap1_hprc_r2_v1.0.1_HML-2_15p13a_alt2	NA18570#1#CM087667.1:16969-24636	unique_full_query_zero_mismatch_source_alignment	1	0	6207	fe2f15d3bb2a2ec11f79fa18bb6dfd308e4bb794863bbfbf57734b8b06386d5c
p0032	15p13a_carrier_kcon.aln.fa	NA18879_hap1	15p13a	15p13a	NA18879	h1	1	1	NA18879_hap1_hprc_r2_v1.0.1_HML-2_15p13a	NA18879#1#CM099722.1:10738-18410	unique_full_query_zero_mismatch_source_alignment	0	0	6208	005d2d3da56043c946d856bfe558bcb1b3166981bbc62c6020f973cbb3075a45
p0033	15p13a_carrier_kcon.aln.fa	NA18879_hap2	15p13a	15p13a	NA18879	h2	1	1	NA18879_hap2_hprc_r2_v1.0.1_HML-2_15p13a	NA18879#2#CM099738.1:16029-23697	unique_full_query_zero_mismatch_source_alignment	0	0	6208	674b9b026b4b0b1e5bb934dbb3d9444e3279d1c68aefc3c9dd7f1b1d4ed4175f
p0034	15p13a_carrier_kcon.aln.fa	NA18906_pat#c1	15p13a	15p13a	NA18906	pat	1	2	NA18906_pat_hprc_r2_v1.0.1_HML-2_15p13a_alt1	NA18906#1#CM091945.1:20360-28020	unique_full_query_zero_mismatch_source_alignment	1	0	6208	77203632316d0eee58fc4453833979e30ac410ea78bbe51fafb7b04a3a5c2689
p0035	15p13a_carrier_kcon.aln.fa	NA18945_hap1	15p13a	15p13a	NA18945	h1	1	1	NA18945_hap1_hprc_r2_v1.0.1_HML-2_15p13a	NA18945#1#CM101625.1:14912-22580	unique_full_query_zero_mismatch_source_alignment	0	0	6208	088bf9e99e0372b8dd31fd89b99b3ced85457ece2c72a0dc44e841aa71dd7df9
p0036	15p13a_carrier_kcon.aln.fa	NA18959_hap2#c2	15p13a	15p13a	NA18959	h2	1	3	NA18959_hap2_hprc_r2_v1.0.1_HML-2_15p13a_alt2	NA18959#2#CM101584.1:13425-21093	unique_full_query_zero_mismatch_source_alignment	1	0	6208	088bf9e99e0372b8dd31fd89b99b3ced85457ece2c72a0dc44e841aa71dd7df9
p0037	15p13a_carrier_kcon.aln.fa	NA18960_hap2#c1	15p13a	15p13a	NA18960	h2	1	2	NA18960_hap2_hprc_r2_v1.0.1_HML-2_15p13a_alt1	NA18960#2#CM101565.1:12909-20577	unique_full_query_zero_mismatch_source_alignment	1	0	6208	088bf9e99e0372b8dd31fd89b99b3ced85457ece2c72a0dc44e841aa71dd7df9
p0038	15p13a_carrier_kcon.aln.fa	NA18960_hap2#c2	15p13a	15p13a	NA18960	h2	1	2	NA18960_hap2_hprc_r2_v1.0.1_HML-2_15p13a_alt2	NA18960#2#CM101570.1:14470-22138	unique_full_query_zero_mismatch_source_alignment	1	0	6208	68ba9e53986691cd0e212277fec337d518cc285dd1331409d2419fed46ceb6a8
p0039	15p13a_carrier_kcon.aln.fa	NA18967_hap1#c2	15p13a	15p13a	NA18967	h1	1	2	NA18967_hap1_hprc_r2_v1.0.1_HML-2_15p13a_alt2	NA18967#1#CM101507.1:14670-22334	unique_full_query_zero_mismatch_source_alignment	1	0	6208	48f23396f5ce9d12ba94e4d642e037629ce78d00c84b9f6dc13f1308146a740a
p0040	15p13a_carrier_kcon.aln.fa	NA18967_hap2	15p13a	15p13a	NA18967	h2	1	1	NA18967_hap2_hprc_r2_v1.0.1_HML-2_15p13a	NA18967#2#CM101519.1:18450-26118	unique_full_query_zero_mismatch_source_alignment	0	0	6208	088bf9e99e0372b8dd31fd89b99b3ced85457ece2c72a0dc44e841aa71dd7df9
