analysis_id	locus	type_call	id_full	person	haplotype	root	strand_metadata	input_sequence_length	mafft_reverse_complemented	fasta_basename	fasta_sha256
rep001	10p12.1	TypeI	HG00097_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00097	h1	HPRC_processed_loci	+	9367	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_10p12.1.fa	1156db8e91e24b6a540864a9469b9d5a81bbc9c3b6ee89b0d9a898326e0a9490
rep002	10p14	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_10p14	HG00097	h1	HPRC_processed_loci	-	9494	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_10p14.fa	a99473bde941996c6b2abd3dec28236acb17b234f094333dda3c2aa8bf040399
rep003	10q24.2	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HG00097	h1	HPRC_processed_loci	-	7421	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_10q24.2.fa	8612b82e95c030391af7219c78182e26c82fb9bfbfd7053ba43bd701737d50c0
rep004	11p15.4	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_11p15.4	HG00097	h1	HPRC_processed_loci	-	8763	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_11p15.4.fa	28d6e840602fbd14e29384818da69f0413d67d19200bfd6ee8e1884ea9d19db3
rep005	11q12.3	TypeII	HG00097_hap2_hprc_r2_v1.0.1_HML-2_11q12.3	HG00097	h2	HPRC_processed_loci	-	14616	false	HG00097_hap2_hprc_r2_v1.0.1_HML-2_11q12.3.fa	27066d826a613b4b6ec5ba30df6fbb55a2acb193f557a820283432ae735d09cb
rep006	11q22.1	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_11q22.1	HG00097	h1	HPRC_processed_loci	+	9653	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_11q22.1.fa	9d98abbe2f6530a8849de9120408eb29d29088b6addea5dd80fe60fa24b83b92
rep007	11q23.3	TypeI	HG00097_hap1_hprc_r2_v1.0.1_HML-2_11q23.3	HG00097	h1	HPRC_processed_loci	-	9326	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_11q23.3.fa	8aac55f811ad3aa812fdb26cafec18f75a2296c4f904d947f1eae49de82d962a
rep008	12p11.21	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_12p11.21	HG00097	h1	HPRC_processed_loci	-	9779	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_12p11.21.fa	83cb62dc5c84a6e7f95a6331e2a21ec233a205545092ca8b8046849f74ce6037
rep009	12q13.2	TypeI	HG00097_hap1_hprc_r2_v1.0.1_HML-2_12q13.2	HG00097	h1	HPRC_processed_loci	+	9356	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_12q13.2.fa	d78d2d1ffbdd5db13b1f6cf4c4e404f2615d8e1ec874e022b10c977ff7d28187
rep010	12q14.1	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_12q14.1	HG00097	h1	HPRC_processed_loci	-	9644	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_12q14.1.fa	0befb8ae18986c2aa05b52f02358bb06b9a4279c3a0ae62d4b631f1c48219639
