ID_Full	ID	Haplotype	Source_Identifier	original_locus	physical_locus	retained_alignment_candidates_at_original_slot	partition	reason	admitted_alignment	admitted_record
HG00096_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00096	h1	HG00096#1#haplotype1-0000025#0:26914662-26954078	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00096_h1
HG00096_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00096	h2	HG00096#2#haplotype2-0000118#0:26911886-26951300	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00096_h2
HG00097_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00097	h1	HG00097#1#CM094066.1:26932097-26942463	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00097_hap1
HG00097_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00097	h2	HG00097#2#CM094081.1:26901849-26912215	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00097_hap2
HG00099_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00099	h1	HG00099#1#CM087321.1:26915200-26925566	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00099_hap1
HG00099_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00099	h2	HG00099#2#CM087365.1:26901921-26912287	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00099_hap2
HG00126_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00126	h1	HG00126#1#JBHIKU010000038.1:26924390-26934756	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00126_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00126	h2	HG00126#2#CM090128.1:26900015-26910381	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00126_hap2
HG00128_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00128	h1	HG00128#1#CM090084.1:26896890-26907256	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00128_hap1
HG00128_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00128	h2	HG00128#2#CM090099.1:26913379-26923745	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00128_hap2
HG00133_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00133	h1	HG00133#1#JBHIKQ010000041.1:26904159-26914525	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00133_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00133	h2	HG00133#2#CM090068.1:26904142-26914508	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00133_hap2
HG00140_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00140	h1	HG00140#1#CM087115.1:26918248-26928614	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00140_hap1
HG00140_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00140	h2	HG00140#2#CM087140.1:26907083-26917449	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00140_hap2
HG00146_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00146	h1	HG00146#1#JBHIKO010000050.1:26895248-26905614	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00146_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00146	h2	HG00146#2#CM090038.1:26920328-26930694	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00146_hap2
HG00171_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00171	h1	HG00171#1#haplotype1-0000034#0:26866243-26905650	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00171_h1
HG00171_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00171	h2	HG00171#2#haplotype2-0000170#0:26911029-26950442	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00171_h2
HG00232_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00232	h1	HG00232#1#JBHIKM010000010.1:26918329-26928695	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00232_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00232	h2	HG00232#2#JBHIKN010000037.1:26903890-26914256	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00235_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00235	h1	HG00235#1#JBIRED010000002.1:26905137-26915503	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00235_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00235	h2	HG00235#2#CM094400.1:26891689-26902055	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00235_hap2
HG00253_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00253	h1	HG00253#1#CM094463.1:26910912-26921278	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00253_hap1
HG00253_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00253	h2	HG00253#2#CM094485.1:26928427-26938793	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00253_hap2
HG00268_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00268	h1	HG00268#1#haplotype1-0000011#0:26418812-26458219	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00268_h1
HG00268_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00268	h2	HG00268#2#haplotype2-0000058#0:26411376-26450783	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00268_h2
HG00272_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00272	h1	HG00272#1#CM094193.1:26904449-26914815	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00272_hap1
HG00272_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00272	h2	HG00272#2#CM094220.1:26877302-26887668	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00272_hap2
HG00280_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00280	h1	HG00280#1#CM087153.1:26897186-26907552	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00280_hap1
HG00280_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00280	h2	HG00280#2#CM087164.1:26908008-26918374	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00280_hap2
HG00290_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00290	h1	HG00290#1#JBHIKK010000011.1:26876827-26887193	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00290_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00290	h2	HG00290#2#JBHIKL010000034.1:26890533-26900899	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00320_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00320	h1	HG00320#1#JBHIKI010000007.1:26899107-26909473	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00320_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00320	h2	HG00320#2#CM089969.1:26901818-26912184	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00320_hap2
