region	focal_locus	focal_tip	candidate_locus	candidate_tip	patristic_distance	candidate_in_both_regions
LTR	19p12c	19p12c__hap1__n69	12q14.1	12q14.1__hap2__n127	0.014837547983944177	True
LTR	19p12c	19p12c__hap1__n69	12q14.1	12q14.1__hap1__n260	0.014857280440514927	True
LTR	19p12c	19p12c__hap1__n69	3q13.2	3q13.2__hap1__n261	0.01497287161266042	True
LTR	19p12c	19p12c__hap1__n69	3q13.2	3q13.2__hap2__n32	0.014991603832436399	True
LTR	19p12c	19p12c__hap1__n69	8q11.23_new	8q11.23_new__hap1__n465	0.015683635151749857	True
LTR	19p12c	19p12c__hap1__n69	8q11.23_new	8q11.23_new__hap2__n9	0.016739344788326106	True
LTR	19p12c	19p12c__hap1__n69	11q22.1	11q22.1__hap2__n88	0.017940491808224244	True
LTR	19p12c	19p12c__hap1__n69	10p12.1	10p12.1__hap2__n81	0.018045353277151534	True
LTR	19p12c	19p12c__hap1__n69	4q32.1	4q32.1__hap2__n78	0.018051279691030014	False
LTR	19p12c	19p12c__hap1__n69	7p22.1	7p22.1__hap1__n93	0.018707962982281584	True
LTR	19p12c	19p12c__hap1__n69	1p31.1b	1p31.1b__hap1__n97	0.018990801975671448	False
LTR	19p12c	19p12c__hap1__n69	1p31.1b	1p31.1b__hap2__n72	0.018991258199536787	False
LTR	19p12c	19p12c__hap1__n69	10p12.1	10p12.1__hap1__n269	0.019095834597944367	True
LTR	19p12c	19p12c__hap1__n69	3q27.2	3q27.2__hap2__n56	0.01911299922213118	True
LTR	19p12c	19p12c__hap1__n69	22q11.21	22q11.21__hap1__n99	0.019205160409869908	True
LTR	19p12c	19p12c__hap1__n69	22q11.21	22q11.21__hap2__n35	0.019247789433523708	True
LTR	19p12c	19p12c__hap1__n69	Xq21.33	Xq21.33__hap1__n3	0.019411792974641778	True
LTR	19p12c	19p12c__hap1__n69	7p22.1	7p22.1__hap2__n81	0.019742032150264724	True
LTR	19p12c	19p12c__hap1__n69	19q12	19q12__hap1__n314	0.01982019727942888	True
LTR	19p12c	19p12c__hap1__n69	3q27.2	3q27.2__hap1__n242	0.020004128790438308	True
LTR	19p12c	19p12c__hap1__n69	4q32.1	4q32.1__hap1__n132	0.020141732859863294	False
LTR	19p12c	19p12c__hap1__n69	6q14.1	6q14.1__hap2__n106	0.02025985026438709	True
LTR	19p12c	19p12c__hap1__n69	11q22.1	11q22.1__hap1__n160	0.021119455822976682	True
LTR	19p12c	19p12c__hap1__n69	6q14.1	6q14.1__hap1__n152	0.021306870427268122	True
