region	replicate	focal_tip	nearest_loci	nearest_distance
LTR	1	19p12c__hap1__n69	12q14.1	0.012770988771282177
LTR	1	10q24.2__hap1__n189	3q13.2	0.021086326179199765
LTR	1	4q35.2_hg38__hap1__n61	22p13	0.012728578077110836
LTR	2	19p12c__hap1__n69	12q14.1	0.011131803469162486
LTR	2	10q24.2__hap1__n189	3q13.2	0.015202628607826094
LTR	2	4q35.2_hg38__hap1__n61	15p13a	0.001535678929097617
LTR	3	19p12c__hap1__n69	8q11.23_new	0.015479821648390476
LTR	3	10q24.2__hap1__n189	12q14.1	0.02706630710903329
LTR	3	4q35.2_hg38__hap1__n61	15p13a	0.0032168599394783864
LTR	4	19p12c__hap1__n69	12q14.1	0.016920648946679218
LTR	4	10q24.2__hap1__n189	3q13.2	0.02488515438208819
LTR	4	4q35.2_hg38__hap1__n61	15p13a	0.006978991540597265
LTR	5	19p12c__hap1__n69	12q14.1	0.018016784659453597
LTR	5	10q24.2__hap1__n189	12q14.1	0.026198285910234924
LTR	5	4q35.2_hg38__hap1__n61	21p13	0.0074055279109852545
LTR	6	19p12c__hap1__n69	3q13.2	0.014850837961977224
LTR	6	10q24.2__hap1__n189	11q23.3	0.023490614431015147
LTR	6	4q35.2_hg38__hap1__n61	15p13a	0.007423343141042732
LTR	7	19p12c__hap1__n69	8q11.23_new	0.010411738053064851
LTR	7	10q24.2__hap1__n189	12q14.1	0.020725793910008953
LTR	7	4q35.2_hg38__hap1__n61	21p13	0.018604333838610307
LTR	8	19p12c__hap1__n69	3q27.2	0.01643430053486144
LTR	8	10q24.2__hap1__n189	3q27.2	0.02635793911372155
LTR	8	4q35.2_hg38__hap1__n61	21p13	0.013511197530314975
LTR	9	19p12c__hap1__n69	22q11.21	0.007450476486588977
LTR	9	10q24.2__hap1__n189	12q14.1	0.022383796537987895
LTR	9	4q35.2_hg38__hap1__n61	15p13a	0.010767848007113515
LTR	10	19p12c__hap1__n69	8q11.23_new	0.015057137106795373
LTR	10	10q24.2__hap1__n189	3q13.2	0.03380877170705893
LTR	10	4q35.2_hg38__hap1__n61	15p13a	0.0057162467936909545
LTR	11	19p12c__hap1__n69	3q13.2	0.01525715674775204
LTR	11	10q24.2__hap1__n189	11q23.3	0.02707163736007139
LTR	11	4q35.2_hg38__hap1__n61	22p13	0.009637437842500388
LTR	12	19p12c__hap1__n69	8q11.23_new	0.013672758647258696
LTR	12	10q24.2__hap1__n189	8q11.23_new	0.02548862657978328
LTR	12	4q35.2_hg38__hap1__n61	15p13a	0.009712146908380445
LTR	13	19p12c__hap1__n69	12q14.1	0.017871907669564733
LTR	13	10q24.2__hap1__n189	12q14.1	0.018872608153837882
LTR	13	4q35.2_hg38__hap1__n61	15p13a	0.0049990986150899724
LTR	14	19p12c__hap1__n69	12q14.1	0.011586482108836215
LTR	14	10q24.2__hap1__n189	3q13.2	0.03619754724299215
LTR	14	4q35.2_hg38__hap1__n61	15p13a	0.01078782063070155
LTR	15	19p12c__hap1__n69	3q27.2	0.01617605773091292
LTR	15	10q24.2__hap1__n189	11q23.3	0.03388535370113966
LTR	15	4q35.2_hg38__hap1__n61	15p13a	0.00812069441391422
LTR	16	19p12c__hap1__n69	3q13.2	0.013046680588859676
LTR	16	10q24.2__hap1__n189	3q13.2	0.029444404302803432
LTR	16	4q35.2_hg38__hap1__n61	15p13a	0.0031885248026810586
LTR	17	19p12c__hap1__n69	12q14.1	0.011052034382385077
LTR	17	10q24.2__hap1__n189	12q14.1	0.024720571106330462
LTR	17	4q35.2_hg38__hap1__n61	15p13a	0.004942815499988151
LTR	18	19p12c__hap1__n69	8q11.23_new	0.013784246537234654
LTR	18	10q24.2__hap1__n189	19q12	0.030494838995798294
LTR	18	4q35.2_hg38__hap1__n61	15p13a	0.008383201550235767
LTR	19	19p12c__hap1__n69	22q11.21	0.014845215042496588
LTR	19	10q24.2__hap1__n189	3q13.2	0.02971888482177745
LTR	19	4q35.2_hg38__hap1__n61	15p13a	0.006817573073692268
LTR	20	19p12c__hap1__n69	12q14.1	0.016412017767518307
LTR	20	10q24.2__hap1__n189	11q23.3	0.022899889210034247
