locus	sample	haplotype	array	copy_index	copy_count	id	source_path	source_sha256	source_header	source_identifier	catalog_to_local_offset	slice_start0	slice_end0	length	sequence_sha256	type
10p12.1	HG03816	pat	HG03816_pat_hprc_r2_v1.0.1_HML-2_10p12.1_MULTI	1	2	HG03816_pat_hprc_r2_v1.0.1_HML-2_10p12.1_MULTI_part1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG03816_pat_hprc_r2_v1.0.1_HML-2_10p12.1.fa	3bd6260082a1a01a54936ac353d162f5ea49f53f6f6a4d14155dd018586dc985	>HG03816_pat_hprc_r2_v1.0.1_HML-2_10p12.1_MULTI assembly_coords:HG03816#1#CM100031.1:26897203-26914794 genomic_strand:+	HG03816#1#CM100031.1:26897310-26906476	0	107	9274	9167	75d750d17ce412971a92f44446bc08a0438b0f7d9e80e4d5ff8b8e0d34625fca	type1
10p12.1	HG03816	pat	HG03816_pat_hprc_r2_v1.0.1_HML-2_10p12.1_MULTI	2	2	HG03816_pat_hprc_r2_v1.0.1_HML-2_10p12.1_MULTI_part2	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG03816_pat_hprc_r2_v1.0.1_HML-2_10p12.1.fa	3bd6260082a1a01a54936ac353d162f5ea49f53f6f6a4d14155dd018586dc985	>HG03816_pat_hprc_r2_v1.0.1_HML-2_10p12.1_MULTI assembly_coords:HG03816#1#CM100031.1:26897203-26914794 genomic_strand:+	HG03816#1#CM100031.1:26905522-26914688	0	8319	17486	9167	eb2426f73fd5705e01a14fcce5cd93c577107d16a148605a3cfbcba3f3844c13	type1
11q22.1	HG02647	mat	HG02647_mat_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI	1	2	HG02647_mat_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI_part1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02647_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa	b90fb18c8b98626f969dc6dca014728dc173353a9aa61b10a64655ef69fb6ad4	>HG02647_mat_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI assembly_coords:HG02647#2#CM086577.1:101734472-101752647 genomic_strand:+	HG02647#2#CM086577.1:101734579-101744037	0	107	9566	9459	a38073d17a0ef93f1e7a2eb9f260c0862ba7facb7af3a3d8bdde8e5cb668553b	type2
11q22.1	HG02647	mat	HG02647_mat_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI	2	2	HG02647_mat_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI_part2	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02647_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa	b90fb18c8b98626f969dc6dca014728dc173353a9aa61b10a64655ef69fb6ad4	>HG02647_mat_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI assembly_coords:HG02647#2#CM086577.1:101734472-101752647 genomic_strand:+	HG02647#2#CM086577.1:101743083-101752541	0	8611	18070	9459	9bdd567e87ab355c08ac4180fc2d9baaf22aa5aee552840bd277f098fe02e975	type2
11q22.1	NA19331	h1	NA19331_h1_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	1	2	NA19331_h1_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part1	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_11q22.1/NA19331_h1_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13.fa	4072d1d69b02358d36916ee0da875d741467fda2d74fae33bb60eb16446a2467	>NA19331_h1_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI|NA19331#1#haplotype1-0000030#0:36054123-36102205 genomic_strand:+	NA19331#1#haplotype1-0000030#0:36054730-36064188	500	107	9566	9459	fe4e9eb25cbd3c4d99a041f77156759218c60e397c59b614bb883ce43fac5192	type2
11q22.1	NA19331	h1	NA19331_h1_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	2	2	NA19331_h1_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part2	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_11q22.1/NA19331_h1_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13.fa	4072d1d69b02358d36916ee0da875d741467fda2d74fae33bb60eb16446a2467	>NA19331_h1_HML-2_11q22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI|NA19331#1#haplotype1-0000030#0:36054123-36102205 genomic_strand:+	NA19331#1#haplotype1-0000030#0:36063234-36072692	500	8611	18070	9459	9bdd567e87ab355c08ac4180fc2d9baaf22aa5aee552840bd277f098fe02e975	type2
11q22.1	NA19338	h2	NA19338_hap2_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI	1	2	NA19338_hap2_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI_part1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/NA19338_hap2_hprc_r2_v1.0.1_HML-2_11q22.1.fa	df81cfa860fec7d93ce56829aa1f6f21cb21cc1ab0e3e4557c286834024f25d9	>NA19338_hap2_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI assembly_coords:NA19338#2#CM087780.1:101042821-101060996 genomic_strand:+	NA19338#2#CM087780.1:101042928-101052386	0	107	9566	9459	fe4e9eb25cbd3c4d99a041f77156759218c60e397c59b614bb883ce43fac5192	type2
11q22.1	NA19338	h2	NA19338_hap2_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI	2	2	NA19338_hap2_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI_part2	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/NA19338_hap2_hprc_r2_v1.0.1_HML-2_11q22.1.fa	df81cfa860fec7d93ce56829aa1f6f21cb21cc1ab0e3e4557c286834024f25d9	>NA19338_hap2_hprc_r2_v1.0.1_HML-2_11q22.1_MULTI assembly_coords:NA19338#2#CM087780.1:101042821-101060996 genomic_strand:+	NA19338#2#CM087780.1:101051432-101060890	0	8611	18070	9459	9bdd567e87ab355c08ac4180fc2d9baaf22aa5aee552840bd277f098fe02e975	type2
11q23.3	HG03704	mat	HG03704_mat_hprc_r2_v1.0.1_HML-2_11q23.3_MULTI	1	2	HG03704_mat_hprc_r2_v1.0.1_HML-2_11q23.3_MULTI_part1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q23.3/HG03704_mat_hprc_r2_v1.0.1_HML-2_11q23.3.fa	ded6b4eeaf30a5b9266e7e63cb9e9ced3e9e3021b07d8b478fec8d7a8b4cdf16	>HG03704_mat_hprc_r2_v1.0.1_HML-2_11q23.3_MULTI assembly_coords:HG03704#2#CM086194.1:121055841-121073392 genomic_strand:-	HG03704#2#CM086194.1:121064154-121073285	0	107	9239	9132	8482971fd57aa0d0c937950ca1abd53fb78518d0d47a27bee2d901928b29dea7	type1
11q23.3	HG03704	mat	HG03704_mat_hprc_r2_v1.0.1_HML-2_11q23.3_MULTI	2	2	HG03704_mat_hprc_r2_v1.0.1_HML-2_11q23.3_MULTI_part2	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q23.3/HG03704_mat_hprc_r2_v1.0.1_HML-2_11q23.3.fa	ded6b4eeaf30a5b9266e7e63cb9e9ced3e9e3021b07d8b478fec8d7a8b4cdf16	>HG03704_mat_hprc_r2_v1.0.1_HML-2_11q23.3_MULTI assembly_coords:HG03704#2#CM086194.1:121055841-121073392 genomic_strand:-	HG03704#2#CM086194.1:121055962-121065093	0	8299	17431	9132	1e3bc2f23175b9f7af7aaf675ccc9ea914aebd827cf875191dd8ae90cb5d79b3	type1
12q13.2	HG00513	h2	HG00513_h2_HML-2_12q13.2_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	1	2	HG00513_h2_HML-2_12q13.2_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part1	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_12q13.2/HG00513_h2_HML-2_12q13.2_graph_hgsvc3-2024-02-23-mc-chm13.fa	8bda6af9e8e866fa31df5df6a97f94cdd29ca7f268f78f5141710f625be77248	>HG00513_h2_HML-2_12q13.2_graph_hgsvc3-2024-02-23-mc-chm13_MULTI|HG00513#2#haplotype2-0000098#0:78052879-78110427 genomic_strand:+	HG00513#2#haplotype2-0000098#0:78053486-78062653	500	107	9275	9168	67ac96bba86dd11b39b313f3993215b1a6af3a01605c205ff3ab67ee030d2d72	type1
12q13.2	HG00513	h2	HG00513_h2_HML-2_12q13.2_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	2	2	HG00513_h2_HML-2_12q13.2_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part2	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_12q13.2/HG00513_h2_HML-2_12q13.2_graph_hgsvc3-2024-02-23-mc-chm13.fa	8bda6af9e8e866fa31df5df6a97f94cdd29ca7f268f78f5141710f625be77248	>HG00513_h2_HML-2_12q13.2_graph_hgsvc3-2024-02-23-mc-chm13_MULTI|HG00513#2#haplotype2-0000098#0:78052879-78110427 genomic_strand:+	HG00513#2#haplotype2-0000098#0:78061698-78070854	500	8319	17476	9157	4876a85b6dc4c6706512ddaac7e85fecf6e82f34f594a3330725bccecbb4b1e2	type1
12q14.1	HG04157	pat	HG04157_pat_hprc_r2_v1.0.1_HML-2_12q14.1_MULTI	1	2	HG04157_pat_hprc_r2_v1.0.1_HML-2_12q14.1_MULTI_part1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_12q14.1/HG04157_pat_hprc_r2_v1.0.1_HML-2_12q14.1.fa	3b2c319f7d91a409fd32305747d048f75ecc75092214ec246681a36783d3283d	>HG04157_pat_hprc_r2_v1.0.1_HML-2_12q14.1_MULTI assembly_coords:HG04157#1#CM088419.1:58120887-58139022 genomic_strand:-	HG04157#1#CM088419.1:58129477-58138915	0	107	9546	9439	6e2b6a2f6ed326b4fb35e59addf778fa432b8497e21b7b38a60167fd8c0326fb	type2
12q14.1	HG04157	pat	HG04157_pat_hprc_r2_v1.0.1_HML-2_12q14.1_MULTI	2	2	HG04157_pat_hprc_r2_v1.0.1_HML-2_12q14.1_MULTI_part2	historical_source/Documents/HML2_project_data/processed_loci/HML-2_12q14.1/HG04157_pat_hprc_r2_v1.0.1_HML-2_12q14.1.fa	3b2c319f7d91a409fd32305747d048f75ecc75092214ec246681a36783d3283d	>HG04157_pat_hprc_r2_v1.0.1_HML-2_12q14.1_MULTI assembly_coords:HG04157#1#CM088419.1:58120887-58139022 genomic_strand:-	HG04157#1#CM088419.1:58120993-58130431	0	8591	18030	9439	e2afb9c726c1cc56f578f8a4229eead29a959e79db11751c4d0a1baf948131e1	type2
12q24.33	HG00513	h1	HG00513_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	1	2	HG00513_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part1	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_12q24.33/HG00513_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13.fa	3ce8615331521638f6da983a09094c36f7479efb21ff5b902678745faf9b5f92	>HG00513_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI|HG00513#1#haplotype1-0000012#0:172325-213398 genomic_strand:-	HG00513#1#haplotype1-0000012#0:206946-212467	500	431	5953	5522	ad36dea13b484d9622cc9a5dbf55ccc11068ea80058ce9cb805756b1921b4733	type2
12q24.33	HG00513	h1	HG00513_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	2	2	HG00513_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part2	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_12q24.33/HG00513_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13.fa	3ce8615331521638f6da983a09094c36f7479efb21ff5b902678745faf9b5f92	>HG00513_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI|HG00513#1#haplotype1-0000012#0:172325-213398 genomic_strand:-	HG00513#1#haplotype1-0000012#0:202011-207532	500	5366	10888	5522	1bb06137196de4aa0d996686ddb31a8f5fe5f3c82b7a27d0b5e826a3598518f1	type2
12q24.33	HG00731	h1	HG00731_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	1	2	HG00731_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part1	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_12q24.33/HG00731_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13.fa	af2975f3b024b3e5803aec1d50a3293c54e670d229b30853bfdbd4ef5bf2f0f8	>HG00731_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI|HG00731#1#haplotype1-0000022#0:133061860-133102937 genomic_strand:-	HG00731#1#haplotype1-0000022#0:133096486-133102006	500	431	5952	5521	c1678de0e271211830eff9144ff7dd5e3e3a2193833f6483ea76ed21a8e51d62	type2
12q24.33	HG00731	h1	HG00731_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	2	2	HG00731_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part2	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_12q24.33/HG00731_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13.fa	af2975f3b024b3e5803aec1d50a3293c54e670d229b30853bfdbd4ef5bf2f0f8	>HG00731_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI|HG00731#1#haplotype1-0000022#0:133061860-133102937 genomic_strand:-	HG00731#1#haplotype1-0000022#0:133091552-133097073	500	5364	10886	5522	678f89c04e8db400b798eef6f266b25951341156e69ece2a9d645b4b61ad28bd	type2
12q24.33	HG01081	mat	HG01081_mat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI	1	2	HG01081_mat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_12q24.33/HG01081_mat_hprc_r2_v1.0.1_HML-2_12q24.33.fa	cc55f323334584ac38842ca7de253a043c0f8fdb9a74a64ef7a9d75ec1ff14d9	>HG01081_mat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI assembly_coords:HG01081#2#CM088589.1:133225380-133236440 genomic_strand:-	HG01081#2#CM088589.1:133230489-133236009	0	431	5952	5521	c1678de0e271211830eff9144ff7dd5e3e3a2193833f6483ea76ed21a8e51d62	type2
12q24.33	HG01081	mat	HG01081_mat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI	2	2	HG01081_mat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part2	historical_source/Documents/HML2_project_data/processed_loci/HML-2_12q24.33/HG01081_mat_hprc_r2_v1.0.1_HML-2_12q24.33.fa	cc55f323334584ac38842ca7de253a043c0f8fdb9a74a64ef7a9d75ec1ff14d9	>HG01081_mat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI assembly_coords:HG01081#2#CM088589.1:133225380-133236440 genomic_strand:-	HG01081#2#CM088589.1:133225555-133231076	0	5364	10886	5522	678f89c04e8db400b798eef6f266b25951341156e69ece2a9d645b4b61ad28bd	type2
12q24.33	HG01175	pat	HG01175_pat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI	1	2	HG01175_pat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_12q24.33/HG01175_pat_hprc_r2_v1.0.1_HML-2_12q24.33.fa	07947c841495f37d839f5ebc12199f983bef422f4fbc6e40cbfb25142bf68182	>HG01175_pat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI assembly_coords:HG01175#1#CM087931.1:133291483-133302542 genomic_strand:-	HG01175#1#CM087931.1:133296592-133302111	0	431	5951	5520	35260f41e615ad93b7b0b4a3f1319fc43737d76a63ddd7c3342d5f19ec24cfd1	type2
12q24.33	HG01175	pat	HG01175_pat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI	2	2	HG01175_pat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part2	historical_source/Documents/HML2_project_data/processed_loci/HML-2_12q24.33/HG01175_pat_hprc_r2_v1.0.1_HML-2_12q24.33.fa	07947c841495f37d839f5ebc12199f983bef422f4fbc6e40cbfb25142bf68182	>HG01175_pat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI assembly_coords:HG01175#1#CM087931.1:133291483-133302542 genomic_strand:-	HG01175#1#CM087931.1:133291658-133297178	0	5364	10885	5521	b9251c2d7a13d824a690d0db76467ef06f049febf4a4db29d9ff072c5a9e4566	type2
12q24.33	HG01255	mat	HG01255_mat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI	1	2	HG01255_mat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_12q24.33/HG01255_mat_hprc_r2_v1.0.1_HML-2_12q24.33.fa	376e8d13e8d124b2464e5463c384ca9b4d1be2b6f2af657fa6fd8077a937f5a1	>HG01255_mat_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI assembly_coords:HG01255#2#CM086726.1:133312411-133323470 genomic_strand:-	HG01255#2#CM086726.1:133317520-133323039	0	431	5951	5520	79a3ea94d710f1cd3cb9342d6b8e9f8096348224757584c8624b5d0dac02da44	type2
