region	tip_1	tip_2	mismatches	comparable_positions	nucleotide_difference	tree_distance
LTR	10p12.1__hap2__n81	10p12.1__hap1__n269	1	961	0.001040582726326743	0.00105048132079283
LTR	10p14__hap1__n252	10p12.1__hap1__n269	49	811	0.06041923551171394	0.060612498990000596
LTR	10p14__hap1__n252	10p12.1__hap2__n81	48	811	0.059186189889025895	0.05956201766920776
LTR	10p14__hap2__n42	10p12.1__hap1__n269	59	890	0.06629213483146068	0.06543380309999756
LTR	10p14__hap2__n42	10p12.1__hap2__n81	58	890	0.0651685393258427	0.06438332177920474
LTR	10p14__hap2__n42	10p14__hap1__n252	7	811	0.008631319358816275	0.00863131935881627
LTR	10q24.2__hap1__n189	10p12.1__hap1__n269	29	938	0.03091684434968017	0.03207554606963179
LTR	10q24.2__hap1__n189	10p12.1__hap2__n81	28	938	0.029850746268656716	0.03102506474883896
LTR	10q24.2__hap1__n189	10p14__hap1__n252	50	803	0.062266500622665005	0.05745856815191195
LTR	10q24.2__hap1__n189	10p14__hap2__n42	59	882	0.06689342403628118	0.06227987226190892
LTR	10q24.2__hap2__n114	10p12.1__hap1__n269	28	938	0.029850746268656716	0.031169453476666456
LTR	10q24.2__hap2__n114	10p12.1__hap2__n81	27	938	0.028784648187633263	0.030118972155873627
LTR	10q24.2__hap2__n114	10p14__hap1__n252	49	803	0.06102117061021171	0.056552475558946616
LTR	10q24.2__hap2__n114	10p14__hap2__n42	59	882	0.06689342403628118	0.061373779668943584
LTR	10q24.2__hap2__n114	10q24.2__hap1__n189	1	938	0.0010660980810234541	0.0010660980810234537
LTR	11p15.4__hap1__n117	10p12.1__hap1__n269	151	601	0.2512479201331115	0.25650786803364656
LTR	11p15.4__hap1__n117	10p12.1__hap2__n81	150	601	0.24958402662229617	0.25545738671285373
LTR	11p15.4__hap1__n117	10p14__hap1__n252	116	454	0.2555066079295154	0.24157031576487403
LTR	11p15.4__hap1__n117	10p14__hap2__n42	130	531	0.2448210922787194	0.24639161987487102
LTR	11p15.4__hap1__n117	10q24.2__hap1__n189	147	586	0.2508532423208191	0.25335393719555793
LTR	11p15.4__hap1__n117	10q24.2__hap2__n114	148	586	0.2525597269624573	0.25244784460259256
LTR	11p15.4__hap2__n98	10p12.1__hap1__n269	152	601	0.2529118136439268	0.2584977110450179
LTR	11p15.4__hap2__n98	10p12.1__hap2__n81	151	601	0.2512479201331115	0.25744722972422507
LTR	11p15.4__hap2__n98	10p14__hap1__n252	116	454	0.2555066079295154	0.24356015877624534
LTR	11p15.4__hap2__n98	10p14__hap2__n42	132	531	0.24858757062146894	0.24838146288624233
LTR	11p15.4__hap2__n98	10q24.2__hap1__n189	147	586	0.2508532423208191	0.2553437802069292
LTR	11p15.4__hap2__n98	10q24.2__hap2__n114	148	586	0.2525597269624573	0.2544376876139639
LTR	11p15.4__hap2__n98	11p15.4__hap1__n117	4	608	0.006578947368421052	0.00657894736842105
LTR	11p15.4b__hap1__n389	10p12.1__hap1__n269	135	620	0.21774193548387097	0.21861336388541958
LTR	11p15.4b__hap1__n389	10p12.1__hap2__n81	134	620	0.2161290322580645	0.21756288256462675
LTR	11p15.4b__hap1__n389	10p14__hap1__n252	100	475	0.21052631578947367	0.20367581161664705
LTR	11p15.4b__hap1__n389	10p14__hap2__n42	113	552	0.20471014492753623	0.20849711572664403
LTR	11p15.4b__hap1__n389	10q24.2__hap1__n189	131	607	0.2158154859967051	0.2154594330473309
LTR	11p15.4b__hap1__n389	10q24.2__hap2__n114	132	607	0.21746293245469522	0.21455334045436558
LTR	11p15.4b__hap1__n389	11p15.4__hap1__n117	88	605	0.14545454545454545	0.17122414822458581
LTR	11p15.4b__hap1__n389	11p15.4__hap2__n98	89	605	0.14710743801652892	0.17321399123595713
LTR	11p15.4b__hap2__n59	10p12.1__hap1__n269	136	620	0.21935483870967742	0.22027406938358093
LTR	11p15.4b__hap2__n59	10p12.1__hap2__n81	135	620	0.21774193548387097	0.2192235880627881
LTR	11p15.4b__hap2__n59	10p14__hap1__n252	101	475	0.21263157894736842	0.2053365171148084
LTR	11p15.4b__hap2__n59	10p14__hap2__n42	114	552	0.20652173913043478	0.2101578212248054
LTR	11p15.4b__hap2__n59	10q24.2__hap1__n189	132	607	0.21746293245469522	0.21712013854549225
LTR	11p15.4b__hap2__n59	10q24.2__hap2__n114	133	607	0.21911037891268534	0.21621404595252694
LTR	11p15.4b__hap2__n59	11p15.4__hap1__n117	89	605	0.14710743801652892	0.17288485372274717
LTR	11p15.4b__hap2__n59	11p15.4__hap2__n98	90	605	0.1487603305785124	0.17487469673411848
LTR	11p15.4b__hap2__n59	11p15.4b__hap1__n389	1	627	0.001594896331738437	0.00166070549816137
LTR	11q12.3__hap1__n361	10p12.1__hap1__n269	134	873	0.15349369988545247	0.1529224887513126
LTR	11q12.3__hap1__n361	10p12.1__hap2__n81	133	873	0.15234822451317298	0.15187200743051976
LTR	11q12.3__hap1__n361	10p14__hap1__n252	105	798	0.13157894736842105	0.13798493648254004
LTR	11q12.3__hap1__n361	10p14__hap2__n42	120	872	0.13761467889908258	0.14280624059253702
LTR	11q12.3__hap1__n361	10q24.2__hap1__n189	137	865	0.15838150289017341	0.14976855791322394
LTR	11q12.3__hap1__n361	10q24.2__hap2__n114	137	865	0.15838150289017341	0.14886246532025862
LTR	11q12.3__hap1__n361	11p15.4__hap1__n117	136	524	0.2595419847328244	0.22761791329407483
LTR	11q12.3__hap1__n361	11p15.4__hap2__n98	137	524	0.26145038167938933	0.22960775630544614
LTR	11q12.3__hap1__n361	11p15.4b__hap1__n389	113	546	0.20695970695970695	0.18972340914584784
LTR	11q12.3__hap1__n361	11p15.4b__hap2__n59	114	546	0.2087912087912088	0.1913841146440092
LTR	11q12.3__hap2__n65	10p12.1__hap1__n269	134	873	0.15349369988545247	0.15316736360509794
LTR	11q12.3__hap2__n65	10p12.1__hap2__n81	133	873	0.15234822451317298	0.15211688228430512
LTR	11q12.3__hap2__n65	10p14__hap1__n252	105	798	0.13157894736842105	0.1382298113363254
LTR	11q12.3__hap2__n65	10p14__hap2__n42	120	872	0.13761467889908258	0.14305111544632237
LTR	11q12.3__hap2__n65	10q24.2__hap1__n189	137	865	0.15838150289017341	0.1500134327670093
LTR	11q12.3__hap2__n65	10q24.2__hap2__n114	137	865	0.15838150289017341	0.14910734017404398
LTR	11q12.3__hap2__n65	11p15.4__hap1__n117	137	524	0.26145038167938933	0.22786278814786015
LTR	11q12.3__hap2__n65	11p15.4__hap2__n98	138	524	0.2633587786259542	0.2298526311592315
LTR	11q12.3__hap2__n65	11p15.4b__hap1__n389	113	546	0.20695970695970695	0.18996828399963317
LTR	11q12.3__hap2__n65	11p15.4b__hap2__n59	114	546	0.2087912087912088	0.19162898949779456
LTR	11q12.3__hap2__n65	11q12.3__hap1__n361	2	873	0.002290950744558992	0.00229095074455899
LTR	11q22.1__hap1__n160	10p12.1__hap1__n269	12	955	0.012565445026178011	0.01192652345924132
LTR	11q22.1__hap1__n160	10p12.1__hap2__n81	11	955	0.011518324607329843	0.010876042138448488
LTR	11q22.1__hap1__n160	10p14__hap1__n252	49	805	0.06086956521739131	0.06263612021503291
LTR	11q22.1__hap1__n160	10p14__hap2__n42	59	884	0.0667420814479638	0.06745742432502988
LTR	11q22.1__hap1__n160	10q24.2__hap1__n189	33	932	0.03540772532188841	0.03409916729466411
LTR	11q22.1__hap1__n160	10q24.2__hap2__n114	32	932	0.034334763948497854	0.03319307470169877
LTR	11q22.1__hap1__n160	11p15.4__hap1__n117	150	606	0.24752475247524752	0.25853148925867886
LTR	11q22.1__hap1__n160	11p15.4__hap2__n98	151	606	0.24917491749174916	0.2605213322700502
LTR	11q22.1__hap1__n160	11p15.4b__hap1__n389	137	625	0.2192	0.22063698511045188
LTR	11q22.1__hap1__n160	11p15.4b__hap2__n59	138	625	0.2208	0.22229769060861324
LTR	11q22.1__hap1__n160	11q12.3__hap1__n361	136	867	0.1568627450980392	0.1549461099763449
LTR	11q22.1__hap1__n160	11q12.3__hap2__n65	136	867	0.1568627450980392	0.15519098483013025
LTR	11q22.1__hap2__n88	10p12.1__hap1__n269	9	961	0.009365244536940686	0.008747559444488878
LTR	11q22.1__hap2__n88	10p12.1__hap2__n81	8	961	0.008324661810613945	0.007697078123696049
LTR	11q22.1__hap2__n88	10p14__hap1__n252	48	811	0.059186189889025895	0.05945715620028047
LTR	11q22.1__hap2__n88	10p14__hap2__n42	58	890	0.0651685393258427	0.06427846031027744
LTR	11q22.1__hap2__n88	10q24.2__hap1__n189	30	938	0.031982942430703626	0.03092020327991167
LTR	11q22.1__hap2__n88	10q24.2__hap2__n114	29	938	0.03091684434968017	0.030014110686946337
LTR	11q22.1__hap2__n88	11p15.4__hap1__n117	149	601	0.24792013311148087	0.25535252524392643
LTR	11q22.1__hap2__n88	11p15.4__hap2__n98	150	601	0.24958402662229617	0.25734236825529777
LTR	11q22.1__hap2__n88	11p15.4b__hap1__n389	133	620	0.21451612903225806	0.21745802109569945
LTR	11q22.1__hap2__n88	11p15.4b__hap2__n59	134	620	0.2161290322580645	0.2191187265938608
LTR	11q22.1__hap2__n88	11q12.3__hap1__n361	135	873	0.15463917525773196	0.15176714596159246
LTR	11q22.1__hap2__n88	11q12.3__hap2__n65	135	873	0.15463917525773196	0.15201202081537782
LTR	11q22.1__hap2__n88	11q22.1__hap1__n160	3	955	0.0031413612565445027	0.00317896401475244
LTR	11q23.3__hap1__n159	10p12.1__hap1__n269	32	945	0.033862433862433865	0.034856536257403266
LTR	11q23.3__hap1__n159	10p12.1__hap2__n81	31	945	0.0328042328042328	0.03380605493661044
LTR	11q23.3__hap1__n159	10p14__hap1__n252	41	810	0.050617283950617285	0.05426687298178529
LTR	11q23.3__hap1__n159	10p14__hap2__n42	50	889	0.0562429696287964	0.05908817709178226
LTR	11q23.3__hap1__n159	10q24.2__hap1__n189	28	937	0.029882604055496264	0.03170260541931462
LTR	11q23.3__hap1__n159	10q24.2__hap2__n114	27	937	0.0288153681963714	0.030796512826349286
LTR	11q23.3__hap1__n159	11p15.4__hap1__n117	146	585	0.24957264957264957	0.25016224202543125
LTR	11q23.3__hap1__n159	11p15.4__hap2__n98	147	585	0.2512820512820513	0.2521520850368026
LTR	11q23.3__hap1__n159	11p15.4b__hap1__n389	128	606	0.21122112211221122	0.21226773787720427
LTR	11q23.3__hap1__n159	11p15.4b__hap2__n59	129	606	0.21287128712871287	0.21392844337536562
LTR	11q23.3__hap1__n159	11q12.3__hap1__n361	131	872	0.15022935779816513	0.14657686274309728
LTR	11q23.3__hap1__n159	11q12.3__hap2__n65	131	872	0.15022935779816513	0.14682173759688263
LTR	11q23.3__hap1__n159	11q22.1__hap1__n160	37	939	0.039403620873269436	0.03688015748243559
LTR	11q23.3__hap1__n159	11q22.1__hap2__n88	34	945	0.03597883597883598	0.033701193467683146
LTR	11q23.3__hap2__n147	10p12.1__hap1__n269	33	905	0.036464088397790057	0.03717712662522203
LTR	11q23.3__hap2__n147	10p12.1__hap2__n81	32	905	0.03535911602209945	0.036126645304429196
LTR	11q23.3__hap2__n147	10p14__hap1__n252	42	810	0.05185185185185185	0.05658746334960405
LTR	11q23.3__hap2__n147	10p14__hap2__n42	51	889	0.05736782902137233	0.06140876745960102
LTR	11q23.3__hap2__n147	10q24.2__hap1__n189	28	897	0.03121516164994426	0.03402319578713338
LTR	11q23.3__hap2__n147	10q24.2__hap2__n114	27	897	0.030100334448160536	0.033117103194168045
LTR	11q23.3__hap2__n147	11p15.4__hap1__n117	138	545	0.25321100917431194	0.25248283239325003
LTR	11q23.3__hap2__n147	11p15.4__hap2__n98	139	545	0.25504587155963304	0.2544726754046213
LTR	11q23.3__hap2__n147	11p15.4b__hap1__n389	122	566	0.21554770318021202	0.21458832824502302
LTR	11q23.3__hap2__n147	11p15.4b__hap2__n59	123	566	0.21731448763250882	0.21624903374318438
LTR	11q23.3__hap2__n147	11q12.3__hap1__n361	133	872	0.15252293577981652	0.14889745311091604
LTR	11q23.3__hap2__n147	11q12.3__hap2__n65	133	872	0.15252293577981652	0.1491423279647014
LTR	11q23.3__hap2__n147	11q22.1__hap1__n160	38	899	0.042269187986651836	0.03920074785025435
LTR	11q23.3__hap2__n147	11q22.1__hap2__n88	35	905	0.03867403314917127	0.036021783835501905
LTR	11q23.3__hap2__n147	11q23.3__hap1__n159	5	905	0.0055248618784530384	0.00552486187845304
